XSBH(学生编号),JXJMC(奖学金名称),PDXN(评定学年),PDDJ(评定等级),JXJJZDW(奖学金捐赠单位),JLJB(奖励级别),FFJE(发放金额)
pjxvzxfj988,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxvzxfj998,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxvztfj990,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxtzxfj983,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxxztfj995,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxvzxfj970,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxxztfj992,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj537,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj084,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxqqxbj961,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk457,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk872,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbl964,单项奖学金,2020,不分等级,单位,校级,600
pjxxzxkj981,单项奖学金,2020,不分等级,单位,校级,600
pjvyzvfj989,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjwtqxbj968,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuzsfj980,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxtzxfj978,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjwtqxbj931,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxsqxbj971,单项奖学金,2020,不分等级,单位,校级,600
pjxwzxfj984,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqxbj888,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjwrqxbj991,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxsqxbj983,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxsqxbj981,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj872,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj945,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjwrqxbj983,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjwtqxbj988,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjwrqxbj974,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjwtqxbj982,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxtzxfj981,单项奖学金,2020,不分等级,单位,校级,600
pjxrqxbj994,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxrqxbj990,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj695,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj565,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk642,国家奖学金,2020,不分等级,,国家级,8000
pjxyqxbk358,国家奖学金,2020,不分等级,,国家级,8000
pjxyqxbk656,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk630,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk625,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk590,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk571,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk549,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk537,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk458,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk454,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk452,单项奖学金,2021,不分等级,,校级,600
pjxyqxbj676,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbj520,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbj285,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbj279,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbj817,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbj283,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbk319,国家励志奖学金,2021,不分等级,,国家级,5000
pjwtqxbj965,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbj739,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbj728,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbj713,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbj300,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbj251,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbk519,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbk484,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbj773,国家励志奖学金,2021,不分等级,,国家级,5000
pjxpqxbj963,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj611,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj309,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj129,国家励志奖学金,2020,不分等级,,国家级,5000
pjxrqxbj992,国家奖学金,2020,不分等级,,国家级,8000
pjxyqxbj214,国家奖学金,2020,不分等级,,国家级,8000
pjxyqxbj340,单项奖学金,2021,不分等级,,校级,600
pjxyqxbj282,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk852,国家奖学金,2021,不分等级,,国家级,8000
pjxyqxbk199,国家奖学金,2021,不分等级,,国家级,8000
pjxyqxbk159,国家奖学金,2021,不分等级,,国家级,8000
pjwrqxbj993,国家奖学金,2021,不分等级,,国家级,8000
pjxyqwbj095,国家奖学金,2021,不分等级,,国家级,8000
pjxyqwbk808,国家奖学金,2021,不分等级,,国家级,8000
pjxyqwbj594,单项奖学金,2021,不分等级,,校级,600
pjwtqxbj984,单项奖学金,2021,不分等级,,校级,600
pjwtqxbj977,单项奖学金,2021,不分等级,,校级,600
pjwtqxbj933,单项奖学金,2021,不分等级,,校级,600
pjwtqxbj914,单项奖学金,2021,不分等级,,校级,600
pjwtqxbj957,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj053,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj755,单项奖学金,2021,不分等级,,校级,600
pjxyqwbk694,单项奖学金,2021,不分等级,,校级,600
pjxuqwbj906,国家励志奖学金,2020,不分等级,,国家级,5000
pjxuqwbj805,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqxbj454,国家奖学金,2020,不分等级,,国家级,8000
pjxyqxbk852,国家奖学金,2020,不分等级,,国家级,8000
pjvyzvfj974,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqxbk484,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj985,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj896,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj739,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj728,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj718,国家励志奖学金,2020,不分等级,,国家级,5000
pjxpqxbj915,单项奖学金,2021,不分等级,,校级,600
pjwrqxbj974,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj732,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbj622,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbj309,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbk740,国家励志奖学金,2021,不分等级,,国家级,5000
pjxpqxbj992,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj369,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj904,单项奖学金,2021,不分等级,,校级,600
pjxqqxbj991,单项奖学金,2021,不分等级,,校级,600
pjxqqxbj988,单项奖学金,2021,不分等级,,校级,600
pjxyqxbj255,单项奖学金,2021,不分等级,,校级,600
pjxyqxbj188,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj283,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj305,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj646,单项奖学金,2021,不分等级,,校级,600
pjwrqxbj965,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbj171,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbk935,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbj651,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbj006,国家励志奖学金,2021,不分等级,,国家级,5000
pjxuqwbj674,国家励志奖学金,2020,不分等级,,国家级,5000
pjxrqxbj908,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqxbj935,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqxbj676,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj890,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbj219,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbj035,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbj611,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbk607,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbk562,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbj043,单项奖学金,2021,不分等级,,校级,600
pjxyqxbj034,单项奖学金,2021,不分等级,,校级,600
pjwrqxbj916,单项奖学金,2021,不分等级,,校级,600
pjwrqxbj890,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj341,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk935,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqxbk402,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj570,国家奖学金,2020,不分等级,,国家级,8000
pjxyqxbj008,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk939,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk889,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk797,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk720,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk684,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk683,单项奖学金,2021,不分等级,,校级,600
pjxpqxbj934,综合发展奖学金,2023,三等奖学金,,校级,600
pjxvzxbj997,单项奖学金,2021,不分等级,,校级,600
pjxyqwbk775,单项奖学金,2021,不分等级,,校级,600
pjxyqxbj932,单项奖学金,2021,不分等级,,校级,600
pjxyqxbj807,单项奖学金,2021,不分等级,,校级,600
pjxyqxbj548,单项奖学金,2021,不分等级,,校级,600
pjxuqwbj858,国家励志奖学金,2021,不分等级,,国家级,5000
pjxuqwbj805,国家励志奖学金,2021,不分等级,,国家级,5000
pjxuqwbj610,国家励志奖学金,2021,不分等级,,国家级,5000
pjxuqwbj478,国家励志奖学金,2021,不分等级,,国家级,5000
pjxuqwbj714,国家励志奖学金,2021,不分等级,,国家级,5000
pjxuqwbj499,国家励志奖学金,2021,不分等级,,国家级,5000
pjxuqwbj906,国家励志奖学金,2021,不分等级,,国家级,5000
pjxuqwbj449,国家励志奖学金,2021,不分等级,,国家级,5000
pjxuqwbj674,国家励志奖学金,2021,不分等级,,国家级,5000
pjxuqwbj928,国家励志奖学金,2021,不分等级,,国家级,5000
pjxuqwbj870,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbl965,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqxbj633,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqwbj971,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj615,单项奖学金,2021,不分等级,,校级,600
pjxyqwbk621,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj020,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj950,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj398,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj154,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj050,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj318,单项奖学金,2021,不分等级,,校级,600
pjxyqxbj813,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbl989,国家励志奖学金,2021,不分等级,,国家级,5000
pjwtqxbj998,国家励志奖学金,2021,不分等级,,国家级,5000
pjxsqxbj957,国家励志奖学金,2021,不分等级,,国家级,5000
pjxsqxbj934,国家励志奖学金,2021,不分等级,,国家级,5000
pjxsqxbj912,国家励志奖学金,2021,不分等级,,国家级,5000
pjwrqxbj929,综合发展奖学金,2021,三等奖学金,,校级,600
pjxxxxbj914,综合发展奖学金,2021,三等奖学金,,校级,600
pjxsqxbj816,综合发展奖学金,2021,三等奖学金,,校级,600
pjxsqxbj927,综合发展奖学金,2021,三等奖学金,,校级,600
pjxsqxbj965,综合发展奖学金,2021,三等奖学金,,校级,600
pjxsqxbj859,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqwbj311,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqwbk815,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqwbj073,综合发展奖学金,2021,三等奖学金,,校级,600
pjxuqwbj826,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqwbk736,综合发展奖学金,2020,三等奖学金,,校级,600
pjwtqxbj985,综合发展奖学金,2020,三等奖学金,,校级,600
pjxyqxbj910,综合发展奖学金,2020,三等奖学金,,校级,600
pjxyqxbk411,综合发展奖学金,2020,一等奖学金,,校级,1500
pjxqzxbj997,综合发展奖学金,2020,二等奖学金,,校级,1000
pjxsqxbj851,综合发展奖学金,2020,二等奖学金,,校级,1000
pjxyqxbj927,国家奖学金,2020,不分等级,,国家级,8000
pjxyqwbj622,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqxbj884,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbj755,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj713,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbk749,国家奖学金,2020,不分等级,,国家级,8000
pjxyqxbj198,国家奖学金,2020,不分等级,,国家级,8000
pjxxxxbj915,综合发展奖学金,2021,一等奖学金,,校级,1500
pjxyqxbj484,综合发展奖学金,2021,二等奖学金,,校级,1000
pjxyqwbk787,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqwbj598,综合发展奖学金,2021,三等奖学金,,校级,600
pjxpqxbj956,综合发展奖学金,2021,二等奖学金,,校级,1000
pjxpqxbj987,综合发展奖学金,2021,三等奖学金,,校级,600
pjxpqxbj994,单项奖学金,2021,不分等级,,校级,600
pjxpqxbj977,单项奖学金,2021,不分等级,,校级,600
pjxpqxbj976,单项奖学金,2021,不分等级,,校级,600
pjxyqwbk710,单项奖学金,2021,不分等级,,校级,600
pjxyqwbk796,单项奖学金,2021,不分等级,,校级,600
pjxyqwbk779,单项奖学金,2021,不分等级,,校级,600
pjxvzxbj996,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj640,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj634,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj872,单项奖学金,2021,不分等级,,校级,600
pjxyqwbk747,单项奖学金,2021,不分等级,,校级,600
pjxyqwbk673,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj897,单项奖学金,2021,不分等级,,校级,600
pjxyqwbk653,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj656,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj642,单项奖学金,2021,不分等级,,校级,600
pjxuqwbj840,国家励志奖学金,2021,不分等级,,国家级,5000
pjxuqwbj811,国家励志奖学金,2021,不分等级,,国家级,5000
pjxuqwbj691,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbj985,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbj478,单项奖学金,2021,不分等级,,校级,600
pjxyqxbj103,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk811,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk783,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk547,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk075,单项奖学金,2021,不分等级,,校级,600
pjxyqxbk042,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj469,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj455,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj410,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj318,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj300,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj219,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj086,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj002,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbk885,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbk779,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbk764,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbk761,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj437,国家奖学金,2020,不分等级,,国家级,8000
pjxuqwbj879,国家奖学金,2020,不分等级,,国家级,8000
pjxyqxbj879,国家奖学金,2020,不分等级,,国家级,8000
pjxyqwbj656,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbl730,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj751,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj748,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxuqwbj724,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxuqwbj687,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj554,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj530,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj518,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj487,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbk531,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxuqwbj461,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbl717,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj433,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj407,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxwxxbj915,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbl704,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxrqxbj996,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjvyzxbj997,综合发展奖学金,2021,二等奖学金,,校级,1000
pjxyqwbj090,综合发展奖学金,2021,二等奖学金,,校级,1000
pjxyqxbj625,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqxbj889,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqxbj717,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqxbj051,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqwbj922,单项奖学金,2021,不分等级,,校级,600
pjxyqwbk713,单项奖学金,2021,不分等级,,校级,600
pjxyqxbl794,单项奖学金,2021,不分等级,,校级,600
pjxyqwbk799,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj058,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj833,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj531,单项奖学金,2021,不分等级,,校级,600
pjxyqwbk608,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj476,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj338,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj944,单项奖学金,2021,不分等级,,校级,600
pjxyqwbk955,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj117,单项奖学金,2021,不分等级,,校级,600
pjxyqxbj662,国家励志奖学金,2020,不分等级,,国家级,5000
pjwtqxbj967,国家奖学金,2020,不分等级,,国家级,8000
pjxyqxbl808,单项奖学金,2021,不分等级,,校级,600
pjxyqxbl737,单项奖学金,2021,不分等级,,校级,600
pjxyqwbj695,国家励志奖学金,2021,不分等级,,国家级,5000
pjxsqxbj954,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk908,单项奖学金,2020,不分等级,单位,校级,600
pjxuqwbj641,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj728,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj505,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj223,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj367,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk947,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqwbj737,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk158,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqxbj594,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqxbl730,综合发展奖学金,2021,二等奖学金,,校级,1000
pjxuqwbj519,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbk662,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbk706,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj525,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbk935,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbk211,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbl751,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqwbj799,单项奖学金,2021,不分等级,,校级,600
pjxsqxbj893,国家励志奖学金,2021,不分等级,,国家级,5000
pjxsqxbj884,国家励志奖学金,2021,不分等级,,国家级,5000
pjxrqxbj908,国家励志奖学金,2021,不分等级,,国家级,5000
pjxqqxbj981,国家励志奖学金,2021,不分等级,,国家级,5000
pjxpqxbj926,国家励志奖学金,2021,不分等级,,国家级,5000
pjxuqwbj993,国家励志奖学金,2020,不分等级,,国家级,5000
pjxuqwbj986,国家励志奖学金,2020,不分等级,,国家级,5000
pjxuqwbj840,国家励志奖学金,2020,不分等级,,国家级,5000
pjxuqwbj833,国家励志奖学金,2020,不分等级,,国家级,5000
pjxuqwbj800,国家励志奖学金,2020,不分等级,,国家级,5000
pjxuqwbj714,国家励志奖学金,2020,不分等级,,国家级,5000
pjxuqwbj691,国家励志奖学金,2020,不分等级,,国家级,5000
pjxuqwbj573,国家励志奖学金,2020,不分等级,,国家级,5000
pjxuqwbj552,国家励志奖学金,2020,不分等级,,国家级,5000
pjxuqwbj500,国家励志奖学金,2020,不分等级,,国家级,5000
pjxsqxbj936,国家励志奖学金,2020,不分等级,,国家级,5000
pjxsqxbj934,国家励志奖学金,2020,不分等级,,国家级,5000
pjxsqxbj893,国家励志奖学金,2020,不分等级,,国家级,5000
pjxsqxbj882,国家励志奖学金,2020,不分等级,,国家级,5000
pjxsqxbj871,国家励志奖学金,2020,不分等级,,国家级,5000
pjxrqxbj961,国家励志奖学金,2020,不分等级,,国家级,5000
pjxqzxbj994,国家励志奖学金,2020,不分等级,,国家级,5000
pjwtqxbj974,国家励志奖学金,2020,不分等级,,国家级,5000
pjwtqxbj925,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj674,综合发展奖学金,2021,一等奖学金,,校级,1500
pjxyqwbj092,综合发展奖学金,2021,二等奖学金,,校级,1000
pjxyqwbj274,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqwbj850,单项奖学金,2021,不分等级,,校级,600
pjxyqxbj223,综合发展奖学金,2021,三等奖学金,,校级,600
pjxuqwbj581,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqxbj365,国家奖学金,2021,不分等级,,国家级,8000
pjxyqxbk642,国家奖学金,2021,不分等级,,国家级,8000
pjxyqwbj431,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqxbj031,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj428,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxrqxbj937,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj362,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj266,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxqqxbj983,单项奖学金,2020,不分等级,单位,校级,600
pjxsqxbj872,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj602,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj361,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj169,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj744,单项奖学金,2020,不分等级,单位,校级,600
pjxsqxbj815,综合发展奖学金,2020,三等奖学金,单位,校级,600
