学号_统一,学习_累计旷课次数,学习_迟到早退次数,学习_周末自习打卡次数,学习_自习打卡总数,学习_周末自习占比,学习_作业平均得分,学习_深夜提交作业次数
pjwrqxbj956,0.0,0.0,0.0,0.0,0.0,76.14545454545454,0.0
pjwrqxbj965,0.0,0.0,0.0,0.0,0.0,74.0,0.0
pjwrqxbj967,0.0,0.0,0.0,0.0,0.0,71.4,0.0
pjwrqxbj973,0.0,0.0,135.0,488.0,0.2766393385934562,74.01176470588236,0.0
pjwrqxbj974,0.0,0.0,0.0,0.0,0.0,75.70625,0.0
pjwrqxbj977,0.0,0.0,0.0,0.0,0.0,60.34054054054054,0.0
pjwrqxbj978,0.0,0.0,0.0,0.0,0.0,74.91818181818182,0.0
pjwrqxbj979,0.0,0.0,0.0,0.0,0.0,39.24545454545454,0.0
pjwrqxbj980,0.0,0.0,0.0,0.0,0.0,82.74666666666667,0.0
pjwrqxbj983,0.0,0.0,0.0,0.0,0.0,84.32307692307693,0.0
pjwrqxbj984,0.0,0.0,0.0,0.0,0.0,80.37647058823529,0.0
pjwrqxbj985,0.0,0.0,0.0,0.0,0.0,74.41818181818182,0.0
pjwrqxbj988,0.0,0.0,0.0,0.0,0.0,87.30666666666666,0.0
pjwrqxbj991,0.0,0.0,0.0,0.0,0.0,65.68260869565218,0.0
pjwrqxbj992,0.0,0.0,0.0,0.0,0.0,79.33333333333333,0.0
pjwrqxbj993,0.0,0.0,0.0,0.0,0.0,71.33333333333333,0.0
pjwrqxbj994,0.0,0.0,0.0,0.0,0.0,79.10625,0.0
pjwrqxbj998,0.0,0.0,0.0,0.0,0.0,72.96363636363637,0.0
pjwrzxbj996,0.0,0.0,0.0,0.0,0.0,48.83076923076923,0.0
pjwtqxbj913,0.0,0.0,0.0,0.0,0.0,69.95714285714286,0.0
pjwtqxbj914,0.0,0.0,1.0,42.0,0.023809518140590916,59.07333333333334,0.0
pjwtqxbj918,0.0,0.0,0.0,0.0,0.0,73.66923076923078,0.0
pjwtqxbj920,0.0,0.0,0.0,0.0,0.0,61.247058823529414,0.0
pjwtqxbj921,0.0,0.0,0.0,0.0,0.0,62.94285714285714,0.0
pjwtqxbj922,0.0,0.0,0.0,0.0,0.0,71.49285714285715,0.0
pjwtqxbj925,0.0,0.0,0.0,0.0,0.0,86.124,0.0
pjwtqxbj928,0.0,0.0,0.0,0.0,0.0,80.52499999999999,0.0
pjwtqxbj929,0.0,0.0,0.0,0.0,0.0,62.43571428571429,0.0
pjwtqxbj930,0.0,0.0,0.0,0.0,0.0,66.94827586206897,0.0
pjwtqxbj931,0.0,0.0,0.0,0.0,0.0,58.193333333333335,0.0
pjwtqxbj932,0.0,0.0,0.0,0.0,0.0,67.68571428571428,0.0
pjwtqxbj933,0.0,0.0,0.0,0.0,0.0,63.166666666666664,0.0
pjwtqxbj935,0.0,0.0,0.0,0.0,0.0,81.93333333333334,0.0
pjwtqxbj939,0.0,0.0,0.0,0.0,0.0,80.35526315789474,0.0
pjwtqxbj941,0.0,0.0,257.0,1135.0,0.22643171606668092,66.47368421052632,0.0
pjwtqxbj942,0.0,0.0,0.0,0.0,0.0,52.38823529411765,0.0
pjwtqxbj943,0.0,0.0,0.0,0.0,0.0,69.70714285714286,0.0
pjwtqxbj944,0.0,0.0,0.0,0.0,0.0,66.95,0.0
pjwtqxbj946,0.0,0.0,38.0,262.0,0.1450381624031236,70.61428571428571,0.0
pjwtqxbj947,0.0,0.0,0.0,0.0,0.0,45.357142857142854,0.0
pjwtqxbj950,0.0,0.0,0.0,0.0,0.0,72.73947368421052,0.0
pjwtqxbj952,0.0,0.0,0.0,0.0,0.0,68.21176470588235,0.0
pjwtqxbj953,0.0,0.0,0.0,0.0,0.0,26.723931623931623,0.0
pjwtqxbj954,0.0,0.0,0.0,0.0,0.0,69.12272727272727,0.0
pjwtqxbj957,0.0,0.0,0.0,0.0,0.0,67.16428571428571,0.0
pjwtqxbj959,0.0,0.0,0.0,0.0,0.0,64.13333333333334,0.0
pjwtqxbj960,0.0,0.0,0.0,0.0,0.0,79.65882352941176,0.0
pjwtqxbj965,0.0,0.0,38.0,171.0,0.22222220922677138,74.1875,0.0
pjwtqxbj967,0.0,0.0,0.0,0.0,0.0,94.29411764705883,0.0
pjwtqxbj968,0.0,0.0,0.0,0.0,0.0,67.25294117647059,0.0
pjwtqxbj969,0.0,0.0,10.0,63.0,0.15873013353489943,66.32666666666667,0.0
pjwtqxbj971,0.0,0.0,202.0,851.0,0.23736779979591305,63.32678571428572,0.0
pjwtqxbj972,0.0,0.0,64.0,276.0,0.23188404956941852,87.8,0.0
pjwtqxbj974,0.0,0.0,0.0,0.0,0.0,94.91428571428571,0.0
pjwtqxbj976,0.0,0.0,0.0,0.0,0.0,42.3,0.0
pjwtqxbj977,0.0,0.0,0.0,0.0,0.0,63.08461538461539,0.0
pjwtqxbj979,0.0,0.0,158.0,588.0,0.2687074784233422,60.7875,0.0
pjwtqxbj982,0.0,0.0,0.0,0.0,0.0,63.938586956521746,0.0
pjwtqxbj983,0.0,0.0,0.0,0.0,0.0,70.71428571428571,0.0
pjwtqxbj984,0.0,0.0,0.0,0.0,0.0,41.25316455696203,0.0
pjwtqxbj985,0.0,0.0,0.0,0.0,0.0,70.1,0.0
pjwtqxbj987,0.0,0.0,0.0,0.0,0.0,56.080000000000005,0.0
pjwtqxbj988,0.0,0.0,0.0,0.0,0.0,72.09375,0.0
pjwtqxbj993,0.0,0.0,0.0,0.0,0.0,59.50666666666667,0.0
pjwtqxbj998,0.0,0.0,0.0,0.0,0.0,81.34666666666666,0.0
pjwtzxbj996,0.0,0.0,0.0,0.0,0.0,55.31333333333334,0.0
pjwuzxbj992,0.0,0.0,65.0,218.0,0.29816512393737965,80.0576923076923,0.0
pjwuzxbj995,0.0,0.0,0.0,0.0,0.0,61.471428571428575,0.0
pjxpqxbj911,0.0,0.0,0.0,0.0,0.0,95.57142857142857,0.0
pjxpqxbj912,0.0,0.0,0.0,0.0,0.0,69.6,0.0
pjxpqxbj914,0.0,0.0,0.0,0.0,0.0,73.03,0.0
pjxpqxbj915,0.0,0.0,63.0,210.0,0.2999999857142864,53.58461538461539,0.0
pjxpqxbj916,0.0,0.0,190.0,646.0,0.2941176425059189,65.64500000000001,0.0
pjxpqxbj918,0.0,0.0,0.0,0.0,0.0,62.06666666666667,0.0
pjxpqxbj919,0.0,0.0,0.0,0.0,0.0,53.114285714285714,0.0
pjxpqxbj920,0.0,0.0,0.0,0.0,0.0,53.61666666666667,0.0
pjxpqxbj924,0.0,0.0,0.0,0.0,0.0,73.77142857142857,0.0
pjxpqxbj925,0.0,0.0,0.0,0.0,0.0,76.4076923076923,0.0
pjxpqxbj926,0.0,0.0,0.0,0.0,0.0,44.39259259259259,0.0
pjxpqxbj927,0.0,0.0,0.0,0.0,0.0,77.81428571428572,0.0
pjxpqxbj930,0.0,0.0,0.0,0.0,0.0,65.625,0.0
pjxpqxbj932,0.0,0.0,0.0,0.0,0.0,84.38000000000001,0.0
pjxpqxbj933,0.0,0.0,130.0,439.0,0.2961275558968666,81.23333333333333,0.0
pjxpqxbj934,0.0,0.0,0.0,0.0,0.0,72.43333333333334,0.0
pjxpqxbj937,0.0,0.0,110.0,416.0,0.2644230705667531,90.21666666666665,0.0
pjxpqxbj941,0.0,0.0,0.0,0.0,0.0,81.85714285714286,0.0
pjxpqxbj944,0.0,0.0,229.0,632.0,0.36234176641864296,91.13333333333334,0.0
pjxpqxbj945,0.0,0.0,9.0,62.0,0.14516126690947306,86.75,0.0
pjxpqxbj946,0.0,0.0,0.0,0.0,0.0,71.08888888888889,0.0
pjxpqxbj954,0.0,0.0,0.0,0.0,0.0,95.5,0.0
pjxpqxbj955,0.0,0.0,202.0,642.0,0.31464173964732495,69.35384615384615,0.0
pjxpqxbj956,0.0,0.0,0.0,0.0,0.0,78.21428571428571,0.0
pjxpqxbj957,0.0,0.0,0.0,0.0,0.0,49.06153846153846,0.0
pjxpqxbj961,0.0,0.0,0.0,0.0,0.0,85.86666666666666,0.0
pjxpqxbj962,0.0,0.0,0.0,0.0,0.0,95.0,0.0
pjxpqxbj963,0.0,0.0,0.0,0.0,0.0,55.09285714285714,0.0
pjxpqxbj967,0.0,0.0,191.0,651.0,0.29339477275891285,55.416666666666664,0.0
pjxpqxbj969,0.0,0.0,35.0,154.0,0.22727271251475892,68.1888888888889,0.0
pjxpqxbj971,0.0,0.0,0.0,0.0,0.0,45.43529411764706,0.0
pjxpqxbj972,0.0,0.0,27.0,97.0,0.27835048676799107,67.01111111111112,0.0
pjxpqxbj973,0.0,0.0,0.0,0.0,0.0,71.86666666666666,0.0
pjxpqxbj975,0.0,0.0,0.0,0.0,0.0,64.73809523809524,0.0
pjxpqxbj976,0.0,0.0,0.0,0.0,0.0,70.73571428571428,0.0
pjxpqxbj977,0.0,0.0,405.0,1379.0,0.29369107836337144,41.980000000000004,0.0
pjxpqxbj978,0.0,0.0,0.0,0.0,0.0,86.97142857142858,0.0
pjxpqxbj979,0.0,0.0,84.0,251.0,0.3346613412485521,76.56153846153846,0.0
pjxpqxbj981,0.0,0.0,0.0,0.0,0.0,53.182352941176475,0.0
pjxpqxbj985,0.0,0.0,0.0,0.0,0.0,77.07692307692308,0.0
pjxpqxbj986,0.0,0.0,0.0,0.0,0.0,84.1952380952381,0.0
pjxpqxbj987,0.0,0.0,0.0,0.0,0.0,46.38333333333333,0.0
pjxpqxbj992,0.0,0.0,0.0,0.0,0.0,64.04166666666667,0.0
pjxpqxbj994,0.0,0.0,153.0,557.0,0.27468581194459946,73.5,0.0
pjxpqxbj997,0.0,0.0,0.0,0.0,0.0,80.03888888888889,0.0
pjxpqxbj998,0.0,0.0,0.0,0.0,0.0,84.0,0.0
pjxqqxbj947,0.0,0.0,0.0,0.0,0.0,72.66,0.0
pjxqqxbj949,0.0,0.0,327.0,1425.0,0.2294736826001847,78.66,0.0
pjxqqxbj951,0.0,0.0,0.0,0.0,0.0,74.67999999999999,0.0
pjxqqxbj954,0.0,0.0,0.0,0.0,0.0,90.92142857142856,0.0
pjxqqxbj957,0.0,0.0,76.0,397.0,0.1914357634399052,48.64,0.0
pjxqqxbj959,0.0,0.0,28.0,137.0,0.20437954712558049,70.30909090909091,0.0
pjxqqxbj961,0.0,0.0,69.0,304.0,0.22697367674428698,77.34,0.0
pjxqqxbj964,0.0,0.0,86.0,343.0,0.25072885566388176,75.99,0.0
pjxqqxbj967,0.0,0.0,0.0,0.0,0.0,68.69,0.0
pjxqqxbj969,0.0,0.0,0.0,0.0,0.0,76.66,0.0
pjxqqxbj970,0.0,0.0,0.0,0.0,0.0,41.892857142857146,0.0
pjxqqxbj973,0.0,0.0,0.0,0.0,0.0,51.989999999999995,0.0
pjxqqxbj974,0.0,0.0,34.0,132.0,0.2575757380624441,71.50909090909092,0.0
pjxqqxbj975,0.0,0.0,0.0,0.0,0.0,73.99,0.0
pjxqqxbj977,0.0,0.0,0.0,0.0,0.0,73.32000000000001,0.0
pjxqqxbj979,0.0,0.0,0.0,0.0,0.0,61.603649635036504,0.0
pjxqqxbj981,0.0,0.0,0.0,0.0,0.0,75.32000000000001,0.0
pjxqqxbj982,0.0,0.0,85.0,435.0,0.19540229435856796,74.66,0.0
pjxqqxbj983,0.0,0.0,0.0,0.0,0.0,62.23333333333333,0.0
pjxqqxbj985,0.0,0.0,35.0,167.0,0.20958082577360324,55.522222222222226,0.0
pjxqqxbj986,0.0,0.0,0.0,0.0,0.0,75.33,0.0
pjxqqxbj988,0.0,0.0,0.0,0.0,0.0,77.33,0.0
pjxqqxbj989,0.0,0.0,0.0,0.0,0.0,68.65,0.0
pjxqqxbj991,0.0,0.0,0.0,0.0,0.0,77.34,0.0
pjxqqxbj996,0.0,0.0,0.0,0.0,0.0,61.2,0.0
pjxqqxbj997,0.0,0.0,0.0,0.0,0.0,68.0,0.0
pjxqqxbj998,0.0,0.0,0.0,0.0,0.0,72.0,0.0
pjxqzxbj967,0.0,0.0,0.0,0.0,0.0,29.16923076923077,0.0
pjxqzxbj971,0.0,0.0,85.0,399.0,0.2130325761144718,48.47,0.0
pjxqzxbj973,0.0,0.0,0.0,0.0,0.0,42.69285714285714,0.0
pjxqzxbj975,0.0,0.0,186.0,675.0,0.2755555514732511,50.1,0.0
pjxqzxbj979,0.0,0.0,0.0,0.0,0.0,42.30769230769231,0.0
pjxqzxbj980,0.0,0.0,0.0,0.0,0.0,53.17,0.0
pjxqzxbj982,0.0,0.0,0.0,0.0,0.0,37.75,0.0
pjxqzxbj983,0.0,0.0,0.0,0.0,0.0,23.0,0.0
pjxqzxbj984,0.0,0.0,0.0,0.0,0.0,41.739999999999995,0.0
pjxqzxbj985,0.0,0.0,10.0,61.0,0.1639343993550165,49.9,0.0
pjxqzxbj989,0.0,0.0,0.0,0.0,0.0,50.96,0.0
pjxqzxbj994,0.0,0.0,0.0,0.0,0.0,53.260000000000005,0.0
pjxqzxbj995,0.0,0.0,0.0,0.0,0.0,46.57,0.0
pjxqzxbj996,0.0,0.0,55.0,244.0,0.2254098268274661,19.130000000000003,0.0
pjxqzxbj997,0.0,0.0,0.0,0.0,0.0,53.94,0.0
pjxrqxbj891,0.0,0.0,0.0,0.0,0.0,60.42,0.0
pjxrqxbj892,0.0,0.0,42.0,238.0,0.17647058082056383,61.160000000000004,0.0
pjxrqxbj894,0.0,0.0,0.0,0.0,0.0,86.47,0.0
pjxrqxbj898,0.0,0.0,0.0,0.0,0.0,45.375,0.0
pjxrqxbj901,0.0,0.0,0.0,0.0,0.0,86.17857142857143,0.0
pjxrqxbj903,0.0,0.0,84.0,268.0,0.31343282412564094,72.34782608695652,0.0
pjxrqxbj905,0.0,0.0,0.0,0.0,0.0,61.83157894736842,0.0
pjxrqxbj908,0.0,0.0,0.0,0.0,0.0,62.839999999999996,0.0
pjxrqxbj909,0.0,0.0,0.0,0.0,0.0,66.26666666666667,0.0
pjxrqxbj911,0.0,0.0,0.0,0.0,0.0,74.02000000000001,0.0
pjxrqxbj914,0.0,0.0,46.0,195.0,0.23589742380013212,55.06153846153846,0.0
pjxrqxbj916,0.0,0.0,0.0,0.0,0.0,53.690909090909095,0.0
pjxrqxbj918,0.0,0.0,0.0,0.0,0.0,92.075,0.0
pjxrqxbj919,0.0,0.0,0.0,0.0,0.0,62.57000000000001,0.0
pjxrqxbj928,0.0,0.0,0.0,0.0,0.0,76.16,0.0
pjxrqxbj930,0.0,0.0,0.0,0.0,0.0,61.07000000000001,0.0
pjxrqxbj937,0.0,0.0,0.0,0.0,0.0,79.0,0.0
pjxrqxbj939,0.0,0.0,0.0,0.0,0.0,64.2,0.0
pjxrqxbj942,0.0,0.0,0.0,0.0,0.0,61.33,0.0
pjxrqxbj943,0.0,0.0,211.0,893.0,0.236282192202887,45.125,0.0
pjxrqxbj944,0.0,0.0,0.0,0.0,0.0,84.97,0.0
pjxrqxbj945,0.0,0.0,0.0,0.0,0.0,80.17999999999999,0.0
pjxrqxbj947,0.0,0.0,0.0,0.0,0.0,46.06857142857143,0.0
pjxrqxbj951,0.0,0.0,0.0,0.0,0.0,86.0,0.0
pjxrqxbj952,0.0,0.0,0.0,0.0,0.0,79.72999999999999,0.0
pjxrqxbj954,0.0,0.0,0.0,0.0,0.0,73.5,0.0
pjxrqxbj955,0.0,0.0,73.0,288.0,0.2534722134211037,52.94166666666666,0.0
pjxrqxbj957,0.0,0.0,180.0,706.0,0.2549575034708569,61.4,0.0
pjxrqxbj958,0.0,0.0,0.0,0.0,0.0,91.47692307692309,0.0
pjxrqxbj961,0.0,0.0,0.0,0.0,0.0,62.17,0.0
pjxrqxbj962,0.0,0.0,32.0,134.0,0.238805952327914,87.84,0.0
pjxrqxbj963,0.0,0.0,148.0,513.0,0.2884990197173681,54.0,0.0
pjxrqxbj969,0.0,0.0,0.0,0.0,0.0,61.9,0.0
pjxrqxbj971,0.0,0.0,0.0,0.0,0.0,81.34,0.0
pjxrqxbj972,0.0,0.0,0.0,0.0,0.0,61.27,0.0
pjxrqxbj973,0.0,0.0,68.0,308.0,0.2207792136110645,86.46000000000001,0.0
pjxrqxbj978,0.0,0.0,0.0,0.0,0.0,83.74,0.0
pjxrqxbj981,0.0,0.0,0.0,0.0,0.0,78.19545454545454,0.0
pjxrqxbj983,0.0,0.0,0.0,0.0,0.0,77.03999999999999,0.0
pjxrqxbj988,0.0,0.0,92.0,457.0,0.2013129058793675,78.26785714285714,0.0
pjxrqxbj990,0.0,0.0,97.0,224.0,0.4330356949537636,68.39999999999999,0.0
pjxrqxbj992,0.0,0.0,0.0,0.0,0.0,68.60833333333333,0.0
pjxrqxbj994,0.0,0.0,0.0,0.0,0.0,49.945454545454545,0.0
pjxrqxbj996,0.0,0.0,121.0,369.0,0.3279132702462529,61.5,0.0
pjxsqxbj751,0.0,0.0,0.0,0.0,0.0,77.10909090909091,0.0
pjxsqxbj752,0.0,0.0,0.0,0.0,0.0,61.19,0.0
pjxsqxbj758,0.0,0.0,0.0,0.0,0.0,69.81428571428572,0.0
pjxsqxbj760,0.0,0.0,0.0,0.0,0.0,56.25454545454545,0.0
pjxsqxbj764,0.0,0.0,0.0,0.0,0.0,79.2439024390244,0.0
pjxsqxbj765,0.0,0.0,0.0,0.0,0.0,93.5090909090909,0.0
pjxsqxbj768,0.0,0.0,0.0,0.0,0.0,92.99090909090908,0.0
pjxsqxbj771,0.0,0.0,41.0,157.0,0.26114648018175285,64.25882352941177,0.0
pjxsqxbj772,0.0,0.0,0.0,0.0,0.0,53.69500000000001,0.0
pjxsqxbj774,0.0,0.0,0.0,0.0,0.0,42.80769230769231,0.0
pjxsqxbj777,0.0,0.0,0.0,0.0,0.0,90.39090909090909,0.0
pjxsqxbj778,0.0,0.0,0.0,0.0,0.0,87.42857142857143,0.0
pjxsqxbj780,0.0,0.0,0.0,0.0,0.0,64.51875,0.0
pjxsqxbj784,0.0,0.0,0.0,0.0,0.0,92.80909090909091,0.0
pjxsqxbj786,0.0,0.0,0.0,0.0,0.0,64.02727272727272,0.0
pjxsqxbj787,0.0,0.0,0.0,0.0,0.0,56.25714285714286,0.0
pjxsqxbj788,0.0,0.0,0.0,0.0,0.0,62.50909090909091,0.0
pjxsqxbj789,0.0,0.0,0.0,0.0,0.0,96.83333333333333,0.0
pjxsqxbj790,0.0,0.0,0.0,0.0,0.0,75.54285714285713,0.0
pjxsqxbj792,0.0,0.0,0.0,0.0,0.0,66.95333333333333,0.0
pjxsqxbj796,0.0,0.0,0.0,0.0,0.0,62.55333333333333,0.0
pjxsqxbj800,0.0,0.0,0.0,0.0,0.0,67.45833333333333,0.0
pjxsqxbj801,0.0,0.0,0.0,0.0,0.0,61.975,0.0
pjxsqxbj807,0.0,0.0,0.0,0.0,0.0,56.50909090909091,0.0
pjxsqxbj808,0.0,0.0,0.0,0.0,0.0,74.1,0.0
pjxsqxbj809,0.0,0.0,0.0,0.0,0.0,56.86923076923077,0.0
pjxsqxbj810,0.0,0.0,0.0,0.0,0.0,94.25,0.0
pjxsqxbj811,0.0,0.0,0.0,0.0,0.0,71.532,0.0
pjxsqxbj812,0.0,0.0,0.0,0.0,0.0,56.60909090909092,0.0
pjxsqxbj815,0.0,0.0,0.0,0.0,0.0,61.916666666666664,0.0
pjxsqxbj816,0.0,0.0,0.0,0.0,0.0,65.25,0.0
pjxsqxbj820,0.0,0.0,0.0,0.0,0.0,87.16428571428571,0.0
pjxsqxbj821,0.0,0.0,0.0,0.0,0.0,43.9,0.0
pjxsqxbj823,0.0,0.0,0.0,0.0,0.0,58.5,0.0
pjxsqxbj824,0.0,0.0,0.0,0.0,0.0,72.02857142857142,0.0
pjxsqxbj825,0.0,0.0,0.0,0.0,0.0,58.68666666666666,0.0
pjxsqxbj826,0.0,0.0,0.0,0.0,0.0,51.371428571428574,0.0
pjxsqxbj827,0.0,0.0,0.0,0.0,0.0,58.392307692307696,0.0
pjxsqxbj829,0.0,0.0,158.0,594.0,0.265993261515265,58.042857142857144,0.0
pjxsqxbj831,0.0,0.0,0.0,0.0,0.0,73.20645161290322,0.0
pjxsqxbj834,0.0,0.0,65.0,251.0,0.2589641331089987,71.58620689655173,0.0
pjxsqxbj840,0.0,0.0,0.0,0.0,0.0,39.945454545454545,0.0
pjxsqxbj843,0.0,0.0,0.0,0.0,0.0,93.44545454545455,0.0
pjxsqxbj844,0.0,0.0,0.0,0.0,0.0,89.77272727272727,0.0
pjxsqxbj849,0.0,0.0,0.0,0.0,0.0,63.25,0.0
pjxsqxbj851,0.0,0.0,0.0,0.0,0.0,68.77777777777777,0.0
pjxsqxbj856,0.0,0.0,0.0,0.0,0.0,57.478571428571435,0.0
pjxsqxbj857,0.0,0.0,0.0,0.0,0.0,49.33157894736842,0.0
pjxsqxbj859,0.0,0.0,0.0,0.0,0.0,53.85,0.0
pjxsqxbj862,0.0,0.0,0.0,0.0,0.0,70.15714285714286,0.0
pjxsqxbj863,0.0,0.0,0.0,0.0,0.0,50.90833333333333,0.0
pjxsqxbj864,0.0,0.0,0.0,0.0,0.0,58.06578947368421,0.0
pjxsqxbj867,0.0,0.0,0.0,0.0,0.0,56.30714285714286,0.0
pjxsqxbj871,0.0,0.0,0.0,0.0,0.0,94.96363636363635,0.0
pjxsqxbj872,0.0,0.0,0.0,0.0,0.0,50.458333333333336,0.0
pjxsqxbj873,0.0,0.0,0.0,0.0,0.0,37.396460176991155,0.0
pjxsqxbj874,0.0,0.0,0.0,0.0,0.0,91.58333333333333,0.0
pjxsqxbj876,0.0,0.0,76.0,278.0,0.2733812851301696,65.45454545454545,0.0
pjxsqxbj877,0.0,0.0,0.0,0.0,0.0,64.83125,0.0
pjxsqxbj880,0.0,0.0,0.0,0.0,0.0,90.38181818181819,0.0
pjxsqxbj881,0.0,0.0,0.0,0.0,0.0,66.58888888888889,0.0
pjxsqxbj882,0.0,0.0,0.0,0.0,0.0,37.76,0.0
pjxsqxbj884,0.0,0.0,0.0,0.0,0.0,68.27777777777777,0.0
pjxsqxbj885,0.0,0.0,0.0,0.0,0.0,62.87692307692308,0.0
pjxsqxbj886,0.0,0.0,0.0,0.0,0.0,65.23846153846154,0.0
pjxsqxbj887,0.0,0.0,0.0,0.0,0.0,58.84285714285714,0.0
pjxsqxbj888,0.0,0.0,0.0,0.0,0.0,61.26,0.0
pjxsqxbj892,0.0,0.0,0.0,0.0,0.0,91.89090909090909,0.0
pjxsqxbj893,0.0,0.0,0.0,0.0,0.0,73.80689655172414,0.0
pjxsqxbj894,0.0,0.0,0.0,0.0,0.0,58.31428571428571,0.0
pjxsqxbj897,0.0,0.0,0.0,0.0,0.0,62.857142857142854,0.0
pjxsqxbj899,0.0,0.0,0.0,0.0,0.0,92.65454545454546,0.0
pjxsqxbj900,0.0,0.0,0.0,0.0,0.0,55.607142857142854,0.0
pjxsqxbj904,0.0,0.0,0.0,0.0,0.0,67.94117647058823,0.0
pjxsqxbj905,0.0,0.0,128.0,382.0,0.3350785252597245,66.76470588235294,0.0
pjxsqxbj906,0.0,0.0,148.0,589.0,0.25127334038585164,59.27272727272727,0.0
pjxsqxbj908,0.0,0.0,0.0,0.0,0.0,60.03125,0.0
pjxsqxbj909,0.0,0.0,0.0,0.0,0.0,70.60000000000001,0.0
pjxsqxbj912,0.0,0.0,0.0,0.0,0.0,64.73684210526316,0.0
pjxsqxbj916,0.0,0.0,11.0,57.0,0.19298242228378557,58.23571428571428,0.0
pjxsqxbj918,0.0,0.0,0.0,0.0,0.0,48.71411764705882,0.0
pjxsqxbj920,0.0,0.0,0.0,0.0,0.0,60.629411764705885,0.0
pjxsqxbj921,0.0,0.0,0.0,0.0,0.0,59.0425,0.0
pjxsqxbj922,0.0,0.0,0.0,0.0,0.0,94.56363636363636,0.0
pjxsqxbj925,0.0,0.0,0.0,0.0,0.0,75.49444444444445,0.0
pjxsqxbj927,0.0,0.0,0.0,0.0,0.0,66.1470588235294,0.0
pjxsqxbj929,0.0,0.0,0.0,0.0,0.0,94.38333333333333,0.0
pjxsqxbj932,0.0,0.0,0.0,0.0,0.0,74.24642857142858,0.0
pjxsqxbj934,0.0,0.0,0.0,0.0,0.0,58.0,0.0
pjxsqxbj936,0.0,0.0,0.0,0.0,0.0,39.80327868852459,0.0
pjxsqxbj938,0.0,0.0,0.0,0.0,0.0,57.873333333333335,0.0
pjxsqxbj939,0.0,0.0,0.0,0.0,0.0,35.41818181818182,0.0
pjxsqxbj940,0.0,0.0,0.0,0.0,0.0,47.73636363636364,0.0
pjxsqxbj941,0.0,0.0,0.0,0.0,0.0,57.142857142857146,0.0
pjxsqxbj942,0.0,0.0,0.0,0.0,0.0,60.486666666666665,0.0
pjxsqxbj944,0.0,0.0,39.0,151.0,0.2582781285908524,97.0,0.0
pjxsqxbj946,0.0,0.0,0.0,0.0,0.0,75.7448275862069,0.0
