学号_统一,体育_打卡总次数,体育_打卡平均间隔天数,体育_最新体测总分
pjwrqxbj979,390.0,2.0102827763496145,69.1
pjwrqxbj980,461.0,1.6956521739130435,51.8
pjwrqxbj983,436.0,1.793103448275862,58.9
pjwrqxbj984,522.0,1.5028790786948176,67.8
pjwrqxbj985,462.0,1.6919739696312364,63.0
pjwrqxbj988,466.0,1.675268817204301,62.2
pjwrqxbj991,399.0,1.9422110552763818,43.7
pjwrqxbj992,396.0,1.9746835443037976,56.7
pjwrqxbj993,518.0,1.5145067698259187,68.2
pjwrqxbj994,558.0,1.3877917414721723,69.8
pjwrqxbj998,377.0,2.074468085106383,57.4
pjwrzxbj996,270.0,2.8884758364312266,64.0
pjwtqxbj913,372.0,1.6307277628032344,65.9
pjwtqxbj914,382.0,1.5511811023622046,69.8
pjwtqxbj918,257.0,3.046875,54.0
pjwtqxbj920,468.0,1.6552462526766596,27.5
pjwtqxbj921,460.0,1.6928104575163399,50.2
pjwtqxbj922,452.0,1.7228381374722839,74.8
pjwtqxbj925,451.0,1.7133333333333334,71.9
pjwtqxbj928,335.0,2.311377245508982,42.15
pjwtqxbj929,462.0,1.6963123644251628,45.3
pjwtqxbj930,316.0,2.4793650793650794,59.0
pjwtqxbj931,412.0,1.900243309002433,76.0
pjwtqxbj932,375.0,2.085561497326203,51.95
pjwtqxbj933,344.0,2.247813411078717,56.6
pjwtqxbj935,621.0,1.2580645161290323,54.65
pjwtqxbj939,277.0,2.786231884057971,65.3
pjwtqxbj941,275.0,2.6313868613138687,71.4
pjwtqxbj942,462.0,1.683297180043384,74.2
pjwtqxbj943,475.0,1.6518987341772151,82.15
pjwtqxbj944,522.0,1.5009596928982725,63.9
pjwtqxbj946,393.0,1.971938775510204,77.2
pjwtqxbj947,445.0,1.7342342342342343,38.8
pjwtqxbj950,301.0,2.5933333333333333,64.8
pjwtqxbj952,387.0,2.018134715025907,64.4
pjwtqxbj953,509.0,1.531496062992126,42.15
pjwtqxbj954,493.0,1.5833333333333333,59.75
pjwtqxbj957,399.0,1.9321608040201006,22.6
pjwtqxbj959,511.0,1.5156862745098039,69.3
pjwtqxbj960,232.0,3.3203463203463204,70.9
pjwtqxbj965,477.0,1.634453781512605,63.1
pjwtqxbj967,542.0,1.4417744916820703,60.9
pjwtqxbj968,441.0,1.7522727272727272,61.2
pjwtqxbj969,441.0,1.7704545454545455,54.8
pjwtqxbj971,404.0,1.9379652605459057,70.2
pjwtqxbj972,356.0,2.2,77.9
pjwtqxbj974,445.0,1.7364864864864864,70.7
pjwtqxbj976,437.0,1.761467889908257,41.85
pjwtqxbj977,315.0,2.4522292993630574,51.2
pjwtqxbj979,637.0,1.221698113207547,72.2
pjwtqxbj982,442.0,1.7641723356009071,74.6
pjwtqxbj983,518.0,1.504835589941973,60.0
pjwtqxbj984,521.0,1.4942307692307693,34.75
pjwtqxbj985,503.0,1.5557768924302788,33.5
pjwtqxbj987,430.0,1.8228438228438228,63.7
pjwtqxbj988,374.0,2.091152815013405,63.9
pjwtqxbj993,572.0,1.3485113835376532,39.1
pjwtqxbj998,557.0,1.3902877697841727,58.25
pjwtzxbj996,228.0,3.352422907488987,64.6
pjwuzxbj992,353.0,2.210227272727273,68.7
pjwuzxbj995,347.0,2.2167630057803467,78.5
pjxpqxbj911,473.0,1.6546610169491525,61.15
pjxpqxbj912,431.0,1.8046511627906976,64.9
pjxpqxbj914,400.0,1.9523809523809523,75.2
pjxpqxbj915,475.0,1.641350210970464,59.1
pjxpqxbj916,448.0,1.7248322147651007,71.6
pjxpqxbj918,494.0,1.5578093306288032,73.0
pjxpqxbj919,419.0,1.854066985645933,61.6
pjxpqxbj920,286.0,2.6842105263157894,77.35
pjxpqxbj924,343.0,2.263157894736842,72.7
pjxpqxbj925,489.0,1.584016393442623,31.8
pjxpqxbj926,457.0,1.6754385964912282,68.2
pjxpqxbj927,471.0,1.6574468085106382,44.0
pjxpqxbj930,404.0,1.8436724565756824,54.3
pjxpqxbj932,372.0,2.105121293800539,60.05
pjxpqxbj933,431.0,1.8093023255813954,71.0
pjxpqxbj934,415.0,1.816425120772947,72.35
pjxpqxbj937,360.0,2.167130919220056,42.4
pjxpqxbj941,444.0,1.7584650112866818,76.5
pjxpqxbj944,544.0,1.4143646408839778,31.4
pjxpqxbj945,445.0,1.759009009009009,71.6
pjxpqxbj946,490.0,1.5848670756646217,57.8
pjxpqxbj954,425.0,1.7971698113207548,62.4
pjxpqxbj955,369.0,1.608695652173913,52.5
pjxpqxbj956,360.0,2.0779944289693595,60.0
pjxpqxbj957,500.0,1.5410821643286574,64.95
pjxpqxbj961,449.0,1.7098214285714286,61.0
pjxpqxbj962,550.0,1.395264116575592,80.0
pjxpqxbj963,478.0,1.6331236897274632,37.6
pjxpqxbj967,428.0,1.810304449648712,75.4
pjxpqxbj969,450.0,1.7438752783964366,71.55
pjxpqxbj971,385.0,1.8723958333333333,62.2
pjxpqxbj972,377.0,2.077127659574468,80.3
pjxpqxbj973,377.0,2.0718085106382977,76.8
pjxpqxbj975,402.0,1.9177057356608478,71.95
pjxpqxbj976,471.0,1.646808510638298,73.2
pjxpqxbj977,676.0,1.122962962962963,68.0
pjxpqxbj978,377.0,1.8962765957446808,51.6
pjxpqxbj979,479.0,1.5774058577405858,63.15
pjxpqxbj981,545.0,1.4338235294117647,64.4
pjxpqxbj985,456.0,1.676923076923077,60.0
pjxpqxbj986,614.0,1.272430668841762,71.6
pjxpqxbj987,458.0,1.7067833698030634,72.2
pjxpqxbj992,530.0,1.4593572778827977,64.7
pjxpqxbj994,311.0,2.5193548387096776,70.6
pjxpqxbj997,512.0,1.5264187866927592,65.75
pjxpqxbj998,438.0,1.7528604118993134,62.3
pjxqqxbj947,376.0,2.056,43.3
pjxqqxbj949,625.0,1.251602564102564,70.2
pjxqqxbj951,441.0,1.7386363636363635,42.6
pjxqqxbj954,490.0,1.591002044989775,72.7
pjxqqxbj957,422.0,1.852731591448931,75.25
pjxqqxbj959,511.0,1.5274509803921568,56.8
pjxqqxbj961,628.0,1.2328548644338118,56.4
pjxqqxbj964,467.0,1.6523605150214593,53.5
pjxqqxbj967,419.0,1.7344497607655502,64.7
pjxqqxbj969,448.0,1.7337807606263982,60.5
pjxqqxbj970,264.0,2.931558935361217,65.6
pjxqqxbj973,419.0,1.8397129186602872,45.7
pjxqqxbj974,476.0,1.6357894736842105,61.8
pjxqqxbj975,451.0,1.7066666666666668,67.4
pjxqqxbj977,432.0,1.777262180974478,63.0
pjxqqxbj979,415.0,1.8840579710144927,66.5
pjxqqxbj981,518.0,1.4912959381044488,52.8
pjxqqxbj982,489.0,1.6024590163934427,77.7
pjxqqxbj983,407.0,1.9236453201970443,60.2
pjxqqxbj985,421.0,1.8428571428571427,58.2
pjxqqxbj986,483.0,1.595435684647303,56.9
pjxqqxbj988,461.0,1.6782608695652175,55.2
pjxqqxbj989,457.0,1.7105263157894737,55.4
pjxqqxbj991,420.0,1.863961813842482,60.9
pjxqqxbj996,506.0,1.504950495049505,36.9
pjxqqxbj997,591.0,1.3152542372881355,35.7
pjxqqxbj998,420.0,1.8329355608591886,59.2
pjxqzxbj967,195.0,3.747422680412371,60.0
pjxqzxbj971,358.0,1.7450980392156863,64.9
pjxqzxbj973,442.0,1.7709750566893423,76.35
pjxqzxbj975,492.0,1.5784114052953158,82.75
pjxqzxbj979,188.0,2.9411764705882355,60.0
pjxqzxbj980,683.0,1.1304985337243403,63.45
pjxqzxbj982,367.0,2.087431693989071,75.15
pjxqzxbj983,297.0,2.6013513513513513,60.0
pjxqzxbj984,524.0,1.4933078393881454,51.6
pjxqzxbj985,419.0,1.861244019138756,61.7
pjxqzxbj989,571.0,1.3508771929824561,76.5
pjxqzxbj994,512.0,1.5088062622309197,73.3
pjxqzxbj995,88.0,4.804597701149425,60.0
pjxqzxbj996,477.0,1.6449579831932772,44.8
pjxqzxbj997,437.0,1.786697247706422,43.45
pjxrqxbj891,465.0,1.6616379310344827,67.9
pjxrqxbj892,432.0,1.7819025522041763,62.4
pjxrqxbj894,444.0,1.7584650112866818,52.7
pjxrqxbj898,448.0,1.7404921700223714,61.1
pjxrqxbj901,482.0,1.6008316008316008,59.2
pjxrqxbj903,467.0,1.6738197424892705,66.7
pjxrqxbj905,216.0,3.5906976744186045,48.35
pjxrqxbj908,571.0,1.3631578947368421,69.7
pjxrqxbj909,499.0,1.5682730923694779,88.2
pjxrqxbj911,309.0,2.4967532467532467,49.7
pjxrqxbj914,329.0,2.3658536585365852,64.0
pjxrqxbj916,455.0,1.671806167400881,68.2
pjxrqxbj918,426.0,1.8352941176470587,59.0
pjxrqxbj919,519.0,1.4864864864864864,52.9
pjxrqxbj928,453.0,1.7013274336283186,52.6
pjxrqxbj930,403.0,1.9328358208955223,74.6
pjxrqxbj937,377.0,2.050531914893617,60.2
pjxrqxbj939,565.0,1.374113475177305,67.6
pjxrqxbj942,511.0,1.5176470588235293,50.0
pjxrqxbj943,466.0,1.6731182795698925,79.2
pjxrqxbj944,382.0,2.026246719160105,70.4
pjxrqxbj945,406.0,1.9259259259259258,51.6
pjxrqxbj947,452.0,1.6097560975609757,70.4
pjxrqxbj951,555.0,1.4097472924187726,48.0
pjxrqxbj952,511.0,1.511764705882353,45.5
pjxrqxbj954,585.0,1.3253424657534247,72.35
pjxrqxbj955,410.0,1.8948655256723717,75.1
pjxrqxbj957,420.0,1.8520286396181385,69.2
pjxrqxbj958,447.0,1.7533632286995515,59.6
pjxrqxbj961,469.0,1.6517094017094016,70.85
pjxrqxbj962,396.0,1.9367088607594938,56.75
pjxrqxbj963,398.0,1.942065491183879,56.6
pjxrqxbj969,501.0,1.558,34.4
pjxrqxbj971,451.0,1.708888888888889,43.95
pjxrqxbj972,374.0,2.067024128686327,79.75
pjxrqxbj973,555.0,1.3971119133574008,65.6
pjxrqxbj978,383.0,2.0392670157068062,63.0
pjxrqxbj981,274.0,2.816849816849817,63.95
pjxrqxbj983,468.0,1.6531049250535332,72.4
pjxrqxbj988,373.0,2.0833333333333335,68.9
pjxrqxbj990,463.0,1.658008658008658,65.55
pjxrqxbj992,331.0,1.906060606060606,47.2
pjxrqxbj994,492.0,1.5824847250509164,83.2
pjxrqxbj996,457.0,1.6929824561403508,66.6
pjxsqxbj751,349.0,1.7816091954022988,61.6
pjxsqxbj752,329.0,1.896341463414634,59.6
pjxsqxbj758,86.0,4.9411764705882355,89.0
pjxsqxbj760,63.0,9.35483870967742,93.4
pjxsqxbj764,411.0,1.9073170731707316,42.6
pjxsqxbj765,473.0,1.6122881355932204,58.0
pjxsqxbj768,430.0,1.8041958041958042,87.3
pjxsqxbj771,405.0,1.9257425742574257,74.0
pjxsqxbj772,240.0,3.192468619246862,75.4
pjxsqxbj774,221.0,3.3727272727272726,55.05
pjxsqxbj777,417.0,1.8774038461538463,64.9
pjxsqxbj778,460.0,1.6753812636165577,58.8
pjxsqxbj779,457.0,1.6951754385964912,60.0
pjxsqxbj780,366.0,2.117808219178082,70.95
pjxsqxbj784,429.0,1.824766355140187,72.2
pjxsqxbj786,373.0,2.099462365591398,52.1
pjxsqxbj787,467.0,1.6759656652360515,53.2
pjxsqxbj788,420.0,1.8591885441527447,57.3
pjxsqxbj789,415.0,1.8816425120772946,61.2
pjxsqxbj790,412.0,1.8880778588807785,58.4
pjxsqxbj792,425.0,1.775943396226415,41.3
pjxsqxbj796,439.0,1.7831050228310503,60.2
pjxsqxbj800,461.0,1.6782608695652175,66.6
pjxsqxbj801,463.0,1.6904761904761905,54.2
pjxsqxbj807,542.0,1.423290203327172,76.2
pjxsqxbj808,385.0,2.0338541666666665,57.4
pjxsqxbj809,524.0,1.4875717017208414,61.0
pjxsqxbj810,356.0,2.0816901408450703,53.4
pjxsqxbj811,474.0,1.6321353065539113,59.1
pjxsqxbj812,102.0,5.702970297029703,60.0
pjxsqxbj815,391.0,1.9974358974358974,64.5
pjxsqxbj816,308.0,2.54071661237785,66.45
pjxsqxbj820,438.0,1.7826086956521738,50.6
pjxsqxbj821,416.0,1.8843373493975903,69.4
pjxsqxbj823,361.0,2.1638888888888888,56.6
pjxsqxbj824,557.0,1.4010791366906474,91.8
pjxsqxbj825,438.0,1.791762013729977,61.9
pjxsqxbj826,382.0,2.0446194225721785,65.4
pjxsqxbj827,300.0,2.6153846153846154,64.2
pjxsqxbj829,484.0,1.6169772256728778,67.6
pjxsqxbj831,338.0,2.2700296735905043,49.2
pjxsqxbj834,417.0,1.8293269230769231,53.3
pjxsqxbj840,388.0,2.0155038759689923,60.0
pjxsqxbj843,536.0,1.452336448598131,60.0
pjxsqxbj844,456.0,1.665934065934066,47.0
pjxsqxbj849,499.0,1.5602409638554218,43.9
pjxsqxbj851,455.0,1.722466960352423,67.6
pjxsqxbj856,429.0,1.8200934579439252,74.4
pjxsqxbj857,273.0,2.7941176470588234,55.6
pjxsqxbj859,442.0,1.7619047619047619,57.4
pjxsqxbj862,208.0,3.7681159420289854,43.9
pjxsqxbj863,467.0,1.6781115879828326,60.6
pjxsqxbj864,225.0,2.7142857142857144,61.7
pjxsqxbj867,430.0,1.780885780885781,64.75
pjxsqxbj871,483.0,1.6182572614107884,71.9
pjxsqxbj872,321.0,1.9125,55.5
pjxsqxbj873,445.0,1.7454954954954955,78.0
pjxsqxbj874,397.0,1.9015151515151516,69.0
pjxsqxbj876,515.0,1.5155642023346303,67.8
pjxsqxbj877,491.0,1.583673469387755,60.0
pjxsqxbj880,496.0,1.5757575757575757,68.8
pjxsqxbj881,389.0,1.9948453608247423,57.75
pjxsqxbj882,455.0,1.7158590308370043,54.6
pjxsqxbj884,455.0,1.7158590308370043,58.6
pjxsqxbj885,479.0,1.6150627615062763,72.95
pjxsqxbj886,375.0,2.0828877005347595,54.4
pjxsqxbj887,451.0,1.7355555555555555,71.2
pjxsqxbj888,380.0,2.050131926121372,46.2
pjxsqxbj892,393.0,1.9821428571428572,64.1
pjxsqxbj893,465.0,1.6831896551724137,63.7
pjxsqxbj894,459.0,1.705240174672489,57.0
pjxsqxbj897,318.0,2.4637223974763405,62.3
pjxsqxbj899,670.0,1.149476831091181,59.6
pjxsqxbj900,362.0,2.0831024930747923,73.6
pjxsqxbj904,517.0,1.5155038759689923,65.3
pjxsqxbj905,489.0,1.5614754098360655,74.6
pjxsqxbj906,370.0,2.116531165311653,49.4
pjxsqxbj908,458.0,1.7045951859956237,50.6
pjxsqxbj909,498.0,1.5533199195171026,63.6
pjxsqxbj912,460.0,1.6993464052287581,74.4
pjxsqxbj916,452.0,1.7206208425720622,66.0
pjxsqxbj918,398.0,1.4609571788413098,54.7
pjxsqxbj920,452.0,1.7250554323725056,68.0
pjxsqxbj921,213.0,2.8867924528301887,60.0
pjxsqxbj922,409.0,1.9142156862745099,59.2
pjxsqxbj925,294.0,2.6177474402730376,49.75
pjxsqxbj927,495.0,1.5688259109311742,78.45
pjxsqxbj929,350.0,2.2435530085959887,64.8
pjxsqxbj932,448.0,1.7472035794183445,73.4
pjxsqxbj934,525.0,1.4828244274809161,83.2
pjxsqxbj936,347.0,1.783236994219653,50.3
pjxsqxbj938,290.0,2.698961937716263,60.7
pjxsqxbj939,11.0,25.2,84.8
pjxsqxbj940,444.0,1.7494356659142212,56.3
pjxsqxbj941,463.0,1.6796536796536796,58.4
pjxsqxbj942,420.0,1.847255369928401,60.0
pjxsqxbj944,427.0,1.8333333333333333,54.5
pjxsqxbj946,555.0,1.4025270758122743,47.4
pjxsqxbj949,470.0,1.6567164179104477,58.5
pjxsqxbj953,449.0,1.7410714285714286,59.6
pjxsqxbj954,484.0,1.6128364389233953,78.6
pjxsqxbj957,478.0,1.6394129979035639,62.2
pjxsqxbj962,229.0,3.3991228070175437,40.15
pjxsqxbj965,429.0,1.8224299065420562,53.3
pjxsqxbj966,558.0,1.4039497307001796,67.95
pjxsqxbj968,425.0,1.8419811320754718,70.5
pjxsqxbj969,374.0,2.0938337801608577,63.6
pjxsqxbj970,424.0,1.8250591016548463,64.3
pjxsqxbj971,432.0,1.7981438515081207,73.1
pjxsqxbj976,374.0,2.0938337801608577,59.2
pjxsqxbj980,348.0,2.2478386167146973,44.5
pjxsqxbj981,392.0,1.9514066496163682,49.8
pjxsqxbj982,384.0,2.031331592689295,57.7
pjxsqxbj983,630.0,1.2384737678855327,80.05
pjxsqxbj984,360.0,2.1532033426183843,65.4
pjxsqxbj985,435.0,1.8018433179723503,60.65
pjxsqxbj986,419.0,1.868421052631579,68.9
pjxsqxbj989,488.0,1.6016427104722792,69.0
pjxsqxbj994,498.0,1.5633802816901408,63.0
pjxsqxbj995,467.0,1.6781115879828326,67.1
pjxsqxbj996,445.0,1.759009009009009,52.1
pjxsqxbj997,483.0,1.620331950207469,47.1
pjxsqxbj998,506.0,1.5445544554455446,71.6
pjxtztbj985,282.0,2.1601423487544484,73.55
pjxtztbj986,308.0,2.039087947882736,68.6
pjxtztbj987,342.0,1.8093841642228738,56.2
pjxtztbj989,456.0,1.7186813186813186,58.2
pjxtztbj990,399.0,1.9447236180904524,69.9
pjxtztbj996,478.0,1.6037735849056605,82.7
pjxtztbj997,468.0,1.6723768736616702,58.7
pjxtztbj998,411.0,1.9,50.2
pjxtzxbj997,251.0,3.112,61.0
pjxtzxfj978,0.0,0.0,0.0
pjxtzxfj980,0.0,0.0,0.0
pjxtzxfj981,0.0,0.0,0.0
pjxtzxfj982,1.0,0.0,0.0
pjxtzxfj983,0.0,0.0,0.0
pjxtzxfj986,0.0,0.0,0.0
pjxtzxfj994,0.0,0.0,0.0
pjxuqwbj443,355.0,1.7203389830508475,72.7
pjxuqwbj445,328.0,2.36085626911315,70.1
pjxuqwbj446,426.0,1.8329411764705883,63.8
pjxuqwbj449,400.0,1.5513784461152882,75.0
pjxuqwbj450,269.0,2.3544776119402986,35.8
pjxuqwbj454,311.0,2.490322580645161,56.3
pjxuqwbj460,358.0,1.742296918767507,42.6
pjxuqwbj461,386.0,1.5844155844155845,65.6
pjxuqwbj463,291.0,2.6862068965517243,68.0
pjxuqwbj468,454.0,1.7262693156732891,73.6
pjxuqwbj470,417.0,1.8533653846153846,73.15
pjxuqwbj472,411.0,1.895121951219512,64.7
pjxuqwbj473,473.0,1.652542372881356,64.5
pjxuqwbj474,469.0,1.6666666666666667,53.75
pjxuqwbj476,441.0,1.7431818181818182,62.4
pjxuqwbj477,557.0,1.4028776978417266,31.9
pjxuqwbj478,454.0,1.6821192052980132,64.5
pjxuqwbj479,426.0,1.84,52.4
pjxuqwbj483,338.0,2.320474777448071,63.15
pjxuqwbj485,416.0,1.8843373493975903,76.4
pjxuqwbj488,417.0,1.8798076923076923,59.15
pjxuqwbj489,429.0,1.7990654205607477,56.8
pjxuqwbj490,411.0,1.4585365853658536,58.3
pjxuqwbj491,451.0,1.7377777777777779,57.1
pjxuqwbj492,456.0,1.712087912087912,55.9
pjxuqwbj495,474.0,1.6384778012684988,74.9
pjxuqwbj496,465.0,1.6702586206896552,60.0
pjxuqwbj497,256.0,3.0509803921568626,48.4
pjxuqwbj498,423.0,1.8412322274881516,55.5
pjxuqwbj499,507.0,1.533596837944664,58.4
pjxuqwbj500,473.0,1.6567796610169492,65.8
pjxuqwbj503,447.0,1.7376681614349776,57.9
pjxuqwbj505,388.0,2.0103359173126614,64.0
pjxuqwbj507,483.0,1.595435684647303,85.6
pjxuqwbj508,558.0,1.3967684021543985,83.2
pjxuqwbj511,227.0,3.4424778761061945,68.6
pjxuqwbj512,423.0,1.8317535545023698,70.8
pjxuqwbj515,550.0,1.395264116575592,75.4
pjxuqwbj516,429.0,1.7990654205607477,70.55
pjxuqwbj517,529.0,1.4791666666666667,34.0
pjxuqwbj519,429.0,1.8200934579439252,40.25
pjxuqwbj525,524.0,1.4933078393881454,73.3
pjxuqwbj526,400.0,1.944862155388471,63.2
pjxuqwbj527,472.0,1.643312101910828,61.95
pjxuqwbj528,469.0,1.6623931623931625,69.6
pjxuqwbj529,402.0,1.945137157107232,64.0
pjxuqwbj535,299.0,2.577181208053691,50.0
pjxuqwbj536,402.0,1.9351620947630923,63.3
pjxuqwbj537,420.0,1.837708830548926,54.2
pjxuqwbj538,394.0,1.979643765903308,57.6
pjxuqwbj539,373.0,2.0698924731182795,61.3
pjxuqwbj540,433.0,1.8101851851851851,39.6
pjxuqwbj545,451.0,1.7266666666666666,60.0
pjxuqwbj546,461.0,1.6934782608695653,68.35
pjxuqwbj547,774.0,1.0116429495472186,53.35
pjxuqwbj551,634.0,1.2322274881516588,91.3
pjxuqwbj552,488.0,1.6057494866529773,72.75
pjxuqwbj558,353.0,2.190340909090909,46.9
pjxuqwbj559,460.0,1.6971677559912854,70.25
pjxuqwbj562,472.0,1.653927813163482,57.3
pjxuqwbj564,580.0,1.3454231433506045,75.0
pjxuqwbj565,759.0,1.0211081794195251,65.5
pjxuqwbj566,458.0,1.6805251641137855,66.0
pjxuqwbj568,432.0,1.814385150812065,73.0
pjxuqwbj571,469.0,1.6645299145299146,75.4
pjxuqwbj572,430.0,1.8228438228438228,60.1
pjxuqwbj573,558.0,1.4003590664272891,62.8
pjxuqwbj574,518.0,1.5009671179883946,72.6
pjxuqwbj580,447.0,1.7466367713004485,62.7
pjxuqwbj581,409.0,1.8970588235294117,71.4
pjxuqwbj582,326.0,2.3630769230769233,56.0
pjxuqwbj583,483.0,1.6224066390041494,73.5
pjxuqwbj584,360.0,2.1587743732590527,68.5
pjxuqwbj585,450.0,1.7371937639198218,78.4
pjxuqwbj586,409.0,1.911764705882353,52.4
pjxuqwbj588,462.0,1.6898047722342733,74.9
pjxuqwbj589,618.0,1.2625607779578607,62.0
pjxuqwbj591,515.0,1.517509727626459,74.65
pjxuqwbj593,143.0,5.514084507042254,32.4
pjxuqwbj594,425.0,1.7806603773584906,67.0
pjxuqwbj600,471.0,1.6553191489361703,57.9
pjxuqwbj605,368.0,2.122615803814714,69.8
pjxuqwbj606,508.0,1.5305719921104537,73.4
pjxuqwbj608,452.0,1.7228381374722839,63.4
pjxuqwbj609,403.0,1.9402985074626866,60.5
pjxuqwbj610,482.0,1.6257796257796258,77.5
pjxuqwbj615,361.0,2.1555555555555554,57.0
pjxuqwbj618,461.0,1.7,50.6
pjxuqwbj619,443.0,1.7692307692307692,63.0
pjxuqwbj621,321.0,1.971875,51.5
pjxuqwbj622,412.0,1.5060827250608273,57.8
pjxuqwbj624,408.0,1.9213759213759214,70.4
pjxuqwbj631,375.0,2.0828877005347595,61.4
pjxuqwbj632,340.0,2.297935103244838,63.8
pjxuqwbj633,411.0,1.8926829268292682,70.3
pjxuqwbj634,537.0,1.460820895522388,49.2
pjxuqwbj637,394.0,1.9821882951653944,69.8
pjxuqwbj638,433.0,1.8055555555555556,69.7
pjxuqwbj639,284.0,2.756183745583039,46.6
pjxuqwbj641,691.0,1.1159420289855073,70.1
pjxuqwbj642,450.0,1.730512249443207,68.5
pjxuqwbj643,461.0,1.6934782608695653,58.6
pjxuqwbj644,420.0,1.8544152744630071,79.75
pjxuqwbj647,470.0,1.6588486140724947,53.4
pjxuqwbj648,446.0,1.750561797752809,64.4
pjxuqwbj650,456.0,1.7142857142857142,69.5
pjxuqwbj651,386.0,1.9948051948051948,57.4
pjxuqwbj654,468.0,1.6745182012847966,44.3
pjxuqwbj655,346.0,2.217391304347826,61.0
pjxuqwbj658,364.0,2.1294765840220387,57.9
pjxuqwbj659,538.0,1.458100558659218,67.2
pjxuqwbj661,378.0,2.0159151193633953,64.7
pjxuqwbj663,498.0,1.5694164989939638,58.8
pjxuqwbj665,309.0,2.487012987012987,53.6
pjxuqwbj666,809.0,0.9529702970297029,75.4
pjxuqwbj673,439.0,1.7876712328767124,69.7
pjxuqwbj674,428.0,1.8173302107728337,69.9
pjxuqwbj676,393.0,1.9795918367346939,51.6
pjxuqwbj677,438.0,1.7848970251716247,71.2
pjxuqwbj678,455.0,1.722466960352423,55.8
pjxuqwbj679,467.0,1.6716738197424892,55.85
pjxuqwbj686,355.0,2.1864406779661016,71.95
pjxuqwbj687,474.0,1.6490486257928119,90.2
pjxuqwbj691,449.0,1.7388392857142858,59.55
pjxuqwbj692,451.0,1.7377777777777779,51.5
pjxuqwbj694,484.0,1.598343685300207,61.4
pjxuqwbj695,299.0,2.6241610738255035,50.6
pjxuqwbj698,422.0,1.845605700712589,67.2
pjxuqwbj699,552.0,1.4174228675136116,67.7
pjxuqwbj701,334.0,2.3363363363363363,78.7
pjxuqwbj705,337.0,2.244047619047619,49.4
pjxuqwbj708,520.0,1.4971098265895955,63.7
pjxuqwbj711,470.0,1.6609808102345416,69.3
pjxuqwbj712,474.0,1.6490486257928119,80.9
pjxuqwbj713,363.0,2.1629834254143647,57.2
pjxuqwbj714,539.0,1.4386617100371748,73.65
pjxuqwbj715,434.0,1.8060046189376444,69.6
pjxuqwbj717,454.0,1.6887417218543046,85.3
pjxuqwbj719,477.0,1.634453781512605,89.7
pjxuqwbj721,451.0,1.7377777777777779,52.0
pjxuqwbj723,450.0,1.7260579064587973,51.8
pjxuqwbj724,470.0,1.652452025586354,75.2
pjxuqwbj726,363.0,2.1519337016574585,48.7
pjxuqwbj731,900.0,0.8654060066740823,66.8
pjxuqwbj733,462.0,1.6572668112798266,80.6
pjxuqwbj734,452.0,1.7272727272727273,62.4
pjxuqwbj735,384.0,2.02088772845953,63.75
pjxuqwbj738,376.0,2.08,55.75
