JSMC(竞赛名称),HJJB(获奖级别),HJDJ(获奖等级),HJSJ(获奖时间),XHHGH(学号或工号),NJ(年级),XY(学院),ZY(专业),DNPX(队内排序),ZZ(职责)
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxsqxbj811,2020,经济与管理学院,管理科学与工程,10,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxyqxbk159,2020,微电子学院,微电子科学与工程,11,学生
第四届西部某省省大学生工程制图与3D建模大赛,省级,三等奖,2022-05-01 00:00:00,pjxuqwbj870,大三,机电工程学院,机械设计制造及其自动化,1,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjwrqxbj979,2020,机电工程学院,机器人工程,1,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxsqxbj897,2020,经济与管理学院,市场营销,10,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxxzxkj990,2020,通信工程学院,通信工程,8,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxyqxbl717,2020,电子工程学院,电子信息工程,10,学生
2022年英特尔杯大学生电子设计竞赛嵌入式系统专题邀请赛,国家级,三等奖,2022-08-01 00:00:00,pjxyqxbj662,2020,微电子学院,集成电路设计与集成系统,1,学生
2022年英特尔杯大学生电子设计竞赛嵌入式系统专题邀请赛,国家级,三等奖,2022-08-01 00:00:00,pjxyqxbk846,2020,电子工程学院,电子信息工程,2,学生
2022年英特尔杯大学生电子设计竞赛嵌入式系统专题邀请赛,国家级,三等奖,2022-08-01 00:00:00,pjxyqxbj277,2020,微电子学院,微电子科学与工程,3,学生
2023年全国大学生英语竞赛,国家级,特等奖,2023-05-01 00:00:00,pjxyqxbj214,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
2023年全国大学生英语竞赛,国家级,特等奖,2023-05-01 00:00:00,pjxyqwbj941,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
2023年全国大学生英语竞赛,国家级,特等奖,2023-05-01 00:00:00,pjxyqwbj674,2020级,人工智能学院,智能科学与技术,1,学生
2023年全国大学生英语竞赛,国家级,特等奖,2023-05-01 00:00:00,pjxyqwbj691,2020级,人工智能学院,智能科学与技术,1,学生
2023年全国大学生英语竞赛,国家级,特等奖,2023-05-01 00:00:00,pjxyqwbk534,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
中国大学生服务外包创新创业大赛,省级,二等奖,2023-05-01 00:00:00,pjxyqxbk681,2020级,通信工程学院,信息工程,3,队员
中国大学生服务外包创新创业大赛,省级,二等奖,2023-05-01 00:00:00,pjxuqwbj492,2020级,机电工程学院,电子封装技术,2,队员
2022中国大学生程序设计竞赛,国家级,银奖,2022-11-01 00:00:00,pjxuqwbj738,2020级,机电工程学院,机器人工程,1,学生
2022中国大学生程序设计竞赛,国家级,银奖,2022-11-01 00:00:00,pjxyqwbj216,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
第47届ICPC国际大学生程序设计竞赛亚洲区域赛,国家级,银奖,2022-11-01 00:00:00,pjxyqwbk729,2020级,计算机科学与技术学院,软件工程,1,学生
第11届西部某省省大学生程序设计竞赛,省级,金奖,2023-05-01 00:00:00,pjxyqwbj570,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
第11届西部某省省大学生程序设计竞赛,省级,金奖,2023-05-01 00:00:00,pjxuqwbj738,2020级,机电工程学院,机器人工程,1,学生
第十二届中国大学生物理学术竞赛（西北赛区）,省级,一等,2022-07-01 00:00:00,pjwrqxbj882,2020级,先进材料与纳米科技学院,材料科学与工程,2,学生
第十二届中国大学生物理学术竞赛,国家级,三等,2022-10-01 00:00:00,pjxyqxbk531,2020级,光电工程学院,电子科学与技术,2,学生
第十二届中国大学生物理学术竞赛,国家级,三等,2022-10-01 00:00:00,pjxyqxbj522,2020级,光电工程学院,电子科学与技术,2,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxxzxkj990,2020,通信工程,通信工程,10,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxsqxbj851,2020,经济与管理学院,管理科学与工程类,15,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,二等奖,2022-08-01 00:00:00,pjxyqxbl954,2020,电子工程学院,电子信息工程,1,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,二等奖,2022-08-01 00:00:00,pjxuqwbj870,2020,机电工程学院,机械设计制造及其自动化,3,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,二等奖,2022-08-01 00:00:00,pjxwzxbj997,2020,电子工程学院,电子信息工程,3,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,二等奖,2022-08-01 00:00:00,pjxyqxbl735,2020,电子工程学院,电子信息工程,2,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,二等奖,2022-08-01 00:00:00,pjxyqxbj694,2020,电子工程学院,电子信息工程,2,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,二等奖,2022-08-01 00:00:00,pjxuqwbj615,2020,机电工程学院,自动化,1,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,二等奖,2022-08-01 00:00:00,pjxuqwbj674,2020,机电工程学院,机器人工程,2,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,三等奖,2022-08-01 00:00:00,pjxyqxbj733,2020,空间科学与技术学院,探测制导与控制技术,1,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,一等奖,2022-08-01 00:00:00,pjxyqxbj195,2020,电子工程学院,电子信息工程,3,学生
第11届西部某省省大学生程序设计竞赛,省级,银奖,2023-05-01 00:00:00,pjxyqwbk729,2020级,计算机科学与技术学院,软件工程,1,学生
第11届西部某省省大学生程序设计竞赛,省级,银奖,2023-05-01 00:00:00,pjxyqwbj384,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqxbj474,2020,通信工程学院,通信工程,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqwbj013,2020,计算机科学与技术学院,计算机科学与技术,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqwbj004,2020,计算机科学与技术学院,物联网工程,1,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,一等奖,2022-08-01 00:00:00,pjxyqxbj195,2020,电子工程学院,电子信息工程,3,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxrqxbj891,2020,数学与统计学院,统计学,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqxbl927,2020,物理学院,应用物理,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqxbk676,2020,电子工程学院,电子信息工程,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqwbj616,2020,计算机科学与技术学院,计算机科学与技术,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqwbj435,2020,计算机科学与技术学院,计算机科学与技术,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqwbj126,2020,网络与信息安全学院,网络工程,1,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjxyqwbj251,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjxyqwbj251,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjxyqwbj251,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjxyqxbk674,2020级,物理与光电工程学院,电子科学与技术,1,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjxyqxbk936,2020级,物理与光电工程学院,电子科学与技术,1,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjwrqxbj890,2020级,物理与光电工程学院,电子科学与技术,1,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjwuzxbj992,2020级,微电子学院,微电子科学与工程,1,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjwrqxbj967,2020级,先进材料与纳米科技学院,材料科学与工程,1,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjxyqwbj760,2020级,网络与信息安全学院,信息安全,1,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjxyqxbk820,2020级,电子工程学院,电子信息工程,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqwbj236,2020,网络与信息安全学院,信息安全,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqwbj534,2020,网络与信息安全学院,信息安全,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqxbl735,2020,电子工程学院,电子信息工程,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqxbj146,2020,微电子学院,微电子科学与工程,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxuqwbj663,2020,光电工程学院,电子科学与技术,1,学生
第十二届中国大学生物理学术竞赛（西部某省赛区）,省级,特等,2022-06-01 00:00:00,pjxyqxbj522,2020级,光电工程学院,电子科学与技术,1,学生
第八届中国国际“互联网+”大学生创新创业大赛全国总决赛,国家级,三等奖,2022-11-01 00:00:00,pjxsqxbj899,2020,经济与管理学院,管理科学与工程类,5,学生
第八届中国国际“互联网+”大学生创新创业大赛全国总决赛,国家级,三等奖,2022-11-01 00:00:00,pjwrqxbj979,2020,机电工程学院,机器人工程,1,学生
第八届中国国际“互联网+”大学生创新创业大赛全国总决赛,国家级,三等奖,2022-11-01 00:00:00,pjxsqxbj897,2020,经济与管理学院,市场营销,11,学生
第十届大学生机械创新设计大赛,国家级,三等奖,2022-08-01 00:00:00,pjxuqwbj472,2020级,机电工程学院,机械设计制造及其自动化,3,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjxyqxbk452,2020级,通信工程学院,通信工程,1,学生
国际数学建模竞赛,国际级,特等提名奖,2022-05-01 00:00:00,pjwtqxbj931,2020级,生命科学技术学院,生物医学工程,1,学生
国际数学建模竞赛,国际级,特等提名奖,2022-05-01 00:00:00,pjxyqwbj625,2020级,计算机科学与技术学院,软件工程,1,学生
国际数学建模竞赛,国际级,特等提名奖,2022-05-01 00:00:00,pjxyqxbk836,2020级,微电子学院,集成电路设计与集成系统,1,学生
国际数学建模竞赛,国际级,特等提名奖,2022-05-01 00:00:00,pjxyqxbj653,2020级,通信工程学院,通信工程,1,学生
国际数学建模竞赛,国际级,特等提名奖,2022-05-01 00:00:00,pjxyqxbk428,2020级,电子工程学院,遥感科学与技术,1,学生
国际数学建模竞赛,国际级,特等提名奖,2022-05-01 00:00:00,pjxsqxbj936,2020级,经济与管理学院,管理科学与工程类,1,学生
国际数学建模竞赛,国际级,特等提名奖,2022-05-01 00:00:00,pjxsqxbj918,2020级,经济与管理学院,管理科学与工程类,1,学生
国际数学建模竞赛,国际级,特等提名奖,2022-05-01 00:00:00,pjxyqwbk910,2020级,计算机科学与技术,计算机科学与技术,1,学生
国际数学建模竞赛,国际级,特等提名奖,2022-05-01 00:00:00,pjxyqxbk147,2020级,电子工程学院,电子信息工程,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxxxxbj930,2020级,通信工程学院,通信工程,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxxxxbj966,2020级,通信工程学院,通信工程,1,学生
第十届大学生机械创新设计大赛西部某省赛区,省级,一等奖,2022-06-01 00:00:00,pjxyqxbj067,2020级,光电工程学院,光电信息科学与工程,2,学生
第十届大学生机械创新设计大赛西部某省赛区,省级,一等奖,2022-06-01 00:00:00,pjxwzxkj993,2020级,电子工程学院,电子信息工程,5,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjxyqwbj117,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjxyqxbj337,2020级,电子工程学院,电子信息工程,1,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjxyqxbk236,2020级,电子工程学院,电子信息工程,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqwbj998,2020,计算机科学与技术学院,软件工程,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqwbj788,2020,计算机科学与技术学院,软件工程,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqxbj290,2020,微电子学院,集成电路设计与集成系统,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqxbk863,2020,光电工程学院,电子科学与技术,1,学生
2023年中国大学生工程实践与创新能力大赛,省级,一等奖,2023-10-01 00:00:00,pjxuqwbj958,2020级,机电工程学院,电子封装技术,1,学生
2023年中国大学生工程实践与创新能力大赛,省级,一等奖,2023-10-01 00:00:00,pjxuqwbj898,2020级,机电工程学院,电子封装技术,3,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxsqxbj871,2020,经济与管理学院,电子商务,1,学生
2023年中国大学生工程实践与创新能力大赛,省级,优秀奖,2023-10-01 00:00:00,pjxuqwbj788,2020级,机电工程学院,机械设计制造及其自动化,1,学生
2023年中国大学生工程实践与创新能力大赛,省级,优秀奖,2023-10-01 00:00:00,pjxuqwbj785,2020级,机电工程学院,机械设计制造及其自动化,4,学生
2023年中国大学生工程实践与创新能力大赛,省级,特等奖,2023-10-01 00:00:00,pjxuqwbj677,2020级,机电工程学院,机械设计制造及其自动化,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqwbj300,2020,计算机科学与技术学院,计算机科学与技术,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqxbl939,2020,电子工程学院,电磁场与无线技术,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxrqxbj961,2020,数学与统计学院,数学与应用数学,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqxbk415,2020,物理学院,电子信息科学与技术,1,学生
第47届ICPC国际大学生程序设计竞赛亚洲区域赛,国家级,银奖,2022-11-01 00:00:00,pjxyqwbk729,2020级,计算机科学与技术学院,软件工程,1,学生
第47届ICPC国际大学生程序设计竞赛亚洲区域赛,国家级,银奖,2022-11-01 00:00:00,pjxyqwbj570,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
第八届中国国际“互联网+”大学生创新创业大赛全国总决赛,国家级,二等奖,2022-11-01 00:00:00,pjxxxxbj943,2020,通信工程学院,通信工程,7,学生
第八届中国国际“互联网+”大学生创新创业大赛全国总决赛,国家级,二等奖,2022-11-01 00:00:00,pjxxxxbj958,2020,通信工程学院,通信工程,3,学生
第八届中国国际“互联网+”大学生创新创业大赛全国总决赛,国家级,二等奖,2022-11-01 00:00:00,pjxxxxbj957,2020,通信工程学院,通信工程,4,学生
大学生英语竞赛,国家级,特等奖,2022-11-01 00:00:00,pjxyqxbj851,2020级,微电子学院,集成电路设计与集成系统,1,学生
大学生英语竞赛,国家级,特等奖,2022-11-01 00:00:00,pjxyqxbj866,2020级,通信工程学院,通信工程,1,学生
大学生英语竞赛,国家级,一等奖,2022-11-01 00:00:00,pjxyqwbk534,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
第二届“外教社·词达人杯”全国大学生英语词汇能力大赛,国家级,一等奖,2022-05-01 00:00:00,pjxyqwbk617,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
第二届“外教社·词达人杯”全国大学生英语词汇能力大赛,省级,二等奖,2022-05-01 00:00:00,pjxyqxbj851,2020级,微电子学院,集成电路设计与集成系统,1,学生
2022年第八届全国大学生物理实验竞赛（创新）,国家级,二等,2022,pjxyqxbk046,2020级,物理学院,应用物理学,5,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxyqwbk740,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxyqwbj885,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxyqxbl766,2020级,微电子学院,微电子科学与工程,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjwrqxbj951,2020级,先进材料与纳米科技学院,材料科学与工程,1,学生
中国高校计算机大赛-2023团体程序设计天梯赛,国家级,三等奖,2023-04-01 00:00:00,pjxyqwbj384,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
2022CCF CCSP大学生计算机系统与程序设计竞赛,国家级,银奖,2022-12-01 00:00:00,pjxuqwbj738,2020级,机电工程学院,机器人工程,1,学生
2022CCF CCSP大学生计算机系统与程序设计竞赛,国家级,铜奖,2022-12-01 00:00:00,pjxyqwbk729,2020级,计算机科学与技术学院,软件工程,1,学生
中国高校计算机大赛-2023团体程序设计天梯赛,国家级,三等奖,2023-04-01 00:00:00,pjxyqwbj570,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
中国高校计算机大赛-2023团体程序设计天梯赛,国家级,三等奖,2023-04-01 00:00:00,pjxyqwbk729,2020级,计算机科学与技术学院,软件工程,1,学生
中国高校计算机大赛-2023团体程序设计天梯赛,国家级,三等奖,2023-04-01 00:00:00,pjxyqwbj216,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
第十二届中国大学生物理学术竞赛（西部某省赛区）,省级,一等,2022-06-01 00:00:00,pjxyqxbk531,2020级,光电工程学院,电子科学与技术,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxsqxbj971,2020级,物理与光电工程学院,应用物理学,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjwrqxbj884,2020级,物理与光电工程学院,应用物理学,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxsqxbj909,2020级,经济与管理学院,管理科学与工程类,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxyqwbj130,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxxxxbj915,2020级,通信工程学院,通信工程（中外合作）,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxuqwbj661,2020级,计算机,计算机科学与技术,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxrqxbj943,2020级,计算机,计算机科学与技术,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxrqxbj918,2020级,数学与统计学院,数学与应用数学,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxyqxbj893,2020级,微电子学院,集成电路设计与集成系统,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxyqwbj926,2020级,人工智能学院,人工智能,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxyqxbk905,2020级,通信工程学院,通信工程,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxyqxbj714,2020级,通信工程,通信工程,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxyqxbj428,2020级,通信工程学院,信息工程,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxyqxbk991,2020级,微电子学院,集成电路设计与集成系统,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxyqxbj038,2020级,微电子学院,集成电路设计与集成系统,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxyqxbj365,2020级,电子工程学院,电子信息工程,1,学生
2023睿抗机器人开发大赛（RAICOM）全国总决赛,国家级,三等奖,2023-08-01 00:00:00,pjxuqwbj848,2020级,机电工程学院,机器人工程,1,学生
2023睿抗机器人开发大赛（RAICOM）全国总决赛,国家级,三等奖,2023-08-01 00:00:00,pjxuqwbj839,2020级,机电工程学院,机器人工程,2,学生
2023睿抗机器人开发大赛（RAICOM）西部某省赛区竞赛,省级,一等奖,2023-07-01 00:00:00,pjxuqwbj848,2020级,机电工程学院,机器人工程,1,学生
2023睿抗机器人开发大赛（RAICOM）西部某省赛区竞赛,省级,一等奖,2023-07-01 00:00:00,pjxuqwbj839,2020级,机电工程学院,机器人工程,2,学生
中国高校计算机大赛-2023团体程序设计天梯赛,国家级,三等奖,2023-04-01 00:00:00,pjxuqwbj738,2020级,机电工程学院,机器人工程,1,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,三等奖,2022-08-01 00:00:00,pjwtqxbj965,2020,空间科学与技术学院,空间科学与技术,2,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxuqwbj818,2020级,机电工程学院,自动化,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxuqwbj903,2020级,机电工程学院,机器人工程,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxwzxkj993,2020级,电子工程学院,电子信息工程,1,学生
2022年英特尔杯大学生电子设计竞赛嵌入式系统专题邀请赛,国家级,三等奖,2022-08-01 00:00:00,pjxyqxbj067,2020,光电工程学院,光电信息科学与工程,1,学生
2023年全国大学生英语竞赛,国家级,一等奖,2023-05-01 00:00:00,pjxyqxbk820,2020级,电子工程学院,电子信息工程,1,学生
2023年全国大学生英语竞赛,国家级,一等奖,2023-05-01 00:00:00,pjxyqwbj232,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
“外教社·词达人杯”全国大学生英语词汇能力大赛,省级,一等奖,2023-06-01 00:00:00,pjxyqwbj225,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
“外教社·词达人杯”全国大学生英语词汇能力大赛,省级,二等奖,2023-06-01 00:00:00,pjxqqxbj969,2020级,人文学院,汉语言文学,1,学生
“外教社·词达人杯”全国大学生英语词汇能力大赛,省级,三等奖,2023-06-01 00:00:00,pjxyqxbk307,2020级,电子工程学院,信息对抗技术,1,学生
第25届“外研社国才杯”全国大学生英语辩论赛全国决赛,国家级,二等奖,2023-06-01 00:00:00,pjxpqxbj912,2020级,外国语学院,翻译,1,学生
2023“外研社·国才杯”“理解当代中国”全国大学生外语能力大赛（多语种）,省级,银奖,2023-11-01 00:00:00,pjxpqxbj956,2020级,外国语学院,日语,1,学生
中国大学生服务外包创新创业大赛,省级,一等奖,2023-05-01 00:00:00,pjxxxxbj917,2020级,通信工程学院,通信工程,3,队员
2023年网络安全优秀创新成果大赛大学生创新创业作品赛,国家级,投资价值奖,2023-11-01 00:00:00,pjxyqwbk956,2020,网络与信息安全学院,网络空间安全,1,学生
2023年网络安全优秀创新成果大赛大学生创新创业作品赛,国家级,投资价值奖,2023-11-01 00:00:00,pjxyqwbj236,2020,网络与信息安全学院,信息安全,1,学生
第48届ICPC国际大学生程序设计竞赛亚洲区域赛,国家级,银奖,2023-11-01 00:00:00,pjxyqwbj570,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
第48届ICPC国际大学生程序设计竞赛亚洲区域赛,国家级,银奖,2023-11-01 00:00:00,pjxuqwbj738,2020级,机电工程学院,机器人工程,1,学生
中国高校计算机大赛-2023团体程序设计天梯赛,国家级,二等奖,2023-04-01 00:00:00,pjxyqwbj570,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
