LOGIN_NAME(账号 登录名),XM(真实姓名),DEPARTMENT_NAME(院系名称),MAJOR_NAME(专业名称),CLASS_NAME(班级名称),ROLEID(角色 1老师 3学生 7管理员),BFB(综合表现)
pjxyqxbk705,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.62
pjxyqxbk610,同学|老师,通信工程学院,通信工程,2001014,3,99.57
pjxyqxbk609,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.73
pjxyqxbk606,同学|老师,微电子学院,微电子科学与工程,2014012,3,99.81
pjxyqxbk604,同学|老师,物理与光电工程学院,电子科学与技术,2005019,3,99.6
pjxyqxbk603,同学|老师,微电子学院,微电子科学与工程,2014012,3,99.62
pjxyqxbk601,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.52
pjxyqxbk598,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.79
pjxyqxbk597,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.7
pjxyqxbk596,同学|老师,微电子学院,集成电路设计与集成系统,2014022,3,99.7
pjxyqxbk595,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.73
pjxyqxbk594,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.02
pjxyqxbk592,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.2
pjxyqxbk590,同学|老师,空间科学与技术学院,空间科学与技术,2016029,3,99.79
pjxyqxbk583,同学|老师,物理与光电工程学院,电子信息科学与技术,2005052,3,99.64
pjxyqxbk582,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.66
pjxyqxbk581,同学|老师,微电子学院,集成电路设计与集成系统,2014023,3,99.92
pjxyqxbk579,同学|老师,物理与光电工程学院,光电信息科学与工程,2005031,3,99.32
pjxyqxbk578,同学|老师,通信工程学院,通信工程,2001015,3,99.85
pjxyqxbk573,同学|老师,电子工程学院,电磁场与无线技术,2002061,3,99.88
pjxyqxbk572,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,95.22
pjxyqxbk571,同学|老师,微电子学院,微电子科学与工程,2014013,3,99.83
pjxyqxbk567,同学|老师,通信工程学院,信息工程,2001052,3,99.6
pjxyqxbk566,同学|老师,物理与光电工程学院,光电信息科学与工程,2005031,3,99.8
pjxyqxbk565,同学|老师,微电子学院,微电子科学与工程,2014013,3,99.75
pjxyqxbk562,同学|老师,电子工程学院,电子信息工程,2002014,3,99.8
pjxyqxbk556,同学|老师,物理与光电工程学院,电子科学与技术,2005019,3,99.87
pjxyqxbk555,同学|老师,通信工程学院,通信工程,2001018,3,98.0
pjxyqxbk553,同学|老师,通信工程学院,通信工程,2001014,3,99.56
pjxyqxbk552,同学|老师,物理与光电工程学院,电子信息科学与技术,2005052,3,99.17
pjxyqxbk551,同学|老师,电子工程学院,电子信息工程,2002014,3,99.55
pjxyqxbk549,同学|老师,电子工程学院,电子信息工程,2002019,3,99.86
pjxyqxbk547,同学|老师,通信工程学院,通信工程,2001018,3,99.73
pjxyqxbk546,同学|老师,电子工程学院,电子信息工程,2002019,3,99.45
pjxyqxbk543,同学|老师,通信工程学院,通信工程,2001017,3,99.78
pjxyqxbk539,同学|老师,电子工程学院,电子信息工程,2002014,3,99.65
pjxyqxbk537,同学|老师,通信工程学院,通信工程,2001016,3,99.91
pjxyqxbk535,同学|老师,物理与光电工程学院,电子信息科学与技术,2005052,3,99.67
pjxyqxbk534,同学|老师,通信工程学院,通信工程,2001014,3,99.77
pjxyqxbk533,同学|老师,通信工程学院,通信工程,2001012,3,99.25
pjxyqxbk531,同学|老师,物理与光电工程学院,电子科学与技术,2005019,3,99.46
pjxyqxbk530,同学|老师,电子工程学院,电子信息工程,2002014,3,99.82
pjxyqxbk528,同学|老师,微电子学院,集成电路设计与集成系统,2014021,3,99.66
pjxyqxbk527,同学|老师,微电子学院,微电子科学与工程,2014019,3,99.66
pjxyqxbk525,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.76
pjxyqxbk524,同学|老师,电子工程学院,电磁场与无线技术,2002061,3,99.64
pjxyqxbk522,同学|老师,电子工程学院,电磁场与无线技术,2002061,3,99.72
pjxyqxbk521,同学|老师,通信工程学院,通信工程,2001014,3,96.09
pjxyqxbk520,同学|老师,通信工程学院,通信工程,2001013,3,99.69
pjxyqxbk519,同学|老师,通信工程学院,通信工程,2001013,3,99.77
pjxyqxbk516,同学|老师,通信工程学院,通信工程,2001019,3,99.85
pjxyqxbk513,同学|老师,通信工程学院,通信工程,2001011,3,99.77
pjxyqxbk506,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.7
pjxyqxbk505,同学|老师,通信工程学院,通信工程,2001013,3,99.74
pjxyqxbk503,同学|老师,电子工程学院,电子信息工程,2002014,3,99.77
pjxyqxbk501,同学|老师,空间科学与技术学院,探测制导与控制技术,2016011,3,99.01
pjxyqxbk500,同学|老师,空间科学与技术学院,探测制导与控制技术,2016011,3,99.71
pjxyqxbk497,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.75
pjxyqxbk495,同学|老师,物理与光电工程学院,电子信息科学与技术,2005052,3,93.31
pjxyqxbk491,同学|老师,通信工程学院,通信工程,2001019,3,99.52
pjxyqxbk489,同学|老师,微电子学院,微电子科学与工程,2014011,3,99.73
pjxyqxbk486,同学|老师,通信工程学院,通信工程,2001012,3,99.7
pjxyqxbk484,同学|老师,计算机科学与技术学院,软件工程,2003058,3,99.66
pjxyqxbk481,同学|老师,通信工程学院,通信工程,2001013,3,99.7
pjxyqxbk479,同学|老师,通信工程学院,通信工程,2001011,3,99.71
pjxyqxbk477,同学|老师,电子工程学院,电子信息工程,2002014,3,99.69
pjxyqxbk474,同学|老师,通信工程学院,通信工程,2001016,3,99.78
pjxyqxbk472,同学|老师,通信工程学院,通信工程,2001011,3,99.71
pjxyqxbk470,同学|老师,通信工程学院,通信工程,2001012,3,99.69
pjxyqxbk469,同学|老师,微电子学院,集成电路设计与集成系统,2014023,3,99.53
pjxyqxbk468,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.25
pjxyqxbk464,同学|老师,物理与光电工程学院,电子信息科学与技术,2005052,3,99.58
pjxyqxbk460,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.69
pjxyqxbk458,同学|老师,微电子学院,集成电路设计与集成系统,2014022,3,98.88
pjxyqxbk457,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.67
pjxyqxbk454,同学|老师,物理与光电工程学院,电子科学与技术,2005019,3,99.59
pjxyqxbk452,同学|老师,通信工程学院,通信工程,2001018,3,99.79
pjxyqxbk448,同学|老师,通信工程学院,通信工程,2001019,3,99.89
pjxyqxbk446,同学|老师,电子工程学院,电子信息工程,2002018,3,99.87
pjxyqxbk445,同学|老师,微电子学院,微电子科学与工程,2014011,3,99.79
pjxyqxbk444,同学|老师,通信工程学院,通信工程,2001012,3,99.75
pjxyqxbk442,同学|老师,物理与光电工程学院,电子科学与技术,2005019,3,99.62
pjxyqxbk437,同学|老师,电子工程学院,信息对抗技术,2002031,3,98.93
pjxyqxbk434,同学|老师,物理与光电工程学院,电子科学与技术,2005018,3,99.72
pjxyqxbk429,同学|老师,电子工程学院,电子信息工程,2002018,3,99.61
pjxyqxbk428,同学|老师,电子工程学院,遥感科学与技术,2002071,3,99.53
pjxyqxbk426,同学|老师,电子工程学院,电子信息工程,2002019,3,99.56
pjxyqxbk419,同学|老师,微电子学院,微电子科学与工程,2014011,3,99.46
pjxyqxbk415,同学|老师,物理与光电工程学院,电子信息科学与技术,2005052,3,99.49
pjxyqxbk414,同学|老师,空间科学与技术学院,空间科学与技术,2016021,3,99.25
pjxyqxbk411,同学|老师,通信工程学院,通信工程,2001014,3,99.67
pjxyqxbk403,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.81
pjxyqxbk402,同学|老师,电子工程学院,电子信息工程,2002014,3,99.53
pjxyqxbk401,同学|老师,物理与光电工程学院,光电信息科学与工程,2005031,3,97.7
pjxyqxbk399,同学|老师,空间科学与技术学院,飞行器设计与工程,2016031,3,99.38
pjxyqxbk398,同学|老师,电子工程学院,电子信息工程,2002014,3,99.79
pjxyqxbk391,同学|老师,微电子学院,集成电路设计与集成系统,2014023,3,99.61
pjxyqxbk389,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.78
pjxyqxbk388,同学|老师,空间科学与技术学院,空间科学与技术,2016021,3,99.83
pjxyqxbj995,同学|老师,电子工程学院,遥感科学与技术,2002071,3,99.57
pjxyqxbj993,同学|老师,通信工程学院,空间信息与数字技术,2001041,3,99.55
pjxyqxbj991,同学|老师,物理与光电工程学院,电子信息科学与技术,2005051,3,99.54
pjxyqxbj989,同学|老师,电子工程学院,电磁场与无线技术,2002061,3,99.6
pjxyqxbj987,同学|老师,电子工程学院,电子信息工程,2002011,3,99.53
pjxyqxbj985,同学|老师,物理与光电工程学院,电子信息科学与技术,2005051,3,99.72
pjxyqxbj984,同学|老师,物理与光电工程学院,光电信息科学与工程,2005031,3,99.61
pjxyqxbk382,同学|老师,微电子学院,集成电路设计与集成系统,2014022,3,99.51
pjxyqxbk378,同学|老师,微电子学院,微电子科学与工程,2014012,3,99.65
pjxyqxbk377,同学|老师,物理与光电工程学院,电子信息科学与技术,2005052,3,99.72
pjxyqxbk375,同学|老师,微电子学院,集成电路设计与集成系统,2014023,3,99.77
pjxyqxbk373,同学|老师,物理与光电工程学院,电子信息科学与技术,2005052,3,98.8
pjxyqxbk370,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.61
pjxyqxbk369,同学|老师,电子工程学院,电磁场与无线技术,2002061,3,99.52
pjxyqxbk368,同学|老师,微电子学院,集成电路设计与集成系统,2014021,3,99.8
pjxyqxbk364,同学|老师,通信工程学院,通信工程,2001018,3,99.4
pjxyqxbk358,同学|老师,电子工程学院,电子信息工程,2002014,3,99.81
pjxyqxbk354,同学|老师,电子工程学院,电子信息工程,2002014,3,99.33
pjxyqxbk351,同学|老师,物理与光电工程学院,电波传播与天线,2005061,3,99.54
pjxyqxbk350,同学|老师,微电子学院,集成电路设计与集成系统,2014023,3,99.62
pjxyqxbk349,同学|老师,电子工程学院,电子信息工程,2002014,3,99.76
pjxyqxbk346,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.45
pjxyqxbk343,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.8
pjxyqxbk342,同学|老师,人工智能学院,人工智能,2020039,3,99.81
pjxyqxbk341,同学|老师,电子工程学院,电子信息工程,2002014,3,99.85
pjxyqxbk339,同学|老师,电子工程学院,电子信息工程,2002014,3,99.58
pjxyqxbk338,同学|老师,物理与光电工程学院,电子信息科学与技术,2005052,3,99.74
pjxyqxbk336,同学|老师,通信工程学院,通信工程,2001014,3,99.84
pjxyqxbk335,同学|老师,电子工程学院,电子信息工程,2002019,3,99.48
pjxyqxbk334,同学|老师,通信工程学院,通信工程,2001013,3,99.72
pjxyqxbk331,同学|老师,微电子学院,微电子科学与工程,2014019,3,99.61
pjxyqxbk330,同学|老师,人工智能学院,人工智能,2020039,3,99.7
pjxyqxbk329,同学|老师,通信工程学院,信息工程,2001052,3,99.69
pjxyqxbk328,同学|老师,通信工程学院,通信工程,2001017,3,99.79
pjxyqxbk325,同学|老师,电子工程学院,电子信息工程,2002014,3,99.64
pjxyqxbk319,同学|老师,空间科学与技术学院,空间科学与技术,2016029,3,99.73
pjxyqxbk318,同学|老师,通信工程学院,通信工程,2001017,3,99.64
pjxyqxbk317,同学|老师,电子工程学院,电子信息工程,2002014,3,99.77
pjxyqxbk316,同学|老师,通信工程学院,信息工程,2001051,3,99.81
pjxyqxbk314,同学|老师,电子工程学院,电子信息工程,2002014,3,99.78
pjxyqxbk307,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.71
pjxyqxbk305,同学|老师,微电子学院,集成电路设计与集成系统,2014022,3,99.68
pjxyqxbk304,同学|老师,电子工程学院,电子信息工程,2002014,3,99.71
pjxyqxbk302,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.6
pjxyqxbk300,同学|老师,物理与光电工程学院,电子信息科学与技术,2005052,3,99.67
pjxyqxbk298,同学|老师,物理与光电工程学院,光电信息科学与工程,2005031,3,98.77
pjxyqxbk297,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.71
pjxyqxbk295,同学|老师,物理与光电工程学院,电子信息科学与技术,2005052,3,97.22
pjxyqxbk294,同学|老师,物理与光电工程学院,光电信息科学与工程,2005031,3,98.72
pjxyqxbk290,同学|老师,电子工程学院,电磁场与无线技术,2002061,3,99.78
pjxyqxbk287,同学|老师,电子工程学院,电子信息工程,2002014,3,98.59
pjxyqxbk286,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.72
pjxyqxbk281,同学|老师,电子工程学院,电子信息工程,2002014,3,99.79
pjxyqxbj981,同学|老师,通信工程学院,通信工程,2001013,3,99.66
pjxyqxbj980,同学|老师,微电子学院,微电子科学与工程,2014013,3,99.73
pjxyqxbj979,同学|老师,微电子学院,集成电路设计与集成系统,2014023,3,99.84
pjxyqxbj978,同学|老师,微电子学院,集成电路设计与集成系统,2014021,3,99.72
pjxyqxbj973,同学|老师,电子工程学院,电子信息工程,2002011,3,99.66
pjxyqxbj972,同学|老师,微电子学院,集成电路设计与集成系统,2014022,3,99.75
pjxyqxbj969,同学|老师,物理与光电工程学院,电子科学与技术,2005011,3,99.7
pjxyqxbj968,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.79
pjxyqxbj967,同学|老师,电子工程学院,电子信息工程,2002011,3,99.07
pjxyqxbj964,同学|老师,物理与光电工程学院,电子科学与技术,2005011,3,99.66
pjxyqxbj961,同学|老师,空间科学与技术学院,空间科学与技术,2016021,3,99.48
pjxyqxbj957,同学|老师,微电子学院,集成电路设计与集成系统,2014021,3,99.73
pjxyqxbj955,同学|老师,物理与光电工程学院,电子科学与技术,2005011,3,99.7
pjxyqxbj954,同学|老师,微电子学院,集成电路设计与集成系统,2014023,3,99.61
pjxyqxbj953,同学|老师,通信工程学院,通信工程,2001014,3,99.79
pjxyqxbj952,同学|老师,通信工程学院,通信工程,2001018,3,99.82
pjxyqxbj950,同学|老师,通信工程学院,通信工程,2001014,3,99.83
pjxyqxbj949,同学|老师,电子工程学院,电子信息工程,2002011,3,99.77
pjxyqxbj948,同学|老师,微电子学院,微电子科学与工程,2014011,3,99.76
pjxyqxbj947,同学|老师,通信工程学院,信息工程,2001052,3,99.71
pjxyqxbj945,同学|老师,微电子学院,微电子科学与工程,2014019,3,99.76
pjxyqxbj940,同学|老师,微电子学院,微电子科学与工程,2014013,3,97.74
pjxyqxbj935,同学|老师,通信工程学院,通信工程,2001017,3,99.68
pjxyqxbj933,同学|老师,通信工程学院,信息工程,2001052,3,99.79
pjxyqxbj932,同学|老师,通信工程学院,通信工程,2001015,3,99.78
pjxyqxbj929,同学|老师,物理与光电工程学院,电子科学与技术,2005011,3,99.77
pjxyqxbj928,同学|老师,物理与光电工程学院,电子科学与技术,2005019,3,99.75
pjxyqxbj927,同学|老师,通信工程学院,通信工程,2001013,3,99.79
pjxyqxbj922,同学|老师,微电子学院,集成电路设计与集成系统,2014028,3,99.02
pjxyqxbj921,同学|老师,物理与光电工程学院,电子科学与技术,2005011,3,99.76
pjxyqxbj919,同学|老师,通信工程学院,通信工程,2001018,3,99.82
pjxyqxbj918,同学|老师,微电子学院,集成电路设计与集成系统,2014023,3,99.06
pjxyqxbj915,同学|老师,通信工程学院,通信工程,2001013,3,99.69
pjxyqxbj914,同学|老师,微电子学院,集成电路设计与集成系统,2014028,3,99.82
pjxyqxbj911,同学|老师,物理与光电工程学院,电子信息科学与技术,2005051,3,98.43
pjxyqxbj910,同学|老师,通信工程学院,通信工程,2001013,3,99.7
pjxyqxbj909,同学|老师,空间科学与技术学院,空间科学与技术,2016021,3,99.36
pjxyqxbj907,同学|老师,计算机科学与技术学院,计算机科学与技术,2003019,3,99.56
pjxyqxbj905,同学|老师,物理与光电工程学院,电子科学与技术,2005011,3,99.8
pjxyqxbj903,同学|老师,计算机科学与技术学院,计算机科学与技术,2003018,3,99.57
pjxyqxbj898,同学|老师,通信工程学院,通信工程,2001013,3,99.79
pjxyqxbj897,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.76
pjxyqxbj896,同学|老师,通信工程学院,通信工程,2001012,3,99.72
pjxyqxbj895,同学|老师,微电子学院,集成电路设计与集成系统,2014022,3,99.44
pjxyqxbj893,同学|老师,微电子学院,集成电路设计与集成系统,2014021,3,99.64
pjxyqxbj889,同学|老师,电子工程学院,电子信息工程,2002011,3,99.76
pjxyqxbj888,同学|老师,通信工程学院,通信工程,2001012,3,99.76
pjxyqxbj885,同学|老师,电子工程学院,电子信息工程,2002018,3,99.85
pjxyqxbj884,同学|老师,通信工程学院,通信工程,2001013,3,97.67
pjxyqxbj879,同学|老师,通信工程学院,通信工程,2001017,3,99.78
pjxyqxbk277,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.4
pjxyqxbk276,同学|老师,微电子学院,集成电路设计与集成系统,2014021,3,99.76
pjxyqxbk273,同学|老师,通信工程学院,空间信息与数字技术,2001041,3,98.92
pjxyqxbk272,同学|老师,物理与光电工程学院,电子信息科学与技术,2005052,3,99.69
pjxyqxbk269,同学|老师,通信工程学院,信息工程,2001051,3,99.78
pjxyqxbk268,同学|老师,物理与光电工程学院,电子信息科学与技术,2005052,3,99.27
pjxyqxbk264,同学|老师,电子工程学院,电子信息工程,2002014,3,99.72
pjxyqxbk263,同学|老师,电子工程学院,电子信息工程,2002014,3,99.66
pjxyqxbk262,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.73
pjxyqxbk261,同学|老师,电子工程学院,电磁场与无线技术,2002061,3,99.01
pjxyqxbk257,同学|老师,物理与光电工程学院,电子信息科学与技术,2005052,3,99.5
pjxyqxbk253,同学|老师,物理与光电工程学院,电子科学与技术,2005018,3,98.99
pjxyqxbk246,同学|老师,电子工程学院,电子信息工程,2002014,3,99.79
pjxyqxbk243,同学|老师,通信工程学院,信息工程,2001052,3,99.85
pjxyqxbk242,同学|老师,微电子学院,微电子科学与工程,2014011,3,99.57
pjxyqxbk239,同学|老师,微电子学院,集成电路设计与集成系统,2014023,3,99.03
pjxyqxbk236,同学|老师,电子工程学院,电子信息工程,2002014,3,97.0
pjxyqxbk232,同学|老师,物理与光电工程学院,电子信息科学与技术,2005052,3,99.7
pjxyqxbk231,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.74
pjxyqxbk230,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.56
pjxyqxbk228,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.5
pjxyqxbk224,同学|老师,通信工程学院,通信工程,2001017,3,99.59
pjxyqxbk222,同学|老师,电子工程学院,电子信息工程,2002014,3,90.42
pjxyqxbk220,同学|老师,电子工程学院,电子信息工程,2002014,3,99.8
pjxyqxbk218,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.02
pjxyqxbk217,同学|老师,物理与光电工程学院,电波传播与天线,2005061,3,99.39
pjxyqxbk211,同学|老师,微电子学院,微电子科学与工程,2014011,3,99.36
pjxyqxbk210,同学|老师,微电子学院,微电子科学与工程,2014012,3,99.61
pjxyqxbk209,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.81
pjxyqxbk208,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.71
pjxyqxbk204,同学|老师,B1号书院,电子信息类,219106,3,98.35
pjxyqxbk201,同学|老师,电子工程学院,电磁场与无线技术,2002061,3,99.61
pjxyqxbk199,同学|老师,微电子学院,微电子科学与工程,2014013,3,99.66
pjxyqxbk198,同学|老师,物理与光电工程学院,电子信息科学与技术,2005052,3,99.6
pjxyqxbk195,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.32
pjxyqxbk194,同学|老师,通信工程学院,空间信息与数字技术,2001041,3,99.57
pjxyqxbk190,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.77
pjxyqxbk185,同学|老师,物理与光电工程学院,电子信息科学与技术,2005052,3,99.72
pjxyqxbk183,同学|老师,电子工程学院,电子信息工程,2002014,3,99.43
pjxyqxbk182,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.62
pjxyqxbk180,同学|老师,通信工程学院,通信工程,2001015,3,99.77
pjxyqxbj876,同学|老师,通信工程学院,通信工程,2001012,3,99.6
pjxyqxbj872,同学|老师,物理与光电工程学院,电子科学与技术,2005011,3,99.44
pjxyqxbj871,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.59
pjxyqxbj869,同学|老师,电子工程学院,电子信息工程,2002019,3,99.84
pjxyqxbj868,同学|老师,微电子学院,集成电路设计与集成系统,2014021,3,99.89
pjxyqxbj867,同学|老师,通信工程学院,通信工程,2001019,3,99.75
pjxyqxbj866,同学|老师,通信工程学院,通信工程,2001019,3,99.62
pjxyqxbj864,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.66
pjxyqxbj862,同学|老师,通信工程学院,通信工程,2001011,3,99.71
pjxyqxbj861,同学|老师,电子工程学院,电子信息工程,2002019,3,99.75
pjxyqxbj858,同学|老师,电子工程学院,电子信息工程,2002019,3,99.59
pjxyqxbj857,同学|老师,微电子学院,集成电路设计与集成系统,2014022,3,99.6
pjxyqxbj854,同学|老师,微电子学院,微电子科学与工程,2014019,3,97.89
pjxyqxbj853,同学|老师,电子工程学院,电子信息工程,2002011,3,99.92
pjxyqxbj851,同学|老师,微电子学院,集成电路设计与集成系统,2014021,3,99.43
pjxyqxbj848,同学|老师,电子工程学院,电子信息工程,2002019,3,99.03
pjxyqxbj846,同学|老师,通信工程学院,通信工程,2001019,3,99.55
pjxyqxbj841,同学|老师,通信工程学院,通信工程,2001012,3,99.91
pjxyqxbj840,同学|老师,物理与光电工程学院,电子科学与技术,2005019,3,99.63
pjxyqxbj838,同学|老师,电子工程学院,电子信息工程,2002018,3,98.86
pjxyqxbj835,同学|老师,通信工程学院,通信工程,2001016,3,99.63
pjxyqxbj834,同学|老师,电子工程学院,电子信息工程,2002019,3,99.67
pjxyqxbj832,同学|老师,电子工程学院,遥感科学与技术,2002071,3,99.66
pjxyqxbj831,同学|老师,电子工程学院,遥感科学与技术,2002071,3,99.41
pjxyqxbj830,同学|老师,空间科学与技术学院,空间科学与技术,2016021,3,99.32
pjxyqxbj829,同学|老师,通信工程学院,通信工程,2001014,3,99.71
pjxyqxbj828,同学|老师,物理与光电工程学院,电子信息科学与技术,2005051,3,99.7
pjxyqxbj827,同学|老师,空间科学与技术学院,空间科学与技术,2016021,3,99.45
pjxyqxbj823,同学|老师,空间科学与技术学院,飞行器设计与工程,2016031,3,99.78
pjxyqxbj818,同学|老师,微电子学院,微电子科学与工程,2014012,3,99.7
pjxyqxbj817,同学|老师,空间科学与技术学院,空间科学与技术,2016021,3,99.76
pjxyqxbj815,同学|老师,电子工程学院,电子信息工程,2002011,3,99.71
pjxyqxbj813,同学|老师,物理与光电工程学院,电子科学与技术,2005011,3,99.52
pjxyqxbj812,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.74
pjxyqxbj807,同学|老师,微电子学院,集成电路设计与集成系统,2014021,3,99.69
pjxyqxbj801,同学|老师,物理与光电工程学院,电子信息科学与技术,2005051,3,99.69
pjxyqxbj800,同学|老师,通信工程学院,信息工程,2001052,3,99.66
pjxyqxbj799,同学|老师,物理与光电工程学院,电子信息科学与技术,2005051,3,99.76
pjxyqxbj798,同学|老师,微电子学院,集成电路设计与集成系统,2014023,3,99.84
pjxyqxbj795,同学|老师,微电子学院,微电子科学与工程,2014012,3,99.68
pjxyqxbj794,同学|老师,物理与光电工程学院,电波传播与天线,2005061,3,99.62
pjxyqxbj791,同学|老师,通信工程学院,信息工程,2001051,3,99.78
