WID(wid),XSBH(学生编号),TJNY(统计年月),SWLJSC(上网累计时长),XXPJZ(学校平均值),XN(学年),XQ(学期),TBRQ(同步日期),TBLX(同步类型),CZRQ(操作日期),CZZ(操作者),CZZXM(操作者姓名)
F5EEFB3A05AA0AAEE053C97975CAB6EE,pjxyqwbj733,2023-03-01,1070.41,,,,,,,,同学|老师
F5EEFB39930C0AAEE053C97975CAB6EE,pjxyqxbk036,2023-03-01,487.02,,,,,,,,同学|老师
F5EEFB3923C70AAEE053C97975CAB6EE,pjxyqxbj117,2023-03-01,541.52,,,,,,,,同学|老师
F5EEFB38AD4F0AAEE053C97975CAB6EE,pjxyqwbk551,2023-03-01,327.84,,,,,,,,同学|老师
F5EEFB3A7D130AAEE053C97975CAB6EE,pjxyqwbj998,2023-03-01,284.68,,,,,,,,同学|老师
F5EEFB3A7B510AAEE053C97975CAB6EE,pjxyqwbj732,2023-03-01,980.2,,,,,,,,同学|老师
F5EEFB3923200AAEE053C97975CAB6EE,pjxyqxbk872,2023-03-01,58.2,,,,,,,,同学|老师
F5EEFB39275E0AAEE053C97975CAB6EE,pjxpqxbj930,2023-03-01,357.78,,,,,,,,同学|老师
F5EEFB3A00E40AAEE053C97975CAB6EE,pjxyqxbl796,2023-03-01,523.13,,,,,,,,同学|老师
F5EEFB39195E0AAEE053C97975CAB6EE,pjxsqxbj981,2023-03-01,501.02,,,,,,,,同学|老师
F5EEFB39230A0AAEE053C97975CAB6EE,pjxyqxbk183,2023-03-01,312.73,,,,,,,,同学|老师
F5EEFB38A5780AAEE053C97975CAB6EE,pjxyqxbj784,2023-03-01,469.21,,,,,,,,同学|老师
E8F41A99B79E3176E053C97975CA1663,pjxyqxbj739,2022-09-01,221.95,,,,,,,,同学|老师
E8F41A99D9DB3176E053C97975CA1663,pjxyqwbk859,2022-09-01,488.43,,,,,,,,同学|老师
E8F41A99D9E43176E053C97975CA1663,pjxyqwbj322,2022-09-01,487.98,,,,,,,,同学|老师
E8F41A99B8953176E053C97975CA1663,pjxyqxbj080,2022-09-01,355.78,,,,,,,,同学|老师
E8F41A99B89F3176E053C97975CA1663,pjxxxxbj953,2022-09-01,170.52,,,,,,,,同学|老师
E8F41A99B8BF3176E053C97975CA1663,pjxyqxbk547,2022-09-01,130.37,,,,,,,,同学|老师
E8F41A99B9093176E053C97975CA1663,pjxyqwbj986,2022-09-01,2772.57,,,,,,,,同学|老师
E8F41A99B9133176E053C97975CA1663,pjwrqxbj919,2022-09-01,183.89,,,,,,,,同学|老师
E8F41A99C9313176E053C97975CA1663,pjxyqxbk183,2022-09-01,146.77,,,,,,,,同学|老师
ECA0DF04EEF26F1AE053C97975CAB1EB,pjxyqxbk024,2022-10-01,387.57,,,,,,,,同学|老师
ECA0DF04EEF36F1AE053C97975CAB1EB,pjxyqxbk873,2022-10-01,451.92,,,,,,,,同学|老师
ECA0DF04EF256F1AE053C97975CAB1EB,pjxyqwbk779,2022-10-01,908.22,,,,,,,,同学|老师
ECA0DF04EF3A6F1AE053C97975CAB1EB,pjxyqxbj492,2022-10-01,560.47,,,,,,,,同学|老师
ECA0DF04EF3F6F1AE053C97975CAB1EB,pjxuqwbj642,2022-10-01,321.81,,,,,,,,同学|老师
ECA0DF04EF456F1AE053C97975CAB1EB,pjxxxxbj913,2022-10-01,151.07,,,,,,,,同学|老师
ECA0DF04EF466F1AE053C97975CAB1EB,pjxyqxbk706,2022-10-01,334.96,,,,,,,,同学|老师
ECA0DF04EF686F1AE053C97975CAB1EB,pjwrqxbj983,2022-10-01,962.22,,,,,,,,同学|老师
ECA0DF04EF8A6F1AE053C97975CAB1EB,pjxyqxbj392,2022-10-01,295.12,,,,,,,,同学|老师
ECA0DF04EF8F6F1AE053C97975CAB1EB,pjxyqwbj772,2022-10-01,752.81,,,,,,,,同学|老师
ECA0DF04EF9D6F1AE053C97975CAB1EB,pjxyqxbk329,2022-10-01,722.15,,,,,,,,同学|老师
ECA0DF04EFA06F1AE053C97975CAB1EB,pjxyqxbk217,2022-10-01,1057.13,,,,,,,,同学|老师
ECA0DF04EFA26F1AE053C97975CAB1EB,pjxwxxbj913,2022-10-01,15.53,,,,,,,,同学|老师
ECA0DF04EFC96F1AE053C97975CAB1EB,pjxyqxbl985,2022-10-01,572.63,,,,,,,,同学|老师
ECA0DF04EFCD6F1AE053C97975CAB1EB,pjxyqxbk253,2022-10-01,391.01,,,,,,,,同学|老师
ECA0DF04EFD06F1AE053C97975CAB1EB,pjxyqwbj570,2022-10-01,548.64,,,,,,,,同学|老师
ECA0DF04EFE26F1AE053C97975CAB1EB,pjxyqwbj687,2022-10-01,177.89,,,,,,,,同学|老师
ECA0DF04EFE36F1AE053C97975CAB1EB,pjxuqwbj552,2022-10-01,149.93,,,,,,,,同学|老师
ECA0DF04EFFD6F1AE053C97975CAB1EB,pjxyqxbj165,2022-10-01,846.65,,,,,,,,同学|老师
ECA0DF04F0166F1AE053C97975CAB1EB,pjxyqwbj651,2022-10-01,220.44,,,,,,,,同学|老师
ECA0DF04F0336F1AE053C97975CAB1EB,pjxyqwbj660,2022-10-01,999.73,,,,,,,,同学|老师
ECA0DF04F0476F1AE053C97975CAB1EB,pjxyqxbj866,2022-10-01,423.3,,,,,,,,同学|老师
ECA0DF04F0646F1AE053C97975CAB1EB,pjxuqwbj993,2022-10-01,100.04,,,,,,,,同学|老师
ECA0DF04F0676F1AE053C97975CAB1EB,pjxyqxbk926,2022-10-01,375.42,,,,,,,,同学|老师
ECA0DF04F0686F1AE053C97975CAB1EB,pjwtqxbj987,2022-10-01,204.54,,,,,,,,同学|老师
ECA0DF04F0696F1AE053C97975CAB1EB,pjxyqwbj408,2022-10-01,386.19,,,,,,,,同学|老师
ECA0DF04F0756F1AE053C97975CAB1EB,pjxyqxbj853,2022-10-01,239.61,,,,,,,,同学|老师
ECA0DF04F0816F1AE053C97975CAB1EB,pjxyqxbj967,2022-10-01,1274.56,,,,,,,,同学|老师
E8F41A9995243176E053C97975CA1663,pjxyqxbk147,2022-09-01,297.34,,,,,,,,同学|老师
E8F41A9996763176E053C97975CA1663,pjxyqwbj955,2022-09-01,413.89,,,,,,,,同学|老师
E8F41A99A63F3176E053C97975CA1663,pjxuzxbj987,2022-09-01,363.92,,,,,,,,同学|老师
E8F41A99A6DC3176E053C97975CA1663,pjxxxxbj907,2022-09-01,133.33,,,,,,,,同学|老师
E8F41A99A7633176E053C97975CA1663,pjxyqxbk162,2022-09-01,302.44,,,,,,,,同学|老师
ECA0DF04EE246F1AE053C97975CAB1EB,pjxyqxbj739,2022-10-01,394.09,,,,,,,,同学|老师
ECA0DF04EE276F1AE053C97975CAB1EB,pjxwzxbj996,2022-10-01,740.93,,,,,,,,同学|老师
E8F41A99DABA3176E053C97975CA1663,pjxyqxbj132,2022-09-01,103.72,,,,,,,,同学|老师
E8F41A99DAD83176E053C97975CA1663,pjxyqxbj717,2022-09-01,209.17,,,,,,,,同学|老师
E8F41A99DADB3176E053C97975CA1663,pjxyqxbk171,2022-09-01,138.09,,,,,,,,同学|老师
E8F41A99EA303176E053C97975CA1663,pjxyqxbj812,2022-09-01,332.68,,,,,,,,同学|老师
E8F41A99EA673176E053C97975CA1663,pjxyqxbk218,2022-09-01,41.89,,,,,,,,同学|老师
E8F41A99EB3F3176E053C97975CA1663,pjxyqxbj636,2022-09-01,194.23,,,,,,,,同学|老师
E8F41A99FBC93176E053C97975CA1663,pjxyqxbl766,2022-09-01,104.12,,,,,,,,同学|老师
E8F41A99FC9B3176E053C97975CA1663,pjxyqxbj589,2022-09-01,176.25,,,,,,,,同学|老师
E8F41A99FD303176E053C97975CA1663,pjxyqxbj332,2022-09-01,161.04,,,,,,,,同学|老师
E8F41A9A0DD33176E053C97975CA1663,pjxsqxbj777,2022-09-01,51.08,,,,,,,,同学|老师
ECA0DF04ECC16F1AE053C97975CAB1EB,pjwtqxbj968,2022-10-01,327.34,,,,,,,,同学|老师
ECA0DF04ECC26F1AE053C97975CAB1EB,pjxyqwbj092,2022-10-01,486.19,,,,,,,,同学|老师
ECA0DF04ECC36F1AE053C97975CAB1EB,pjxwxxbj951,2022-10-01,308.83,,,,,,,,同学|老师
ECA0DF04ECC76F1AE053C97975CAB1EB,pjxyqwbj773,2022-10-01,582.48,,,,,,,,同学|老师
ECA0DF04ED106F1AE053C97975CAB1EB,pjxxxxbj912,2022-10-01,799.22,,,,,,,,同学|老师
ECA0DF04ED136F1AE053C97975CAB1EB,pjxyqxbj250,2022-10-01,1156.91,,,,,,,,同学|老师
ECA0DF04ED376F1AE053C97975CAB1EB,pjxuqwbj711,2022-10-01,1236.06,,,,,,,,同学|老师
ECA0DF04ED3A6F1AE053C97975CAB1EB,pjxyqxbj284,2022-10-01,341.68,,,,,,,,同学|老师
ECA0DF04ED3E6F1AE053C97975CAB1EB,pjxyqwbj146,2022-10-01,897.7,,,,,,,,同学|老师
ECA0DF04ED546F1AE053C97975CAB1EB,pjxyqxbj574,2022-10-01,361.7,,,,,,,,同学|老师
ECA0DF04ED5C6F1AE053C97975CAB1EB,pjxyqwbj673,2022-10-01,750.91,,,,,,,,同学|老师
ECA0DF04ED6C6F1AE053C97975CAB1EB,pjxyqwbj630,2022-10-01,404.35,,,,,,,,同学|老师
ECA0DF04EDAD6F1AE053C97975CAB1EB,pjxyqxbl747,2022-10-01,564.31,,,,,,,,同学|老师
ECA0DF04EDBA6F1AE053C97975CAB1EB,pjxuqwbj698,2022-10-01,656.77,,,,,,,,同学|老师
ECA0DF04EDEF6F1AE053C97975CAB1EB,pjxyqxbj093,2022-10-01,357.07,,,,,,,,同学|老师
ECA0DF04EE196F1AE053C97975CAB1EB,pjxyqwbj873,2022-10-01,895.24,,,,,,,,同学|老师
E8BA477DBB5B1904E053C97975CA2F10,pjxsqxbj881,2022-09-01,63.72,,,,,,,,同学|老师
E8BA477DDA5B1904E053C97975CA2F10,pjxyqwbj444,2022-09-01,20.36,,,,,,,,同学|老师
E8BA477DDA601904E053C97975CA2F10,pjxuqwbj721,2022-09-01,269.22,,,,,,,,同学|老师
E8BA477DDA801904E053C97975CA2F10,pjxyqxbk131,2022-09-01,30.39,,,,,,,,同学|老师
E8BA477DEA121904E053C97975CA2F10,pjxyqwbk956,2022-09-01,760.38,,,,,,,,同学|老师
E8CD8B2EF31E307FE053C97975CAF24F,pjxyqwbj013,2022-09-01,158.2,,,,,,,,同学|老师
E8CD8B2F0311307FE053C97975CAF24F,pjxyqxbk201,2022-09-01,371.7,,,,,,,,同学|老师
E8CD8B2F033D307FE053C97975CAF24F,pjxyqxbk199,2022-09-01,375.67,,,,,,,,同学|老师
E8CD8B2F03AA307FE053C97975CAF24F,pjxyqxbl925,2022-09-01,160.95,,,,,,,,同学|老师
E8CD8B2F13CC307FE053C97975CAF24F,pjxyqwbj058,2022-09-01,211.02,,,,,,,,同学|老师
E8BA477DBB381904E053C97975CA2F10,pjxyqwbj734,2022-09-01,60.89,,,,,,,,同学|老师
E8BA477DBB3F1904E053C97975CA2F10,pjxwxxbj983,2022-09-01,219.64,,,,,,,,同学|老师
E8BA477DF99B1904E053C97975CA2F10,pjxyqwbk749,2022-09-01,74.48,,,,,,,,同学|老师
E8BA477E08771904E053C97975CA2F10,pjxuqwbj633,2022-09-01,130.58,,,,,,,,同学|老师
E8BA477E17EE1904E053C97975CA2F10,pjxyqxbk993,2022-09-01,291.05,,,,,,,,同学|老师
E8BA477E279E1904E053C97975CA2F10,pjxyqxbk894,2022-09-01,11.96,,,,,,,,同学|老师
E8CD8B2F14C0307FE053C97975CAF24F,pjxyqxbj098,2022-09-01,167.83,,,,,,,,同学|老师
E8CD8B2F250E307FE053C97975CAF24F,pjxyqwbj003,2022-09-01,56.18,,,,,,,,同学|老师
ECA0DF04F0916F1AE053C97975CAB1EB,pjwtqxbj984,2022-10-01,1020.5,,,,,,,,同学|老师
ECA0DF04F0B96F1AE053C97975CAB1EB,pjxyqxbj576,2022-10-01,700.58,,,,,,,,同学|老师
ECA0DF04F0C36F1AE053C97975CAB1EB,pjxyqxbk764,2022-10-01,410.19,,,,,,,,同学|老师
ECA0DF04F0F56F1AE053C97975CAB1EB,pjxwxxbj910,2022-10-01,788.91,,,,,,,,同学|老师
ECA0DF04F1076F1AE053C97975CAB1EB,pjxyqxbj174,2022-10-01,652.46,,,,,,,,同学|老师
ECA0DF04F10B6F1AE053C97975CAB1EB,pjxyqwbj589,2022-10-01,634.16,,,,,,,,同学|老师
ECA0DF04F11B6F1AE053C97975CAB1EB,pjxyqwbj077,2022-10-01,212.94,,,,,,,,同学|老师
ECA0DF04F11F6F1AE053C97975CAB1EB,pjwtqxbj954,2022-10-01,261.7,,,,,,,,同学|老师
ECA0DF04F1216F1AE053C97975CAB1EB,pjwrqxbj991,2022-10-01,400.49,,,,,,,,同学|老师
ECA0DF04F1586F1AE053C97975CAB1EB,pjxyqxbk898,2022-10-01,269.87,,,,,,,,同学|老师
ECA0DF04F16D6F1AE053C97975CAB1EB,pjxxxxbj958,2022-10-01,271.53,,,,,,,,同学|老师
ECA0DF04F17D6F1AE053C97975CAB1EB,pjxyqwbk542,2022-10-01,1014.18,,,,,,,,同学|老师
ECA0DF04F1996F1AE053C97975CAB1EB,pjxyqwbj108,2022-10-01,37.19,,,,,,,,同学|老师
ECA0DF04F1B46F1AE053C97975CAB1EB,pjxyqwbj251,2022-10-01,510.48,,,,,,,,同学|老师
ECA0DF04F1B56F1AE053C97975CAB1EB,pjxyqwbj393,2022-10-01,525.05,,,,,,,,同学|老师
ECA0DF04F1BE6F1AE053C97975CAB1EB,pjxyqxbk074,2022-10-01,573.71,,,,,,,,同学|老师
ECA0DF04F1C56F1AE053C97975CAB1EB,pjxyqxbk603,2022-10-01,402.59,,,,,,,,同学|老师
ECA0DF04F1C76F1AE053C97975CAB1EB,pjxyqxbj152,2022-10-01,135.55,,,,,,,,同学|老师
ECA0DF04F1C86F1AE053C97975CAB1EB,pjxyqwbk652,2022-10-01,892.16,,,,,,,,同学|老师
ECA0DF04F1E16F1AE053C97975CAB1EB,pjxuqwbj588,2022-10-01,168.41,,,,,,,,同学|老师
ECA0DF04F1E46F1AE053C97975CAB1EB,pjxxxxbj915,2022-10-01,354.22,,,,,,,,同学|老师
ECA0DF04F1F66F1AE053C97975CAB1EB,pjxwzxkj993,2022-10-01,363.42,,,,,,,,同学|老师
ECA0DF04F1FD6F1AE053C97975CAB1EB,pjxyqwbk697,2022-10-01,229.18,,,,,,,,同学|老师
ECA0DF04F2056F1AE053C97975CAB1EB,pjxyqxbj586,2022-10-01,634.03,,,,,,,,同学|老师
ECA0DF04F20C6F1AE053C97975CAB1EB,pjxyqwbk839,2022-10-01,436.95,,,,,,,,同学|老师
ECA0DF04F20D6F1AE053C97975CAB1EB,pjxqzxbj975,2022-10-01,537.34,,,,,,,,同学|老师
ECA0DF04F2106F1AE053C97975CAB1EB,pjxyqwbj088,2022-10-01,483.14,,,,,,,,同学|老师
ECA0DF04F2286F1AE053C97975CAB1EB,pjxyqxbk046,2022-10-01,697.49,,,,,,,,同学|老师
ECA0DF04F2296F1AE053C97975CAB1EB,pjxxxxbj989,2022-10-01,325.31,,,,,,,,同学|老师
ECA0DF04F23A6F1AE053C97975CAB1EB,pjxuqwbj854,2022-10-01,252.23,,,,,,,,同学|老师
ECA0DF04F2476F1AE053C97975CAB1EB,pjxuqwbj870,2022-10-01,719.85,,,,,,,,同学|老师
ECA0DF04F24F6F1AE053C97975CAB1EB,pjxyqxbk261,2022-10-01,796.11,,,,,,,,同学|老师
ECA0DF04F2576F1AE053C97975CAB1EB,pjxyqxbj871,2022-10-01,576.22,,,,,,,,同学|老师
E8CD8B2F1450307FE053C97975CAF24F,pjxyqwbj937,2022-09-01,205.59,,,,,,,,同学|老师
E8CD8B2F564E307FE053C97975CAF24F,pjxyqxbk070,2022-09-01,198.68,,,,,,,,同学|老师
E8CD8B2F566E307FE053C97975CAF24F,pjxrqxbj918,2022-09-01,242.55,,,,,,,,同学|老师
ECA0DF04F7766F1AE053C97975CAB1EB,pjwtqxbj957,2022-10-01,279.01,,,,,,,,同学|老师
E8CD8B2F34F2307FE053C97975CAF24F,pjxyqxbk246,2022-09-01,115.03,,,,,,,,同学|老师
E8CD8B2F454A307FE053C97975CAF24F,pjxuqwbj634,2022-09-01,145.68,,,,,,,,同学|老师
E8CD8B2F45E2307FE053C97975CAF24F,pjxyqxbj588,2022-09-01,20.36,,,,,,,,同学|老师
E8CD8B2F461A307FE053C97975CAF24F,pjxyqwbj865,2022-09-01,958.24,,,,,,,,同学|老师
ECA0DF04F3096F1AE053C97975CAB1EB,pjxwxxbj930,2022-10-01,569.98,,,,,,,,同学|老师
ECA0DF04F30B6F1AE053C97975CAB1EB,pjxyqwbj047,2022-10-01,741.5,,,,,,,,同学|老师
ECA0DF04F3146F1AE053C97975CAB1EB,pjxuqwbj735,2022-10-01,726.82,,,,,,,,同学|老师
ECA0DF04F3176F1AE053C97975CAB1EB,pjxyqxbj225,2022-10-01,53.5,,,,,,,,同学|老师
ECA0DF04F3196F1AE053C97975CAB1EB,pjxyqxbj283,2022-10-01,439.9,,,,,,,,同学|老师
ECA0DF04F3286F1AE053C97975CAB1EB,pjxyqxbk290,2022-10-01,248.67,,,,,,,,同学|老师
ECA0DF04F33E6F1AE053C97975CAB1EB,pjxyqxbj562,2022-10-01,346.29,,,,,,,,同学|老师
ECA0DF04F3556F1AE053C97975CAB1EB,pjxyqxbl753,2022-10-01,914.47,,,,,,,,同学|老师
ECA0DF04F3576F1AE053C97975CAB1EB,pjxyqxbk902,2022-10-01,831.41,,,,,,,,同学|老师
ECA0DF04F3676F1AE053C97975CAB1EB,pjxyqxbk867,2022-10-01,408.63,,,,,,,,同学|老师
ECA0DF04F3E16F1AE053C97975CAB1EB,pjxyqwbj524,2022-10-01,454.1,,,,,,,,同学|老师
ECA0DF04F3F56F1AE053C97975CAB1EB,pjxyqwbj282,2022-10-01,317.55,,,,,,,,同学|老师
ECA0DF04F4006F1AE053C97975CAB1EB,pjxyqxbj566,2022-10-01,600.04,,,,,,,,同学|老师
ECA0DF04F41F6F1AE053C97975CAB1EB,pjxuqwbj694,2022-10-01,387.66,,,,,,,,同学|老师
ECA0DF04F4376F1AE053C97975CAB1EB,pjxyqwbj007,2022-10-01,851.05,,,,,,,,同学|老师
ECA0DF04F4486F1AE053C97975CAB1EB,pjxuqwbj847,2022-10-01,623.19,,,,,,,,同学|老师
ECA0DF04F4496F1AE053C97975CAB1EB,pjxyqwbj780,2022-10-01,449.54,,,,,,,,同学|老师
ECA0DF04F44B6F1AE053C97975CAB1EB,pjxqqxbj961,2022-10-01,930.04,,,,,,,,同学|老师
ECA0DF04F3716F1AE053C97975CAB1EB,pjxxztbj990,2022-10-01,555.8,,,,,,,,同学|老师
ECA0DF04F3A46F1AE053C97975CAB1EB,pjxyqxbk246,2022-10-01,314.02,,,,,,,,同学|老师
ECA0DF04F3AD6F1AE053C97975CAB1EB,pjxyqwbk754,2022-10-01,760.67,,,,,,,,同学|老师
ECA0DF04F3BE6F1AE053C97975CAB1EB,pjxyqxbl872,2022-10-01,321.25,,,,,,,,同学|老师
ECA0DF04F3C06F1AE053C97975CAB1EB,pjxyqwbj852,2022-10-01,908.95,,,,,,,,同学|老师
ECA0DF04F3C26F1AE053C97975CAB1EB,pjxyqxbj162,2022-10-01,525.56,,,,,,,,同学|老师
ECA0DF04F3CB6F1AE053C97975CAB1EB,pjxyqxbj922,2022-10-01,690.4,,,,,,,,同学|老师
ECA0DF04F7C26F1AE053C97975CAB1EB,pjxyqwbj181,2022-10-01,719.12,,,,,,,,同学|老师
ECA0DF04F7C46F1AE053C97975CAB1EB,pjxyqxbj296,2022-10-01,426.53,,,,,,,,同学|老师
ECA0DF04F7C66F1AE053C97975CAB1EB,pjxwzxkj996,2022-10-01,543.64,,,,,,,,同学|老师
ECA0DF04F7CC6F1AE053C97975CAB1EB,pjxyqxbl807,2022-10-01,361.06,,,,,,,,同学|老师
ECA0DF04F7D66F1AE053C97975CAB1EB,pjxyqwbj139,2022-10-01,854.98,,,,,,,,同学|老师
ECA0DF04F7DB6F1AE053C97975CAB1EB,pjxyqxbk592,2022-10-01,761.1,,,,,,,,同学|老师
ECA0DF04F7FA6F1AE053C97975CAB1EB,pjxyqxbk159,2022-10-01,142.49,,,,,,,,同学|老师
ECA0DF04F8166F1AE053C97975CAB1EB,pjxuqwbj783,2022-10-01,312.64,,,,,,,,同学|老师
ECA0DF04F81B6F1AE053C97975CAB1EB,pjxwxxbj995,2022-10-01,1095.32,,,,,,,,同学|老师
ECA0DF04F8296F1AE053C97975CAB1EB,pjxyqwbj095,2022-10-01,862.93,,,,,,,,同学|老师
ECA0DF04F82D6F1AE053C97975CAB1EB,pjxyqwbj321,2022-10-01,857.78,,,,,,,,同学|老师
ECA0DF04F8376F1AE053C97975CAB1EB,pjxyqwbj548,2022-10-01,377.11,,,,,,,,同学|老师
ECA0DF04F83E6F1AE053C97975CAB1EB,pjxyqxbk350,2022-10-01,720.55,,,,,,,,同学|老师
ECA0DF04F8436F1AE053C97975CAB1EB,pjxuqwbj905,2022-10-01,608.36,,,,,,,,同学|老师
ECA0DF04F85C6F1AE053C97975CAB1EB,pjxyqwbj797,2022-10-01,536.19,,,,,,,,同学|老师
ECA0DF04F8A16F1AE053C97975CAB1EB,pjxuqwbj527,2022-10-01,651.13,,,,,,,,同学|老师
ECA0DF04F8A76F1AE053C97975CAB1EB,pjxyqwbj300,2022-10-01,429.2,,,,,,,,同学|老师
ECA0DF04F8A96F1AE053C97975CAB1EB,pjxyqwbj050,2022-10-01,445.93,,,,,,,,同学|老师
ECA0DF04F8BF6F1AE053C97975CAB1EB,pjxyqxbj955,2022-10-01,472.75,,,,,,,,同学|老师
ECA0DF04F8D16F1AE053C97975CAB1EB,pjxuqwbj583,2022-10-01,410.25,,,,,,,,同学|老师
ECA0DF04F8D46F1AE053C97975CAB1EB,pjxuqwbj766,2022-10-01,200.51,,,,,,,,同学|老师
ECA0DF04F8F96F1AE053C97975CAB1EB,pjxyqxbj001,2022-10-01,277.12,,,,,,,,同学|老师
ECA0DF04F92C6F1AE053C97975CAB1EB,pjxsqxbj918,2022-10-01,457.22,,,,,,,,同学|老师
ECA0DF04F26F6F1AE053C97975CAB1EB,pjxyqxbk649,2022-10-01,707.52,,,,,,,,同学|老师
ECA0DF04F2856F1AE053C97975CAB1EB,pjxuqwbj974,2022-10-01,104.94,,,,,,,,同学|老师
ECA0DF04F28F6F1AE053C97975CAB1EB,pjwtqxbj972,2022-10-01,647.64,,,,,,,,同学|老师
ECA0DF04F2946F1AE053C97975CAB1EB,pjxyqxbk036,2022-10-01,428.89,,,,,,,,同学|老师
ECA0DF04F2A76F1AE053C97975CAB1EB,pjxuqwbj996,2022-10-01,300.71,,,,,,,,同学|老师
ECA0DF04F2B06F1AE053C97975CAB1EB,pjxyqxbk470,2022-10-01,277.5,,,,,,,,同学|老师
ECA0DF04F2BE6F1AE053C97975CAB1EB,pjxyqxbl752,2022-10-01,1143.26,,,,,,,,同学|老师
ECA0DF04F2CA6F1AE053C97975CAB1EB,pjxyqxbj717,2022-10-01,302.92,,,,,,,,同学|老师
ECA0DF04F2D06F1AE053C97975CAB1EB,pjxyqxbk715,2022-10-01,549.64,,,,,,,,同学|老师
E89FF604CD1C4C4CE053C97975CA80DF,pjxyqwbk666,2022-09-01,380.92,,,,,,,,同学|老师
E89FF604CD284C4CE053C97975CA80DF,pjxuqwbj731,2022-09-01,405.82,,,,,,,,同学|老师
E89FF604CD474C4CE053C97975CA80DF,pjxyqxbk273,2022-09-01,833.7,,,,,,,,同学|老师
E89FF604CD5B4C4CE053C97975CA80DF,pjxrqxbj973,2022-09-01,69.38,,,,,,,,同学|老师
E89FF604CD654C4CE053C97975CA80DF,pjxyqwbk772,2022-09-01,367.33,,,,,,,,同学|老师
E89FF604CD6A4C4CE053C97975CA80DF,pjwtqxbj921,2022-09-01,712.37,,,,,,,,同学|老师
ECA0DF04F4766F1AE053C97975CAB1EB,pjxyqwbj015,2022-10-01,197.84,,,,,,,,同学|老师
ECA0DF04F48B6F1AE053C97975CAB1EB,pjxyqxbl836,2022-10-01,757.0,,,,,,,,同学|老师
ECA0DF04F48F6F1AE053C97975CAB1EB,pjxyqxbl999,2022-10-01,474.27,,,,,,,,同学|老师
ECA0DF04F4986F1AE053C97975CAB1EB,pjxyqxbj034,2022-10-01,534.45,,,,,,,,同学|老师
ECA0DF04F49C6F1AE053C97975CAB1EB,pjxyqxbj102,2022-10-01,429.03,,,,,,,,同学|老师
ECA0DF04F49D6F1AE053C97975CAB1EB,pjxyqwbk943,2022-10-01,197.58,,,,,,,,同学|老师
ECA0DF04F4AD6F1AE053C97975CAB1EB,pjxyqxbj722,2022-10-01,426.06,,,,,,,,同学|老师
ECA0DF04F4C36F1AE053C97975CAB1EB,pjxyqxbk032,2022-10-01,295.03,,,,,,,,同学|老师
ECA0DF04F4CB6F1AE053C97975CAB1EB,pjxyqxbl910,2022-10-01,855.28,,,,,,,,同学|老师
ECA0DF04F4D16F1AE053C97975CAB1EB,pjxyqxbk484,2022-10-01,106.35,,,,,,,,同学|老师
