XH,XB(学生性别),NJ(年级),YX(院系),ZY(专业),BJ(班级),BH(班号),TCNF(体测年份),ZF(总分),BZ(备注),BMI(身高/体重),FHL(肺活量),WS(50米),LDTY(立定跳远),ZWTQQ(坐位体前屈),BB(800米),YQ(1000米),YWQZ(仰卧起坐),YTXS(引体向上)
pjxuqwbj985,男,2020级,机电工程学院,电气工程及其自动化,2004041,2004041,2021.0,62.0,正常,168/59,3600.0,8.06,211.0,10.0,,4.36,,0.0
pjxuqwbj985,男,2020级,机电工程学院,电气工程及其自动化,2004041,2004041,2022.0,61.9,正常,168/55,3624.0,7.89,210.0,12.2,,4.34,,1.0
pjxuqwbj985,男,2020级,机电工程学院,电气工程及其自动化,2004041,2004041,2023.0,42.5,正常,167.5/59,3804.0,,206.0,1.0,,4.39,,
pjxtzxfj994,女,2020级,物理与光电工程学院,电子科学与技术（第二学士学位）,22005011,22005011,,,,,,,,,,,,
pjxyqwbj062,男,2020级,计算机科学与技术学院,软件工程,2003051W,200301210,2020.0,62.55,正常,175/88,4576.0,7.6,220.0,12.0,,4.25,,0.0
pjxyqwbj062,男,2020级,计算机科学与技术学院,软件工程,2003051W,200301210,2021.0,68.3,正常,175/76,4822.0,7.5,220.0,16.9,,4.13,,0.0
pjxyqwbj062,男,2020级,计算机科学与技术学院,软件工程,2003051W,200301210,2022.0,64.1,正常,175/79,4916.0,8.15,240.0,16.1,,4.49,,0.0
pjxyqwbj062,男,2020级,计算机科学与技术学院,软件工程,2003051W,200301210,2023.0,62.05,正常,177/86.5,5081.0,8.1,230.0,12.7,,4.56,,1.0
pjwtqxbj913,女,2020级,生命科学技术学院,生物技术,2015021,2015021,2020.0,71.2,正常,161.5/51,2877.0,9.16,178.0,12.1,4.15,,20.0,
pjwtqxbj913,女,2020级,生命科学技术学院,生物技术,2015021,2015021,2021.0,77.4,正常,164/52,2864.0,8.9,186.0,18.1,4.28,,48.0,
pjwtqxbj913,女,2020级,生命科学技术学院,生物技术,2015021,2015021,2022.0,69.2,正常,162.5/52,2712.0,8.84,160.0,15.1,4.43,,41.0,
pjwtqxbj913,女,2020级,生命科学技术学院,生物技术,2015021,2015021,2023.0,65.9,正常,161/52,3501.0,11.5,190.0,10.2,4.02,,34.0,
pjxyqwbj941,男,2020级,计算机科学与技术学院,计算机科学与技术,2003019,2003019,2020.0,68.8,正常,181/66,3100.0,7.65,216.0,-2.7,,3.35,,14.0
pjxyqwbj941,男,2020级,计算机科学与技术学院,计算机科学与技术,2003019,2003019,2021.0,70.8,正常,183/68,4113.0,7.0,215.0,2.1,,3.5,,6.0
pjxyqwbj941,男,2020级,计算机科学与技术学院,计算机科学与技术,2003019,2003019,2022.0,76.0,正常,180/67.5,4258.0,7.5,220.0,4.6,,3.39,,12.0
pjxyqwbj476,男,2020级,计算机科学与技术学院,数据科学与大数据技术,2003071,2003071,2020.0,68.8,正常,164/55,2594.0,7.4,234.0,9.4,,3.56,,12.0
pjxyqwbj476,男,2020级,计算机科学与技术学院,数据科学与大数据技术,2003071,2003071,2021.0,68.2,正常,163.5/56.0,2885.0,7.5,221.0,15.8,,4.22,,9.0
pjxyqwbj476,男,2020级,计算机科学与技术学院,数据科学与大数据技术,2003071,2003071,2022.0,61.0,正常,164.5/55,3010.0,7.9,215.0,10.6,,4.5,,8.0
pjxyqwbj476,男,2020级,计算机科学与技术学院,数据科学与大数据技术,2003071,2003071,2023.0,56.9,正常,166/59,3560.0,8.54,210.0,13.0,,5.16,,2.0
pjxuqwbj489,女,2020级,机电工程学院,测控技术与仪器,2004052,2004052,2020.0,54.5,正常,158/47,2123.0,9.3,125.0,8.3,4.39,,2.0,
pjxuqwbj489,女,2020级,机电工程学院,测控技术与仪器,2004052,2004052,2021.0,61.3,正常,159/49,2935.0,9.7,142.0,9.7,4.45,,20.0,
pjxuqwbj489,女,2020级,机电工程学院,测控技术与仪器,2004052,2004052,2022.0,56.8,正常,159/50,2922.0,10.14,135.0,10.2,5.05,,27.0,
pjxuqwbj489,女,2020级,机电工程学院,测控技术与仪器,2004052,2004052,2023.0,56.8,正常,163/54,2713.0,9.5,150.0,9.1,8.11,,31.0,
pjxyqxbk399,女,2020级,空间科学与技术学院,飞行器设计与工程,2016031,2016031,2020.0,65.15,正常,163/80,3267.0,9.8,168.0,5.1,4.15,,30.0,
pjxyqxbk399,女,2020级,空间科学与技术学院,飞行器设计与工程,2016031,2016031,2021.0,69.4,正常,163/80,3680.0,8.9,175.0,8.0,4.44,,35.0,
pjxyqxbk399,女,2020级,空间科学与技术学院,飞行器设计与工程,2016031,2016031,2022.0,68.4,正常,162/77,3721.0,9.87,168.0,11.2,4.31,,32.0,
pjxyqxbk399,女,2020级,空间科学与技术学院,飞行器设计与工程,2016031,2016031,2023.0,53.8,正常,165/75,3992.0,10.87,172.0,9.0,5.17,,42.0,
pjxyqwbj422,女,2020级,网络与信息安全学院,网络空间安全,2018031,2018031,2020.0,74.0,正常,158/54,2614.0,9.4,174.0,12.0,4.04,,27.0,
pjxyqwbj422,女,2020级,网络与信息安全学院,网络空间安全,2018031,2018031,2021.0,69.7,正常,157.5/47,2118.0,9.7,160.0,9.6,4.22,,30.0,
pjxyqwbj422,女,2020级,网络与信息安全学院,网络空间安全,2018031,2018031,2022.0,68.0,正常,160/53,2459.0,9.65,166.0,13.3,4.4,,29.0,
pjxyqwbj422,女,2020级,网络与信息安全学院,网络空间安全,2018031,2018031,2023.0,51.8,正常,157/47.9,2301.0,8.9,155.0,11.0,,,,
pjxyqwbj459,女,2020级,计算机科学与技术学院,软件工程,2003052云,200301221,2020.0,76.3,正常,166/59,2504.0,8.7,160.0,12.8,3.54,,35.0,
pjxyqwbj459,女,2020级,计算机科学与技术学院,软件工程,2003052云,200301221,2021.0,74.3,正常,165/57,2594.0,9.3,154.0,11.4,4.0,,40.0,
pjxyqwbj459,女,2020级,计算机科学与技术学院,软件工程,2003052云,200301221,2023.0,69.7,正常,165/60,3390.0,9.0,170.0,3.4,4.38,,44.0,
pjxyqwbj905,男,2020级,计算机科学与技术学院,软件工程,2003053嵌,200301211,2020.0,68.8,正常,182/88,4300.0,6.9,225.0,17.7,,4.3,,0.0
pjxyqwbj905,男,2020级,计算机科学与技术学院,软件工程,2003053嵌,200301211,2021.0,66.8,正常,182/78,5450.0,9.3,220.0,16.3,,4.27,,0.0
pjxyqwbj905,男,2020级,计算机科学与技术学院,软件工程,2003053嵌,200301211,2022.0,68.6,正常,182/78,5373.0,7.43,210.0,17.8,,4.41,,
pjxyqwbj905,男,2020级,计算机科学与技术学院,软件工程,2003053嵌,200301211,2023.0,55.6,正常,184/79,6017.0,8.1,195.0,12.3,,5.57,,2.0
pjxyqxbj709,男,2021级,物理学院,电子信息科学与技术,2111051,2111051,2020.0,67.3,正常,182/73.5,3470.0,7.3,220.0,12.0,,4.15,,2.0
pjxyqxbj709,男,2021级,物理学院,电子信息科学与技术,2111051,2111051,2021.0,66.4,正常,183/65,4063.0,7.1,210.0,19.0,,4.35,,4.0
pjxyqxbj709,男,2021级,物理学院,电子信息科学与技术,2111051,2111051,2023.0,65.6,正常,183.0/71.1,3981.0,7.39,229.0,4.0,,4.2,,1.0
pjxyqxbj709,男,2021级,物理学院,电子信息科学与技术,2111051,2111051,2024.0,50.7,正常,183/75,3613.0,7.8,200.0,15.2,,6.33,,0.0
pjxuqwbj546,男,2020级,通信工程学院,通信工程,2001018,2001018,2020.0,71.6,正常,178/70,3600.0,7.41,240.0,13.8,,4.15,,7.0
pjxuqwbj546,男,2020级,通信工程学院,通信工程,2001018,2001018,2021.0,74.8,正常,178/65,4500.0,7.3,245.0,13.0,,3.49,,6.0
pjxuqwbj546,男,2020级,通信工程学院,通信工程,2001018,2001018,2022.0,72.95,正常,178/73,4730.0,7.4,240.0,14.4,,3.49,,5.0
pjxuqwbj546,男,2020级,通信工程学院,通信工程,2001018,2001018,2023.0,68.35,正常,178/73,4869.0,7.3,200.0,15.2,,4.3,,7.0
pjxyqxbj838,男,2020级,电子工程学院,电子信息工程,2002011,2002011,2020.0,60.3,正常,168/80,4032.0,7.58,215.0,12.1,,4.29,,0.0
pjxuqwbj787,男,2020级,机电工程学院,机械设计制造及其自动化,2004011,2004011,2020.0,32.2,正常,155/82,3699.0,9.97,163.0,11.0,,5.41,,0.0
pjxuqwbj787,男,2020级,机电工程学院,机械设计制造及其自动化,2004011,2004011,2021.0,60.0,免测,,,,,,,,,
pjxuqwbj787,男,2020级,机电工程学院,机械设计制造及其自动化,2004011,2004011,2022.0,60.0,免测,,,,,,,,,
pjxuqwbj787,男,2020级,机电工程学院,机械设计制造及其自动化,2004011,2004011,2023.0,60.0,免测,,,,,,,,,
pjxsqxbj941,女,2020级,经济与管理学院,工程管理,2006111,2006111,2020.0,67.5,正常,155/53,1810.0,9.1,179.0,19.8,4.11,,38.0,
pjxsqxbj941,女,2020级,经济与管理学院,工程管理,2006111,2006111,2021.0,76.0,正常,152/53,2463.0,9.0,170.0,20.0,4.19,,47.0,
pjxsqxbj941,女,2020级,经济与管理学院,工程管理,2006111,2006111,2022.0,70.3,正常,152/52,2623.0,9.3,185.0,20.0,4.48,,39.0,
pjxsqxbj941,女,2020级,经济与管理学院,工程管理,2006111,2006111,2023.0,58.4,正常,153.5/51,3024.0,10.5,180.0,21.3,,,42.0,
pjxpqxbj978,女,2021级,经济与管理学院,管理科学与工程类,2106913,2106913,2020.0,68.2,正常,153/47,2612.0,10.0,145.0,16.8,4.31,,31.0,
pjxpqxbj978,女,2021级,经济与管理学院,管理科学与工程类,2106913,2106913,2021.0,69.0,正常,155/50,3125.0,10.34,146.0,15.4,4.3,,43.0,
pjxpqxbj978,女,2021级,经济与管理学院,管理科学与工程类,2106913,2106913,2023.0,72.5,正常,153/50,2850.0,9.9,150.0,21.0,4.11,,34.0,
pjxpqxbj978,女,2021级,经济与管理学院,管理科学与工程类,2106913,2106913,2024.0,51.6,正常,153/54.3,2059.0,11.2,180.0,11.6,5.06,,39.0,
pjxyqwbj126,男,2020级,网络与信息安全学院,网络工程,2018021,2018021,2020.0,70.1,正常,172/78,5100.0,8.0,210.0,24.1,,4.08,,1.0
pjxyqwbj126,男,2020级,网络与信息安全学院,网络工程,2018021,2018021,2021.0,66.3,正常,173/82,4827.0,7.9,215.0,17.0,,4.26,,0.0
pjxyqwbj126,男,2020级,网络与信息安全学院,网络工程,2018021,2018021,2022.0,60.4,正常,171/80,5230.0,8.2,195.0,11.1,,4.36,,0.0
pjxyqwbj126,男,2020级,网络与信息安全学院,网络工程,2018021,2018021,2023.0,60.2,正常,172/82,5946.0,7.8,201.0,10.6,,4.53,,0.0
pjxyqxbj838,男,2020级,电子工程学院,电子信息工程,2002011,2002011,2021.0,64.1,正常,171/73.5,4053.0,7.8,243.0,11.3,,4.29,,1.0
pjxyqxbj838,男,2020级,电子工程学院,电子信息工程,2002011,2002011,2022.0,63.75,正常,170/70,4817.0,7.3,202.0,15.2,,4.23,,0.0
pjxyqxbj838,男,2020级,电子工程学院,电子信息工程,2002011,2002011,2023.0,54.15,正常,169.5/70.6,4755.0,7.4,190.0,5.7,,5.18,,0.0
pjxyqxbl703,男,2020级,电子工程学院,信息对抗技术,2002031,2002031,2020.0,55.2,正常,168/70,3400.0,8.0,200.0,15.0,,5.06,,1.0
pjxyqxbl703,男,2020级,电子工程学院,信息对抗技术,2002031,2002031,2021.0,59.6,正常,168/66,4100.0,7.5,200.0,19.0,,5.2,,
pjxyqxbl703,男,2020级,电子工程学院,信息对抗技术,2002031,2002031,2022.0,62.1,正常,168/67,4108.0,7.3,208.0,17.0,,5.1,,4.0
pjxyqxbl703,男,2020级,电子工程学院,信息对抗技术,2002031,2002031,2023.0,48.4,正常,167.5/71.5,3964.0,7.6,160.0,10.9,,5.36,,0.0
pjxuqwbj618,男,2020级,机电工程学院,机器人工程,2004071,2004071,2020.0,66.3,正常,167/46,3500.0,7.46,232.0,19.2,,4.04,,2.0
pjxuqwbj618,男,2020级,机电工程学院,机器人工程,2004071,2004071,2021.0,66.2,正常,171/50,3000.0,7.59,231.0,20.2,,4.01,,6.0
pjxuqwbj618,男,2020级,机电工程学院,机器人工程,2004071,2004071,2022.0,71.4,正常,173/50,3600.0,7.6,230.0,23.5,,4.14,,10.0
pjxuqwbj618,男,2020级,机电工程学院,机器人工程,2004071,2004071,2023.0,50.6,正常,170/47,2676.0,7.3,240.0,19.4,,6.38,,10.0
pjxyqwbj977,男,2020级,计算机科学与技术学院,计算机科学与技术,2003011软,200301226,2020.0,68.1,正常,169.5/68.3,3710.0,7.7,230.0,17.9,,4.2,,0.0
pjxyqwbj977,男,2020级,计算机科学与技术学院,计算机科学与技术,2003011软,200301226,2021.0,67.4,正常,170.5/67.5,3769.0,7.94,208.0,24.7,,4.27,,1.0
pjxyqwbj977,男,2020级,计算机科学与技术学院,计算机科学与技术,2003011软,200301226,2022.0,65.3,正常,171/70,3769.0,8.1,205.0,24.7,,4.29,,0.0
pjxyqwbj977,男,2020级,计算机科学与技术学院,计算机科学与技术,2003011软,200301226,2023.0,67.2,正常,173/72.5,4238.0,6.1,195.0,8.0,,3.58,,1.0
pjxyqxbk497,男,2020级,光电工程学院,电子科学与技术,2005012,2005012,2020.0,62.4,正常,175/63,3677.0,8.26,206.0,9.1,,4.29,,0.0
pjxyqxbk497,男,2020级,光电工程学院,电子科学与技术,2005012,2005012,2021.0,69.3,正常,174/60,3800.0,7.7,228.0,8.5,,4.0,,5.0
pjxyqxbk497,男,2020级,光电工程学院,电子科学与技术,2005012,2005012,2022.0,60.9,正常,174/64.5,3871.0,7.46,190.0,9.5,,4.27,,3.0
pjxyqxbk497,男,2020级,光电工程学院,电子科学与技术,2005012,2005012,2023.0,42.5,正常,175/65,4149.0,10.49,100.0,7.5,,4.5,,0.0
pjxuqwbj699,男,2020级,机电工程学院,机械设计制造及其自动化,2004012,2004012,2020.0,77.25,正常,181/65.3,5019.0,6.76,227.0,9.0,,3.45,,4.0
pjxuqwbj699,男,2020级,机电工程学院,机械设计制造及其自动化,2004012,2004012,2021.0,75.7,正常,180/67.5,3795.0,6.7,240.0,8.0,,3.38,,2.0
pjxuqwbj699,男,2020级,机电工程学院,机械设计制造及其自动化,2004012,2004012,2022.0,74.85,正常,181/71,5032.0,6.87,210.0,9.3,,3.38,,5.0
pjxuqwbj699,男,2020级,机电工程学院,机械设计制造及其自动化,2004012,2004012,2023.0,67.7,正常,178.5/84,4925.0,7.0,230.0,8.1,,4.16,,2.0
pjxyqxbk565,男,2020级,微电子学院,微电子科学与工程,2014013,2014013,2020.0,66.1,正常,170/67.5,3300.0,7.1,213.0,10.2,,4.19,,1.0
pjxyqxbk565,男,2020级,微电子学院,微电子科学与工程,2014013,2014013,2021.0,67.8,正常,170/73,3144.0,6.8,220.0,9.6,,4.0,,3.0
pjxyqxbk565,男,2020级,微电子学院,微电子科学与工程,2014013,2014013,2022.0,68.5,正常,171/75,3400.0,6.9,230.0,14.0,,4.16,,8.0
pjxyqxbk565,男,2020级,微电子学院,微电子科学与工程,2014013,2014013,2023.0,71.6,正常,171/76.9,4206.0,7.31,220.0,8.8,,4.24,,15.0
pjxyqxbj255,男,2020级,通信工程学院,通信工程,2001014,2001014,2020.0,63.3,正常,173/93,4041.0,7.1,225.0,7.0,,4.06,,2.0
pjxyqxbj255,男,2020级,通信工程学院,通信工程,2001014,2001014,2021.0,66.8,正常,173/85,4456.0,6.87,223.0,9.8,,4.01,,2.0
pjxyqxbj255,男,2020级,通信工程学院,通信工程,2001014,2001014,2022.0,62.4,正常,174.5/95,4192.0,6.9,210.0,4.4,,4.3,,6.0
pjxyqxbj255,男,2020级,通信工程学院,通信工程,2001014,2001014,2023.0,59.2,正常,180.5/70.5,5911.0,7.9,250.0,13.6,,6.57,,2.0
pjxxzxkj997,男,2020级,通信工程学院,通信工程,2001019,2001019,2020.0,64.85,正常,179/84,4925.0,7.29,226.0,5.6,,4.36,,2.0
pjxxzxkj997,男,2020级,通信工程学院,通信工程,2001019,2001019,2021.0,75.1,正常,180/75,4919.0,7.0,225.0,8.9,,3.5,,5.0
pjxxzxkj997,男,2020级,通信工程学院,通信工程,2001019,2001019,2022.0,66.5,正常,181/80,4949.0,7.4,230.0,10.1,,4.27,,1.0
pjxxzxkj997,男,2020级,通信工程学院,通信工程,2001019,2001019,2023.0,56.0,正常,182/82,6570.0,7.9,100.0,12.1,,4.56,,2.0
pjxyqxbk880,男,2020级,通信工程学院,通信工程,2001018,2001018,2020.0,63.6,正常,179/52,3172.0,7.2,223.0,10.1,,4.09,,1.0
pjxyqxbk880,男,2020级,通信工程学院,通信工程,2001018,2001018,2021.0,66.9,正常,178/57,3571.0,7.6,227.0,7.5,,4.04,,1.0
pjxyqxbk880,男,2020级,通信工程学院,通信工程,2001018,2001018,2022.0,64.0,正常,179.5/58.5,4223.0,8.0,220.0,13.1,,4.49,,1.0
pjxyqwbj988,男,2020级,计算机科学与技术学院,计算机科学与技术,2003011数,200301202,2020.0,59.1,正常,170/80,4012.0,7.8,215.0,14.2,,4.55,,0.0
pjxyqwbj988,男,2020级,计算机科学与技术学院,计算机科学与技术,2003011数,200301202,2021.0,57.0,正常,170.2/78.6,3922.0,7.9,202.0,17.4,,5.1,,0.0
pjxyqwbj988,男,2020级,计算机科学与技术学院,计算机科学与技术,2003011数,200301202,2022.0,73.6,正常,170/79.5,4012.0,7.5,209.0,13.2,,3.31,,13.0
pjxyqwbj988,男,2020级,计算机科学与技术学院,计算机科学与技术,2003011数,200301202,2023.0,46.3,正常,170.1/79.3,3670.0,8.5,123.0,15.6,,5.31,,0.0
pjxuqwbj786,男,2020级,机电工程学院,测控技术与仪器,2004051,2004051,2020.0,69.0,正常,175/61,4800.0,8.1,210.0,20.0,,4.3,,
pjxuqwbj786,男,2020级,机电工程学院,测控技术与仪器,2004051,2004051,2021.0,74.0,正常,174.5/63,4912.0,7.65,236.0,19.6,,3.55,,0.0
pjxuqwbj786,男,2020级,机电工程学院,测控技术与仪器,2004051,2004051,2022.0,76.3,正常,175/63,4900.0,7.3,255.0,21.5,,3.45,,0.0
pjxuqwbj786,男,2020级,机电工程学院,测控技术与仪器,2004051,2004051,2023.0,75.0,正常,175/63.5,5755.0,7.2,230.0,16.7,,3.52,,1.0
pjxsqxbj758,男,2020级,经济与管理学院,工商管理（理工类）,2006021,2006021,2020.0,92.05,正常,172/60,4925.0,7.0,245.0,24.1,,3.22,,18.0
pjxsqxbj758,男,2020级,经济与管理学院,工商管理（理工类）,2006021,2006021,2021.0,100.0,正常,173/65,6000.0,6.7,273.0,28.0,,3.15,,19.0
pjxsqxbj758,男,2020级,经济与管理学院,工商管理（理工类）,2006021,2006021,2022.0,89.85,正常,173/63,5050.0,6.7,250.0,22.0,,3.3,,15.0
pjxsqxbj758,男,2020级,经济与管理学院,工商管理（理工类）,2006021,2006021,2023.0,89.0,正常,173/60,4067.0,6.9,245.0,24.0,,3.11,,15.0
pjxyqxbk880,男,2020级,通信工程学院,通信工程,2001018,2001018,2023.0,64.95,正常,180.5/58.5,4772.0,7.5,212.0,7.7,,4.33,,5.0
pjxyqwbj930,女,2020级,微电子学院,微电子科学与工程,2014019,2014019,2020.0,88.3,正常,165/62.4,3305.0,7.9,210.0,22.8,3.39,,44.0,
pjxyqwbj930,女,2020级,微电子学院,微电子科学与工程,2014019,2014019,2021.0,91.75,正常,165/65,3353.0,7.7,209.0,24.8,3.34,,48.0,
pjxyqwbj930,女,2020级,微电子学院,微电子科学与工程,2014019,2014019,2022.0,87.65,正常,165/65,3436.0,8.0,210.0,22.4,3.44,,46.0,
pjxyqwbj930,女,2020级,微电子学院,微电子科学与工程,2014019,2014019,2023.0,68.5,正常,165/63,2914.0,9.5,195.0,12.2,5.01,,44.0,
pjxyqxbj707,女,2020级,微电子学院,微电子科学与工程,2014011,2014011,2020.0,70.8,正常,170/71,2820.0,9.38,155.0,9.4,3.54,,26.0,
pjxyqxbj707,女,2020级,微电子学院,微电子科学与工程,2014011,2014011,2021.0,71.0,正常,171/77,3005.0,9.5,160.0,13.6,4.14,,28.0,
pjxyqxbj707,女,2020级,微电子学院,微电子科学与工程,2014011,2014011,2022.0,72.7,正常,170/78,3390.0,9.57,153.0,13.4,4.02,,34.0,
pjxyqxbj707,女,2020级,微电子学院,微电子科学与工程,2014011,2014011,2023.0,61.4,正常,170.5/81.5,3784.0,9.3,165.0,3.6,4.47,,37.0,
pjxyqxbk457,男,2020级,电子工程学院,信息对抗技术,2002031,2002031,2020.0,69.4,正常,171.5/78,4414.0,6.8,243.0,2.5,,3.57,,1.0
pjxyqxbk457,男,2020级,电子工程学院,信息对抗技术,2002031,2002031,2021.0,67.6,正常,171.5/76,4370.0,6.98,235.0,3.3,,4.02,,0.0
pjxyqxbk457,男,2020级,电子工程学院,信息对抗技术,2002031,2002031,2022.0,62.6,正常,172/86,4412.0,7.6,225.0,12.0,,4.13,,0.0
pjxyqxbk457,男,2020级,电子工程学院,信息对抗技术,2002031,2002031,2023.0,51.0,正常,171/82,5293.0,6.9,213.0,2.5,,,,0.0
pjxyqxbk647,男,2020级,通信工程学院,空间信息与数字技术,2001041,2001041,2020.0,82.0,正常,178/65,4128.0,6.98,258.0,12.4,,3.59,,16.0
pjxyqxbk647,男,2020级,通信工程学院,空间信息与数字技术,2001041,2001041,2021.0,90.4,正常,178/65,4275.0,6.62,250.0,22.9,,3.47,,20.0
pjxyqxbk647,男,2020级,通信工程学院,空间信息与数字技术,2001041,2001041,2022.0,82.0,正常,180/73,4047.0,6.8,250.0,25.0,,4.2,,15.0
pjxyqxbk647,男,2020级,通信工程学院,空间信息与数字技术,2001041,2001041,2023.0,68.6,正常,180/70,6892.0,7.1,215.0,25.1,,6.21,,13.0
pjxyqxbk419,男,2020级,微电子学院,微电子科学与工程,2014011,2014011,2020.0,69.2,正常,176/72,4492.0,7.3,220.0,18.4,,4.3,,0.0
pjxyqxbk419,男,2020级,微电子学院,微电子科学与工程,2014011,2014011,2021.0,56.35,正常,178/70,4725.0,8.24,204.0,19.1,,6.05,,0.0
pjxyqxbk419,男,2020级,微电子学院,微电子科学与工程,2014011,2014011,2022.0,51.0,正常,177.5/83,4253.0,8.12,205.0,22.0,,,,
pjxyqxbk419,男,2020级,微电子学院,微电子科学与工程,2014011,2014011,2023.0,48.65,正常,180/77,4819.0,9.44,218.0,20.4,,,,
pjxyqwbj588,男,2020级,网络与信息安全学院,信息安全,2018011,2018011,2020.0,67.3,正常,170/56,3700.0,7.3,230.0,1.2,,3.48,,5.0
pjxyqwbj588,男,2020级,网络与信息安全学院,信息安全,2018011,2018011,2021.0,79.95,正常,170.5/58.5,4678.0,7.1,245.0,21.5,,4.0,,9.0
pjxyqwbj588,男,2020级,网络与信息安全学院,信息安全,2018011,2018011,2022.0,71.4,正常,172/62.5,4258.0,7.6,232.0,18.3,,3.47,,5.0
pjxyqwbj588,男,2020级,网络与信息安全学院,信息安全,2018011,2018011,2023.0,66.0,正常,171/65,4603.0,7.2,240.0,26.9,,5.44,,7.0
pjxuqwbj721,女,2020级,计算机科学与技术学院,计算机科学与技术,2003018,2003018,2020.0,66.9,正常,164/53,1803.0,9.2,174.0,18.3,4.12,,43.0,
pjxuqwbj721,女,2020级,计算机科学与技术学院,计算机科学与技术,2003018,2003018,2021.0,78.9,正常,163/56,2412.0,8.7,170.0,20.2,3.57,,50.0,
pjxuqwbj721,女,2020级,计算机科学与技术学院,计算机科学与技术,2003018,2003018,2022.0,70.15,正常,165/57,3276.0,9.2,162.0,13.8,3.55,,1.0,
pjxuqwbj721,女,2020级,计算机科学与技术学院,计算机科学与技术,2003018,2003018,2023.0,52.0,正常,165.0/56.0,1758.0,8.5,165.0,15.2,6.11,,46.0,
pjxyqxbj131,男,2020级,微电子学院,微电子科学与工程,2014019,2014019,2020.0,80.5,正常,166.5/67,3650.0,7.0,220.0,15.0,,3.39,,20.0
pjxyqxbj131,男,2020级,微电子学院,微电子科学与工程,2014019,2014019,2021.0,77.4,正常,170/67,3819.0,7.54,208.0,15.6,,4.03,,18.0
pjxyqxbj131,男,2020级,微电子学院,微电子科学与工程,2014019,2014019,2022.0,81.1,正常,170/70,4019.0,7.0,250.0,25.2,,3.53,,19.0
pjxyqxbj131,男,2020级,微电子学院,微电子科学与工程,2014019,2014019,2023.0,71.0,正常,170/67,3495.0,7.0,210.0,7.1,,4.57,,20.0
pjxyqxbk015,男,2020级,光电工程学院,电子科学与技术,2005012,2005012,2020.0,67.9,正常,174.5/85,4275.0,7.5,210.0,17.3,,3.5,,2.0
pjxyqxbk015,男,2020级,光电工程学院,电子科学与技术,2005012,2005012,2021.0,70.1,正常,174/72,3943.0,7.6,215.0,16.6,,3.51,,3.0
pjxyqxbk015,男,2020级,光电工程学院,电子科学与技术,2005012,2005012,2022.0,64.4,正常,172/76.5,3976.0,7.3,211.0,13.6,,4.13,,5.0
pjxyqxbk015,男,2020级,光电工程学院,电子科学与技术,2005012,2005012,2023.0,59.6,正常,176/85,5347.0,7.8,185.0,12.9,,4.36,,0.0
