XH(学生学号),XB(学生性别),NJ(年级),YX(院系),ZY(专业),BJ(班级),BH(班号),XQ(学期),ZKC(总课程),KC(课程),SKSJ(上课时间)
pjxyqxbj418,男,2020级,通信工程学院,通信工程,2001017,2001017,2022-2023学年第1学期,体育1,羽毛球俱乐部（初级班）,星期一78
pjxyqwbj452,男,2021级,计算机科学与技术学院,软件工程,2103053,2103053,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期三56
pjxyqxbl830,男,2020级,微电子学院,集成电路设计与集成系统,2014023,2014023,2022-2023学年第1学期,体育1,网球俱乐部（中级班）,星期二78
pjxyqxbk722,男,2020级,光电工程学院,电子科学与技术,2005019,2005019,2022-2023学年第1学期,体育1,跆拳道俱乐部（中级班）,星期四34
pjxyqxbk722,男,2020级,光电工程学院,电子科学与技术,2005019,2005019,2022-2023学年第1学期,体育1,重修课程,周六12节
pjxyqwbk815,女,2020级,网络与信息安全学院,网络工程,2018021,2018021,2022-2023学年第1学期,体育1,健美操俱乐部,星期四56
pjxyqwbj518,男,2020级,网络与信息安全学院,信息安全,2018011,2018011,2022-2023学年第1学期,体育1,赛艇俱乐部,星期四78
pjxyqwbj301,男,2020级,计算机科学与技术学院,软件工程,2003052云,200301221,2022-2023学年第1学期,体育1,武术俱乐部（太极拳道）,星期三56
pjxyqwbj430,男,2020级,计算机科学与技术学院,计算机科学与技术,2003011网,200301206,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期二78
pjxyqxbj015,男,2020级,物理学院,应用物理学,2005049,2005049,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期四78
pjxyqwbj435,男,2020级,计算机科学与技术学院,计算机科学与技术,2003011网,200301206,2022-2023学年第1学期,体育1,篮球俱乐部（中级班）,星期二78
pjxyqwbj431,男,2020级,人工智能学院,人工智能,2020031,2020031,2022-2023学年第1学期,体育1,羽毛球俱乐部（初级班）,星期四78
pjxyqxbl825,男,2020级,微电子学院,微电子科学与工程,2014012,2014012,2022-2023学年第1学期,体育1,网球俱乐部（初级班）,星期二78
pjxyqxbj929,男,2020级,光电工程学院,电子科学与技术,2005011,2005011,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期三56
pjxuqwbj708,女,2020级,机电工程学院,机械设计制造及其自动化,2004011,2004011,2022-2023学年第1学期,体育1,网球俱乐部（中级班）,星期四34
pjxyqwbj530,男,2020级,计算机科学与技术学院,计算机科学与技术,2003012数,200301218,2022-2023学年第1学期,体育1,篮球俱乐部（中级班）,星期二56
pjxyqwbk584,男,2020级,计算机科学与技术学院,软件工程,2003052网,200301203,2022-2023学年第1学期,体育1,武术俱乐部（初级剑术）,星期三56
pjxyqxbk573,男,2020级,电子工程学院,电磁场与无线技术,2002061,2002061,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期二56
pjxyqxbk939,男,2020级,通信工程学院,通信工程,2001014,2001014,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期一34
pjxyqwbj112,男,2020级,计算机科学与技术学院,计算机科学与技术,2003011嵌,200301212,2022-2023学年第1学期,体育1,乒乓球俱乐部（中级班）,星期二78
pjxyqxbj243,男,2020级,电子工程学院,电子信息工程,2002012,2002012,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期一78
pjxwxxbj899,男,2020级,电子工程学院,电子信息工程,2002911,2002911,2022-2023学年第1学期,体育1,网球俱乐部（中级班）,星期二34
pjxyqxbj557,男,2020级,物理学院,电子信息科学与技术,2005051,2005051,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期一78
pjxtzxbj997,男,2020级,光电工程学院,电子科学与技术,2005011,2005011,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期三56
pjxtzxbj997,男,2020级,光电工程学院,电子科学与技术,2005011,2005011,2022-2023学年第1学期,体育1,重修课程,周六34节
pjxyqxbj195,男,2020级,电子工程学院,电子信息工程,2002012,2002012,2022-2023学年第1学期,体育1,排球俱乐部（中级班）,星期三56
pjxyqxbk556,男,2020级,光电工程学院,电子科学与技术,2005019,2005019,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期四34
pjxyqwbj402,男,2020级,计算机科学与技术学院,软件工程,2003053云,200301204,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期三56
pjxyqxbk165,女,2020级,电子工程学院,遥感科学与技术,2002071,2002071,2022-2023学年第1学期,体育1,武术俱乐部（太极拳道）,星期一78
pjxyqwbk955,男,2020级,网络与信息安全学院,网络空间安全,2018039,2018039,2022-2023学年第1学期,体育1,橄榄球俱乐部（初级班）,星期三56
pjxyqwbj955,男,2020级,计算机科学与技术学院,软件工程,2003052W,200301208,2022-2023学年第1学期,体育1,羽毛球俱乐部（初级班）,星期三56
pjxyqwbj955,男,2020级,计算机科学与技术学院,软件工程,2003052W,200301208,2022-2023学年第1学期,体育1,重修课程,周六12节
pjxwxxbj938,男,2020级,电子工程学院,电子信息工程,2002911,2002911,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期二34
pjxyqxbj512,女,2020级,通信工程学院,通信工程,2001017,2001017,2022-2023学年第1学期,体育1,健美操俱乐部,星期一78
pjxyqwbk631,女,2020级,计算机科学与技术学院,计算机科学与技术,2003011数,200301202,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期二78
pjwrqxbj884,男,2020级,物理学院,应用物理学,2005049,2005049,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期四78
pjxyqxbj522,女,2020级,光电工程学院,电子科学与技术,2005019,2005019,2022-2023学年第1学期,体育1,武术俱乐部（初级散打）,星期四34
pjxuqwbj676,男,2020级,机电工程学院,测控技术与仪器,2004052,2004052,2022-2023学年第1学期,体育1,橄榄球俱乐部（初级班）,星期三78
pjxyqxbk590,男,2020级,空间科学与技术学院,空间科学与技术,2016029,2016029,2022-2023学年第1学期,体育1,乒乓球俱乐部（高级班）,星期四56
pjxpqxbj994,女,2020级,外国语学院,英语,2009011,2009011,2022-2023学年第1学期,体育1,健美操俱乐部,星期二78
pjxyqxbj608,男,2020级,电子工程学院,电子信息工程,2002011,2002011,2022-2023学年第1学期,体育1,羽毛球俱乐部（初级班）,星期一78
pjxyqwbk972,男,2020级,人工智能学院,智能科学与技术,2020011,2020011,2022-2023学年第1学期,体育1,足球俱乐部（中级班）,星期四78
pjxyqwbk972,男,2020级,人工智能学院,智能科学与技术,2020011,2020011,2022-2023学年第1学期,体育1,重修课程,周六34节
pjxyqwbj020,男,2020级,人工智能学院,人工智能,2020039,2020039,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期三56
pjxrqxbj969,男,2020级,数学与统计学院,数学与应用数学,2007011,2007011,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期二56
pjxyqxbk621,女,2020级,通信工程学院,信息工程,2001051,2001051,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期一56
pjxxxxbj904,男,2020级,通信工程学院,通信工程,2001911,2001911,2022-2023学年第1学期,体育1,武术俱乐部（太极拳道）,星期一78
pjxyqwbj497,男,2020级,人工智能学院,人工智能,2020032,2020032,2022-2023学年第1学期,体育1,网球俱乐部（初级班）,星期四78
pjxyqwbj929,男,2020级,计算机科学与技术学院,计算机科学与技术,2003011软,200301226,2022-2023学年第1学期,体育1,羽毛球俱乐部（中级班）,星期二78
pjxwxxbj992,女,2020级,电子工程学院,电子信息工程,2002911,2002911,2022-2023学年第1学期,体育1,网球俱乐部（中级班）,星期二34
pjxuqwbj956,男,2020级,机电工程学院,电子封装技术,2004061,2004061,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期四34
pjxyqwbk644,女,2020级,人工智能学院,人工智能,2020031,2020031,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期四78
pjxyqxbj753,女,2020级,微电子学院,微电子科学与工程,2014012,2014012,2022-2023学年第1学期,体育1,免修班,周六9:00-10:30
pjxuqwbj573,男,2020级,计算机科学与技术学院,计算机科学与技术,2003018,2003018,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期二78
pjxyqwbj802,男,2020级,计算机科学与技术学院,计算机科学与技术,2003012软,200301201,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期二56
pjxyqwbj613,男,2020级,计算机科学与技术学院,软件工程,2003053网,200301215,2022-2023学年第1学期,体育1,羽毛球俱乐部（初级班）,星期三56
pjxyqxbl906,男,2020级,光电工程学院,光电信息科学与工程,2005031,2005031,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期一78
pjxsqxbj777,女,2020级,经济与管理学院,工商管理（理工类）,2006021,2006021,2022-2023学年第1学期,体育1,健身健美俱乐部（初级班）,星期四34
pjxyqxbk182,男,2020级,光电工程学院,电子科学与技术,2005012,2005012,2022-2023学年第1学期,体育1,羽毛球俱乐部（中级班）,星期一78
pjxyqxbj374,男,2020级,空间科学与技术学院,空间科学与技术,2016021,2016021,2021-2022学年第1学期,体育1,重修课程,周六34节
pjxyqxbj374,男,2020级,空间科学与技术学院,空间科学与技术,2016021,2016021,2022-2023学年第1学期,体育1,免修班,周六9:00-10:30
pjxyqwbj790,男,2020级,人工智能学院,人工智能,2020032,2020032,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期四78
pjxuqwbj918,男,2020级,机电工程学院,测控技术与仪器,2004051,2004051,2022-2023学年第1学期,体育1,网球俱乐部（中级班）,星期一56
pjxyqxbj334,男,2020级,光电工程学院,光电信息科学与工程,2005031,2005031,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期一78
pjxyqxbl937,女,2020级,电子工程学院,电子信息工程,2002015,2002015,2022-2023学年第1学期,体育1,羽毛球俱乐部（中级班）,星期二56
pjxyqwbj073,男,2020级,网络与信息安全学院,网络空间安全,2018031,2018031,2022-2023学年第1学期,体育1,篮球俱乐部（中级班）,星期四56
pjxyqxbk869,男,2020级,通信工程学院,通信工程,2001012,2001012,2022-2023学年第1学期,体育1,网球俱乐部（中级班）,星期一34
pjxyqxbk909,男,2020级,微电子学院,微电子科学与工程,2014011,2014011,2022-2023学年第1学期,体育1,乒乓球俱乐部（初级班）,星期二78
pjxyqxbj060,男,2020级,电子工程学院,信息对抗技术,2002031,2002031,2022-2023学年第1学期,体育1,赛艇俱乐部,星期二56
pjxyqwbk814,男,2020级,计算机科学与技术学院,软件工程,2003052W,200301208,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期三56
pjxyqxbk426,男,2020级,电子工程学院,电子信息工程,2002019,2002019,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期四78
pjxyqxbk243,男,2020级,通信工程学院,信息工程,2001052,2001052,2022-2023学年第1学期,体育1,网球俱乐部（初级班）,星期一56
pjxyqxbj159,男,2020级,微电子学院,集成电路设计与集成系统,2014022,2014022,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期二78
pjxyqxbk378,男,2020级,微电子学院,微电子科学与工程,2014012,2014012,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期二78
pjxyqxbj051,男,2020级,电子工程学院,电子信息工程,2002012,2002012,2022-2023学年第1学期,体育1,武术俱乐部（初级剑术）,星期一78
pjxyqxbj658,男,2020级,电子工程学院,电子信息工程,2002011,2002011,2022-2023学年第1学期,体育1,健身健美俱乐部（初级班）,星期一78
pjxyqxbk789,男,2020级,微电子学院,微电子科学与工程,2014011,2014011,2022-2023学年第1学期,体育1,赛艇俱乐部,星期二78
pjxrqxbj994,女,2020级,数学与统计学院,统计学,2007031,2007031,2022-2023学年第1学期,体育1,网球俱乐部（中级班）,星期二56
pjxyqxbk840,男,2020级,通信工程学院,通信工程,2001015,2001015,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期一56
pjxyqxbj230,男,2020级,电子工程学院,电子信息工程,2002012,2002012,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期一78
pjxyqwbk575,女,2020级,计算机科学与技术学院,数据科学与大数据技术,2003071,2003071,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期三56
pjxyqxbk336,女,2020级,通信工程学院,通信工程,2001014,2001014,2022-2023学年第1学期,体育1,健美操俱乐部,星期一34
pjxyqwbj648,男,2020级,计算机科学与技术学院,数字媒体技术,2003061,2003061,2022-2023学年第1学期,体育1,乒乓球俱乐部（初级班）,星期三56
pjwtqxbj968,男,2020级,生命科学技术学院,智能医学工程,2015031,2015031,2022-2023学年第1学期,体育1,赛艇俱乐部,星期二78
pjxyqxbk872,男,2020级,电子工程学院,电子信息工程,2002013,2002013,2022-2023学年第1学期,体育1,免修班,周六9:00-10:30
pjxyqwbj961,男,2020级,计算机科学与技术学院,软件工程,2003053云,200301204,2022-2023学年第1学期,体育1,橄榄球俱乐部（初级班）,星期三56
pjxyqxbk302,男,2020级,光电工程学院,电子科学与技术,2005012,2005012,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期一78
pjxsqxbj932,女,2020级,经济与管理学院,信息管理与信息系统,2006011,2006011,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期四34
pjxuqwbj726,男,2020级,电子工程学院,电子信息工程,2002018,2002018,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期二78
pjxyqwbk694,男,2020级,计算机科学与技术学院,计算机科学与技术,2003012软,200301201,2022-2023学年第1学期,体育1,羽毛球俱乐部（初级班）,星期二56
pjxyqwbj617,女,2020级,网络与信息安全学院,信息安全,2018011,2018011,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期四78
pjwtzxbj996,男,2020级,生命科学技术学院,生物医学工程,2015011,2015011,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期二56
pjxyqwbk893,男,2020级,计算机科学与技术学院,软件工程,2003053云,200301204,2022-2023学年第1学期,体育1,健身健美俱乐部（初级班）,星期三56
pjxyqxbj067,男,2020级,光电工程学院,光电信息科学与工程,2005031,2005031,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期一78
pjxsqxbj916,女,2020级,经济与管理学院,信息管理与信息系统,2006011,2006011,2022-2023学年第1学期,体育1,健美操俱乐部,星期四34
pjxyqwbk727,男,2020级,计算机科学与技术学院,软件工程,2003051网,200301217,2022-2023学年第1学期,体育1,乒乓球俱乐部（中级班）,星期三56
pjxyqxbk992,男,2020级,电子工程学院,电磁场与无线技术,2002061,2002061,2022-2023学年第1学期,体育1,乒乓球俱乐部（初级班）,星期二56
pjxyqxbj225,男,2020级,通信工程学院,通信工程,2001014,2001014,2022-2023学年第1学期,体育1,羽毛球俱乐部（初级班）,星期一34
pjxsqxbj938,男,2020级,经济与管理学院,市场营销,2006061,2006061,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期四34
pjxyqxbl987,男,2020级,通信工程学院,通信工程,2001012,2001012,2022-2023学年第1学期,体育1,乒乓球俱乐部（中级班）,星期一34
pjxyqxbk555,男,2020级,通信工程学院,通信工程,2001018,2001018,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期一78
pjwtqxbj959,女,2020级,生命科学技术学院,生物医学工程,2015011,2015011,2022-2023学年第1学期,体育1,健身健美俱乐部（中级班）,星期二56
pjxyqwbj985,男,2020级,计算机科学与技术学院,计算机科学与技术,2003011嵌,200301212,2022-2023学年第1学期,体育1,乒乓球俱乐部（中级班）,星期二78
pjxyqwbj524,男,2020级,计算机科学与技术学院,软件工程,2003052W,200301208,2022-2023学年第1学期,体育1,健身健美俱乐部（初级班）,星期三56
pjxyqwbk656,男,2020级,计算机科学与技术学院,计算机科学与技术,2003014网,200301209,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期二78
pjxyqxbj662,男,2020级,微电子学院,集成电路设计与集成系统,2014023,2014023,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期二78
pjxyqxbj290,男,2020级,微电子学院,集成电路设计与集成系统,2014021,2014021,2022-2023学年第1学期,体育1,羽毛球俱乐部（初级班）,星期四56
pjxyqxbj663,男,2020级,通信工程学院,通信工程,2001014,2001014,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期一34
pjxyqxbj866,女,2020级,通信工程学院,通信工程,2001019,2001019,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期一56
pjxyqwbk541,男,2020级,计算机科学与技术学院,软件工程,2003051嵌,200301225,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期三56
pjxyqxbj791,男,2020级,通信工程学院,信息工程,2001051,2001051,2022-2023学年第1学期,体育1,健身健美俱乐部（初级班）,星期一56
pjxuqwbj796,男,2020级,机电工程学院,测控技术与仪器,2004051,2004051,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期一56
pjxyqxbk530,女,2020级,电子工程学院,电子信息工程,2002014,2002014,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期二56
pjxyqxbj576,男,2020级,光电工程学院,光电信息科学与工程,2005031,2005031,2022-2023学年第1学期,体育1,乒乓球俱乐部（初级班）,星期一78
pjxyqxbj615,男,2020级,物理学院,电子信息科学与技术,2005051,2005051,2022-2023学年第1学期,体育1,羽毛球俱乐部（初级班）,星期一78
pjxtztbj997,男,2020级,物理学院,电子信息科学与技术,2005052,2005052,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期四78
pjxyqxbj583,男,2020级,光电工程学院,电子科学与技术,2005011,2005011,2022-2023学年第1学期,体育1,排球俱乐部（中级班）,星期三56
pjxuqwbj711,男,2020级,机电工程学院,测控技术与仪器,2004052,2004052,2022-2023学年第1学期,体育1,健身健美俱乐部（初级班）,星期三78
pjxyqxbk159,男,2020级,微电子学院,微电子科学与工程,2014012,2014012,2022-2023学年第1学期,体育1,乒乓球俱乐部（初级班）,星期二78
pjxyqxbj433,女,2020级,光电工程学院,电子科学与技术,2005011,2005011,2022-2023学年第1学期,体育1,网球俱乐部（中级班）,星期三56
pjxpqxbj987,女,2020级,外国语学院,英语,2009011,2009011,2022-2023学年第1学期,体育1,健美操俱乐部,星期二78
pjxyqwbk812,女,2020级,计算机科学与技术学院,计算机科学与技术,2003012网,200301223,2022-2023学年第1学期,体育1,乒乓球俱乐部（初级班）,星期二56
pjxyqxbj478,男,2020级,光电工程学院,电子科学与技术,2005018,2005018,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期二56
pjxuqwbj593,男,2020级,机电工程学院,机械设计制造及其自动化,2004012,2004012,2021-2022学年第1学期,体育1,重修课程,周六34节
pjxuqwbj593,男,2020级,机电工程学院,机械设计制造及其自动化,2004012,2004012,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期四34
pjxyqxbj559,男,2020级,微电子学院,微电子科学与工程,2014011,2014011,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期二78
pjxpqxbj934,男,2021级,经济与管理学院,管理科学与工程类,2106913,2106913,2023-2024学年第1学期,体育1,基本体能俱乐部（初级会员）,星期四78
pjxsqxbj863,女,2020级,经济与管理学院,金融学,2006041,2006041,2022-2023学年第1学期,体育1,健美操俱乐部,星期三78
pjxyqxbk232,男,2020级,物理学院,电子信息科学与技术,2005052,2005052,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期四78
pjxyqwbj748,女,2020级,计算机科学与技术学院,计算机科学与技术,2003011软,200301226,2022-2023学年第1学期,体育1,网球俱乐部（初级班）,星期二78
pjxyqxbj995,男,2020级,电子工程学院,遥感科学与技术,2002071,2002071,2022-2023学年第1学期,体育1,羽毛球俱乐部（中级班）,星期一78
pjxyqxbk951,男,2020级,微电子学院,微电子科学与工程,2014012,2014012,2022-2023学年第1学期,体育1,健身健美俱乐部（初级班）,星期二78
pjxyqxbj023,男,2020级,通信工程学院,通信工程,2001017,2001017,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期一78
pjxyqxbk414,女,2020级,空间科学与技术学院,空间科学与技术,2016021,2016021,2022-2023学年第1学期,体育1,健美操俱乐部,星期四34
pjxuqwbj829,女,2020级,机电工程学院,自动化,2004031,2004031,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期三56
pjxuqwbj572,女,2020级,机电工程学院,自动化,2004032,2004032,2022-2023学年第1学期,体育1,橄榄球俱乐部（中级班）,星期四34
pjxyqwbj001,男,2020级,计算机科学与技术学院,计算机科学与技术,2003012软,200301201,2022-2023学年第1学期,体育1,排球俱乐部（初级班）,星期二56
pjxyqxbk329,男,2020级,通信工程学院,信息工程,2001052,2001052,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期一56
pjxyqwbj333,男,2020级,计算机科学与技术学院,软件工程,2003053网,200301215,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期三56
pjxqzxbj979,男,2020级,人文学院,录音艺术,2008012,2008012,2021-2022学年第1学期,体育1,重修课程,周六34节
pjxqzxbj979,男,2020级,人文学院,录音艺术,2008012,2008012,2022-2023学年第1学期,体育1,免修班,周六9:00-10:30
pjxyqwbj744,女,2020级,网络与信息安全学院,网络工程,2018021,2018021,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期四56
pjxyqwbj385,男,2020级,计算机科学与技术学院,计算机科学与技术,2003018,2003018,2022-2023学年第1学期,体育1,乒乓球俱乐部（中级班）,星期二78
pjxyqwbk716,女,2020级,人工智能学院,人工智能,2020031,2020031,2022-2023学年第1学期,体育1,羽毛球俱乐部（中级班）,星期四78
pjxsqxbj765,男,2020级,经济与管理学院,电子商务,2006051,2006051,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期四56
pjxyqxbl812,男,2020级,通信工程学院,信息工程,2001051,2001051,2022-2023学年第1学期,体育1,乒乓球俱乐部（中级班）,星期一56
pjxyqwbk604,男,2020级,计算机科学与技术学院,软件工程,2003053W,200301220,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期三56
pjxvzxbj989,男,2020级,计算机科学与技术学院,计算机科学与技术,2003013数,200301205,2022-2023学年第1学期,体育1,羽毛球俱乐部（中级班）,星期二78
pjxyqxbj347,男,2020级,空间科学与技术学院,探测制导与控制技术,2016011,2016011,2022-2023学年第1学期,体育1,篮球俱乐部（中级班）,星期四78
pjxyqxbj347,男,2020级,空间科学与技术学院,探测制导与控制技术,2016011,2016011,2022-2023学年第1学期,体育1,重修课程,周六34节
pjxyqwbk747,女,2020级,计算机科学与技术学院,数据科学与大数据技术,2003071,2003071,2022-2023学年第1学期,体育1,武术俱乐部（太极拳道）,星期三56
pjxyqwbj687,女,2020级,网络与信息安全学院,网络空间安全,2018031,2018031,2022-2023学年第1学期,体育1,武术俱乐部（太极拳道）,星期四56
pjxyqxbk581,男,2020级,微电子学院,集成电路设计与集成系统,2014023,2014023,2022-2023学年第1学期,体育1,体育舞蹈俱乐部（初级会员）,星期二78
pjxyqwbj830,男,2020级,计算机科学与技术学院,软件工程,2003053W,200301220,2022-2023学年第1学期,体育1,健身健美俱乐部（初级班）,星期三56
pjwrqxbj983,男,2020级,先进材料与纳米科技学院,材料科学与工程,2017011,2017011,2022-2023学年第1学期,体育1,武术俱乐部（初级剑术）,星期四56
pjxsqxbj823,男,2020级,经济与管理学院,工程管理,2006111,2006111,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期二56
pjxyqxbk027,女,2020级,通信工程学院,通信工程,2001016,2001016,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期一56
pjxyqxbj162,男,2020级,光电工程学院,光电信息科学与工程,2005031,2005031,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期一78
pjxyqxbk981,男,2020级,物理学院,电波传播与天线,2005061,2005061,2022-2023学年第1学期,体育1,健身健美俱乐部（中级班）,星期二78
