XN(学年),XQ(学期),ZC(周次),SKXQ(上课学期),RQ(日期),KSJC(开始节次),KSJCSJ(开始节次时间),JSJC(结束节次),JSJCSJ(结束节次时间),XH(学号),XY(学院),ZY(专业),NJ(年级),JASDM(教室),KCM(课程名),KCH(课程号),KXH(课序号),JSMC(教室名称),SZJZ(所在建筑),SZLC(所在楼层),FJBH(房间编号),PLACE_CODE(房间编码),SZXQ(所在校区),FJEJFL(房间二级分类),JZBM(建筑编码),ZTDM(状态代码),ZT(状态),DKSJ(打卡时间),KCXZ(课程学制),KCLB(课程类别)
2023-2024,2,19,5,2024-07-05,5,,6,,pjxyqxbk373,物理学院,电子信息科学与技术,2020,B-101,离散模型：从统计物理学到社会选择和社区检测——机器学习视角,PY246003,,,B楼,1,B-101,23100401101043,南校区,多媒体教室,231004,2,正常,2024-07-05 13:58:00,,
2023-2024,2,20,1,2024-07-08,5,,8,,pjxyqwbk652,计算机科学与技术学院,软件工程,2020,A-217,手机生活美学摄影,TS246242,,,A楼,2,A-217,23100502101018,南校区,多媒体教室,231005,2,正常,2024-07-08 13:49:00,,
2023-2024,2,20,1,2024-07-08,5,,8,,pjxyqwbk777,计算机科学与技术学院,物联网工程,2020,A-221,创业SOL,IC246055,,,A楼,2,A-221,23100502101023,南校区,多媒体教室,231005,5,代签,2024-07-08 16:02:00,,
2023-2024,2,20,1,2024-07-08,9,,10,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,A-220,京剧鉴赏与实践,TS246225,,,A楼,2,A-220,23100502101022,南校区,多媒体教室,231005,4,缺勤,2024-07-08 18:40:00,,
2023-2024,2,20,1,2024-07-08,1,,4,,pjxyqxbk615,空间科学与技术学院,空间科学与技术,2020,A-603,个人形象设计,TS246226,,,A楼,6,A-603,23100506101003,南校区,多媒体教室,231005,2,正常,2024-07-08 10:01:00,,
2023-2024,2,20,1,2024-07-08,3,,4,,pjxyqxbk373,物理学院,电子信息科学与技术,2020,B-101,离散模型：从统计物理学到社会选择和社区检测——机器学习视角,PY246003,,,B楼,1,B-101,23100401101043,南校区,多媒体教室,231004,4,缺勤,2024-07-08 10:05:00,,
2023-2024,2,20,1,2024-07-08,5,,6,,pjxyqxbk373,物理学院,电子信息科学与技术,2020,B-101,离散模型：从统计物理学到社会选择和社区检测——机器学习视角,PY246003,,,B楼,1,B-101,23100401101043,南校区,多媒体教室,231004,4,缺勤,2024-07-08 13:40:00,,
2023-2024,2,20,1,2024-07-08,5,,8,,pjxyqxbk503,电子工程学院,电子信息工程,2020,A-302,硬笔书法,TS246227,,,A楼,3,A-302,23100503101002,南校区,多媒体教室,231005,2,正常,2024-07-08 15:56:00,,
2023-2024,2,20,1,2024-07-08,1,,4,,pjxyqxbk503,电子工程学院,电子信息工程,2020,C-129,经典诵读与说服力传播,TS246217,,,C楼,1,C-129,23100201101049,南校区,分组研讨教室,231002,2,正常,2024-07-08 08:33:00,,
2023-2024,2,20,1,2024-07-08,1,,4,,pjxyqwbk777,计算机科学与技术学院,物联网工程,2020,C-129,经典诵读与说服力传播,TS246217,,,C楼,1,C-129,23100201101049,南校区,分组研讨教室,231002,2,正常,2024-07-08 08:32:00,,
2023-2024,2,20,2,2024-07-09,5,,8,,pjxyqwbk652,计算机科学与技术学院,软件工程,2020,A-217,手机生活美学摄影,TS246242,,,A楼,2,A-217,23100502101018,南校区,多媒体教室,231005,2,正常,2024-07-09 14:02:00,,
2023-2024,2,20,1,2024-07-08,1,,4,,pjxyqxbl943,空间科学与技术学院,空间科学与技术,2020,B-301,空间天气学与现代电子器件应用导论,SS246001,,,B楼,3,B-301,23100403101001,南校区,基础智慧教室,231004,2,正常,2024-07-08 09:19:00,,
2023-2024,2,20,1,2024-07-08,3,,4,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,C-131,跨文化交际口语训练营,FL246004,,,C楼,1,C-131,23100201101051,南校区,分组研讨教室,231002,4,缺勤,2024-07-08 10:23:00,,
2023-2024,2,20,1,2024-07-08,5,,6,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,A-325,信息安全入门与实践,IC246036,,,A楼,3,A-325,23100503101029,南校区,多媒体教室,231005,4,缺勤,2024-07-08 13:40:00,,
2023-2024,2,20,2,2024-07-09,5,,8,,pjxyqxbj718,空间科学与技术学院,飞行器设计与工程,2020,A-302,硬笔书法,TS246227,,,A楼,3,A-302,23100503101002,南校区,多媒体教室,231005,2,正常,2024-07-09 15:56:00,,
2023-2024,2,20,2,2024-07-09,5,,8,,pjxyqxbk615,空间科学与技术学院,空间科学与技术,2020,A-302,硬笔书法,TS246227,,,A楼,3,A-302,23100503101002,南校区,多媒体教室,231005,2,正常,2024-07-09 15:55:00,,
2023-2024,2,20,2,2024-07-09,3,,4,,pjxyqxbk373,物理学院,电子信息科学与技术,2020,B-101,离散模型：从统计物理学到社会选择和社区检测——机器学习视角,PY246003,,,B楼,1,B-101,23100401101043,南校区,多媒体教室,231004,2,正常,2024-07-09 10:22:00,,
2023-2024,2,20,2,2024-07-09,9,,10,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,A-220,京剧鉴赏与实践,TS246225,,,A楼,2,A-220,23100502101022,南校区,多媒体教室,231005,4,缺勤,2024-07-09 18:40:00,,
2023-2024,2,20,2,2024-07-09,1,,2,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,C-131,跨文化交际口语训练营,FL246004,,,C楼,1,C-131,23100201101051,南校区,分组研讨教室,231002,4,缺勤,2024-07-09 08:42:00,,
2023-2024,2,20,2,2024-07-09,5,,8,,pjxyqwbk777,计算机科学与技术学院,物联网工程,2020,A-221,创业SOL,IC246055,,,A楼,2,A-221,23100502101023,南校区,多媒体教室,231005,5,代签,2024-07-09 16:40:00,,
2023-2024,2,20,2,2024-07-09,3,,4,,pjxyqxbl943,空间科学与技术学院,空间科学与技术,2020,B-301,空间天气学与现代电子器件应用导论,SS246001,,,B楼,3,B-301,23100403101001,南校区,基础智慧教室,231004,2,正常,2024-07-09 10:25:00,,
2023-2024,2,20,2,2024-07-09,5,,6,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,A-325,信息安全入门与实践,IC246036,,,A楼,3,A-325,23100503101029,南校区,多媒体教室,231005,4,缺勤,2024-07-09 13:40:00,,
2023-2024,2,20,3,2024-07-10,9,,10,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,A-220,京剧鉴赏与实践,TS246225,,,A楼,2,A-220,23100502101022,南校区,多媒体教室,231005,4,缺勤,2024-07-10 18:40:00,,
2023-2024,2,20,4,2024-07-11,5,,8,,pjxyqwbk777,计算机科学与技术学院,物联网工程,2020,A-221,创业SOL,IC246055,,,A楼,2,A-221,23100502101023,南校区,多媒体教室,231005,2,正常,2024-07-11 13:59:00,,
2023-2024,2,20,3,2024-07-10,5,,8,,pjxyqwbk777,计算机科学与技术学院,物联网工程,2020,A-221,创业SOL,IC246055,,,A楼,2,A-221,23100502101023,南校区,多媒体教室,231005,2,正常,2024-07-10 13:58:00,,
2023-2024,2,20,3,2024-07-10,5,,8,,pjxyqxbj718,空间科学与技术学院,飞行器设计与工程,2020,A-223,多学科设计优化应用,IC246011,,,A楼,2,A-223,23100502101025,南校区,多媒体教室,231005,2,正常,2024-07-10 14:42:00,,
2023-2024,2,20,4,2024-07-11,5,,8,,pjxyqwbk652,计算机科学与技术学院,软件工程,2020,A-217,手机生活美学摄影,TS246242,,,A楼,2,A-217,23100502101018,南校区,多媒体教室,231005,2,正常,2024-07-11 13:55:00,,
2023-2024,2,20,3,2024-07-10,5,,8,,pjxyqwbk652,计算机科学与技术学院,软件工程,2020,A-217,手机生活美学摄影,TS246242,,,A楼,2,A-217,23100502101018,南校区,多媒体教室,231005,2,正常,2024-07-10 13:58:00,,
2023-2024,2,20,3,2024-07-10,5,,8,,pjxyqxbk503,电子工程学院,电子信息工程,2020,A-302,硬笔书法,TS246227,,,A楼,3,A-302,23100503101002,南校区,多媒体教室,231005,2,正常,2024-07-10 15:55:00,,
2023-2024,2,20,3,2024-07-10,5,,6,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,A-325,信息安全入门与实践,IC246036,,,A楼,3,A-325,23100503101029,南校区,多媒体教室,231005,4,缺勤,2024-07-10 13:40:00,,
2023-2024,2,20,3,2024-07-10,1,,4,,pjxyqxbk503,电子工程学院,电子信息工程,2020,C-129,经典诵读与说服力传播,TS246217,,,C楼,1,C-129,23100201101049,南校区,分组研讨教室,231002,5,代签,2024-07-10 12:16:00,,
2023-2024,2,20,3,2024-07-10,1,,4,,pjxyqwbk777,计算机科学与技术学院,物联网工程,2020,C-129,经典诵读与说服力传播,TS246217,,,C楼,1,C-129,23100201101049,南校区,分组研讨教室,231002,2,正常,2024-07-10 08:28:00,,
2023-2024,2,20,4,2024-07-11,9,,10,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,A-220,京剧鉴赏与实践,TS246225,,,A楼,2,A-220,23100502101022,南校区,多媒体教室,231005,4,缺勤,2024-07-11 18:40:00,,
2023-2024,2,20,4,2024-07-11,1,,4,,pjxyqxbj718,空间科学与技术学院,飞行器设计与工程,2020,A-223,多学科设计优化应用,IC246011,,,A楼,2,A-223,23100502101025,南校区,多媒体教室,231005,2,正常,2024-07-11 09:11:00,,
2023-2024,2,20,4,2024-07-11,5,,6,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,A-325,信息安全入门与实践,IC246036,,,A楼,3,A-325,23100503101029,南校区,多媒体教室,231005,4,缺勤,2024-07-11 13:40:00,,
2023-2024,2,20,4,2024-07-11,3,,4,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,C-131,跨文化交际口语训练营,FL246004,,,C楼,1,C-131,23100201101051,南校区,分组研讨教室,231002,4,缺勤,2024-07-11 10:20:00,,
2023-2024,2,20,4,2024-07-11,1,,4,,pjxyqxbk615,空间科学与技术学院,空间科学与技术,2020,A-603,个人形象设计,TS246226,,,A楼,6,A-603,23100506101003,南校区,多媒体教室,231005,2,正常,2024-07-11 09:59:00,,
2023-2024,2,20,4,2024-07-11,5,,8,,pjxyqxbj718,空间科学与技术学院,飞行器设计与工程,2020,A-302,硬笔书法,TS246227,,,A楼,3,A-302,23100503101002,南校区,多媒体教室,231005,5,代签,2024-07-11 17:35:00,,
2023-2024,2,20,4,2024-07-11,5,,8,,pjxyqxbk615,空间科学与技术学院,空间科学与技术,2020,A-302,硬笔书法,TS246227,,,A楼,3,A-302,23100503101002,南校区,多媒体教室,231005,2,正常,2024-07-11 16:01:00,,
2024-2025,1,1,1,2024-09-02,3,,4,,pjxyqwbk652,计算机科学与技术学院,软件工程,2020,A-511,计算机组成与结构(II),CS263012,,,A楼,5,A-511,23100505101012,南校区,多媒体教室,231005,5,代签,2024-09-21 01:31:00,,
2024-2025,1,1,1,2024-09-02,1,,2,,pjxyqxbk603,微电子学院,微电子科学与工程,2020,A-314,功率半导体器件基础,MI015006,,,A楼,3,A-314,23100503101016,南校区,多媒体教室,231005,4,缺勤,,,
2024-2025,1,1,1,2024-09-02,3,,4,,pjxyqwbj397,网络与信息安全学院,网络空间安全,2020,A-518,工控安全,CE204109,,,A楼,5,A-518,23100505101020,南校区,多媒体教室,231005,3,请假,2024-09-02 10:05:00,,
2024-2025,1,1,1,2024-09-02,5,,6,,pjxyqwbj397,网络与信息安全学院,网络空间安全,2020,A-518,大数据分析与安全,CE204108,,,A楼,5,A-518,23100505101020,南校区,多媒体教室,231005,3,请假,2024-09-02 13:40:00,,
2024-2025,1,1,1,2024-09-02,5,,6,,pjxyqwbk777,计算机科学与技术学院,物联网工程,2020,B-437,数据可视化,CS205524,,,B楼,4,B-437,23100404101038,南校区,多媒体教室,231004,4,缺勤,,,
2023-2024,2,20,5,2024-07-12,1,,2,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,C-131,跨文化交际口语训练营,FL246004,,,C楼,1,C-131,23100201101051,南校区,分组研讨教室,231002,4,缺勤,2024-07-12 08:30:00,,
2024-2025,1,1,1,2024-09-02,7,,8,,pjxyqxbk723,空间科学与技术学院,空间科学与技术,2020,B-315,微波技术基础,SS204234,,,B楼,3,B-315,23100403101016,南校区,基础智慧教室,231004,2,正常,2024-09-02 15:46:00,,
2024-2025,1,1,1,2024-09-02,7,,8,,pjxyqxbk615,空间科学与技术学院,空间科学与技术,2020,B-315,微波技术基础,SS204234,,,B楼,3,B-315,23100403101016,南校区,基础智慧教室,231004,2,正常,2024-09-02 15:46:00,,
2024-2025,1,1,1,2024-09-02,1,,2,,pjwrqxbj905,先进材料与纳米科技学院,应用化学,2020,C-116,界面活性技术,MA225118,,,C楼,1,C-116,23100201101037,南校区,远程互动教室,231002,2,正常,2024-09-02 08:28:00,,
2024-2025,1,1,1,2024-09-02,1,,2,,pjwrqxbj901,先进材料与纳米科技学院,应用化学,2020,C-116,界面活性技术,MA225118,,,C楼,1,C-116,23100201101037,南校区,远程互动教室,231002,2,正常,2024-09-02 08:26:00,,
2024-2025,1,1,1,2024-09-02,3,,4,,pjxsqxbj921,经济与管理学院,市场营销,2020,C-310,公共关系学,EM065001,,,C楼,3,C-310,23100203101010,南校区,多媒体教室,231002,2,正常,2024-09-02 10:23:00,,
2024-2025,1,1,1,2024-09-02,3,,4,,pjxsqxbj864,经济与管理学院,市场营销,2020,C-310,公共关系学,EM065001,,,C楼,3,C-310,23100203101010,南校区,多媒体教室,231002,2,正常,2024-09-02 10:22:00,,
2024-2025,1,1,1,2024-09-02,7,,8,,pjxuqwbj496,机电工程学院,工业设计,2020,C-129,电子设备结构设计,ME025206,,,C楼,1,C-129,23100201101049,南校区,分组研讨教室,231002,5,代签,2024-09-12 01:35:00,,
2024-2025,1,1,1,2024-09-02,1,,8,,pjxuqwbj935,机电工程学院,机械设计制造及其自动化,2020,C-314,机械设计课程设计,ME014039,,,C楼,3,C-314,23100203101014,南校区,多媒体教室,231002,2,正常,2024-09-24 17:05:00,,
2024-2025,1,1,1,2024-09-02,5,,6,,pjxyqxbk723,空间科学与技术学院,空间科学与技术,2020,C-207,空间电子器件物理学,SS204215,,,C楼,2,C-207,23100202101007,南校区,基础智慧教室,231002,2,正常,2024-09-02 13:55:00,,
2024-2025,1,1,1,2024-09-02,5,,6,,pjxyqxbk615,空间科学与技术学院,空间科学与技术,2020,C-207,空间电子器件物理学,SS204215,,,C楼,2,C-207,23100202101007,南校区,基础智慧教室,231002,2,正常,2024-09-02 13:51:00,,
2024-2025,1,1,1,2024-09-02,1,,8,,pjxuqwbj750,机电工程学院,工业设计,2020,C-316,机械设计课程设计,ME025165,,,C楼,3,C-316,23100203101016,南校区,多媒体教室,231002,2,正常,2024-09-24 17:05:00,,
2024-2025,1,1,1,2024-09-02,1,,8,,pjxuqwbj496,机电工程学院,工业设计,2020,C-316,机械设计课程设计,ME025165,,,C楼,3,C-316,23100203101016,南校区,多媒体教室,231002,2,正常,2024-09-24 17:05:00,,
2024-2025,1,1,1,2024-09-02,5,,6,,pjxyqwbk777,计算机科学与技术学院,物联网工程,2020,B-532,智能软件概论,CS205519,,,B楼,5,B-532,23100405101035,南校区,多媒体教室,231004,5,代签,2024-09-12 01:35:00,,
2024-2025,1,1,1,2024-09-02,3,,4,,pjxyqwbk949,人工智能学院,智能科学与技术,2020,B-608,量子计算智能,AI202106,,,B楼,6,B-608,23100406101009,南校区,多媒体教室,231004,4,缺勤,,学院任选,专业选修课
2024-2025,1,1,1,2024-09-02,3,,4,,pjxyqwbk686,人工智能学院,智能科学与技术,2020,B-608,量子计算智能,AI202106,,,B楼,6,B-608,23100406101009,南校区,多媒体教室,231004,3,请假,2024-09-02 10:05:00,学院任选,专业选修课
2024-2025,1,1,1,2024-09-02,1,,2,,pjxpqxbj978,经济与管理学院,金融学,2020,C-327,风险管理,EM044009,,,C楼,3,C-327,23100203101027,南校区,多媒体教室,231002,2,正常,2024-09-02 08:28:00,,
2024-2025,1,1,1,2024-09-02,5,,10,,pjxyqxbj718,空间科学与技术学院,飞行器设计与工程,2020,G-614,制导、跟踪与控制综合实验,SS202019,,,G楼,6,G-614,20200306103014,南校区,教学,202003,2,正常,2024-09-02 14:05:00,,
