课程号_统一,KCCCDM(课程层次),KCFLDM(课程分类),JXFSDM(教学方式),SKYZDM(授课语种),KCZTDM(课程状态),KCM(课程名),YWKCM(英文课程名),JXMD(教学目的),XS(学时),XF(学分),KNZXS(课内周学时),KTJSXS(课堂讲授学时),SYXS(实验学时),SJIXS(设计学时),SJXS(上机学时),TLXS(讨论学时),QTXS1(其他学时1),QTXS2(其他学时2),QTXS3(其他学时3),JZSJZ(集中实践周),KCSJXS(课程实践学时),KSLXDM(考试类型),ZWJC(中文教材),ZWCKS(中文参考书),WWJC(外文教材),WWCKS(外文参考书),SYYX(适用院系或专业),KCSM(课程说明),ZWNRJJ(中文内容简介),YWNRJJ(英文内容简介),KSRQ(开始日期),YBZS(预备知识),CZSJ(操作时间),BZ(备注),TKYY(停开原因),HFYY(恢复原因),XGXKLBDM(校公选课类别),XXKDM(先修课代码),XXKMC(先修课名称),KSXQ(开课学期),SFXGXK(是否校公选课),KCSJZXS(课程实践周学时),XFLBDM(学分类别代码),KCFL1(课程分类),SFSYSK(是否双语授课),SFQYWSK(是否全英文授课),CJKHFS(成绩考核方式),KCMB(课程目标),XXKSFQY(先修课是否启用),XXKBXTG(先修课必须通过)
TS196017,,019,1.0,,1.0,工业质量管理,Quality Management,,16.0,1.0,2,16.0,,,,,,,,,,2.0,,,,,,,,,,,2019-05-31 11:16:37,2019国际双创周第三方公司引课,,,9.0,,,,1.0,,,,,,,,,
TS196018,,019,1.0,,1.0,纳米传感器与纳米技术,Nanosensors and Nanotechnology,,32.0,2.0,2,32.0,,,,,,,,,,2.0,,,,,,,,,,,2019-05-31 11:16:37,2019国际双创周第三方公司引课,,,9.0,,,,1.0,,,,,,,,,
TS196019,,019,1.0,,1.0,数字化政务管理与电子商务,Digital Government Management and E-Business,,16.0,1.0,2,16.0,,,,,,,,,,2.0,,,,,,,,,,,2019-05-31 11:16:37,2019国际双创周第三方公司引课,,,9.0,,,,1.0,,,,,,,,,
TE201010,,018,2.0,zh,1.0,电子系统设计实践,Electronic System Design Practice,,32.0,2.0,2,,,,,,,,,2,,2.0,,,,,,,,,2019-06-14,,,,,,,,,,,,,,,,,,,
SS001001,,020,1.0,zw,1.0,学科导论,An Introduction to Discipline,,32.0,2.0,2,32.0,,,,,,,,,,2.0,,,,,,,,,2019-06-19,,,,,,,,,,0.0,,,,,,,,,
CE206004,,023,15.0,zh,1.0,高级语言程序设计,Advanced Programming,,32.0,2.0,2,20.0,8.0,,,,,,8.0,,,1.0,,,,,,,,,2019-06-24,,,,,,,,,,,,,,,,,,,
HA006052,,019,1.0,,1.0,婴儿与科学家：科学的认知起源导论,Baby and Scientist: An Introduction to the Cognitive Origin of Science,,16.0,1.0,2,16.0,,,,,,,,,,2.0,,,,,,,,,2019-07-01,,,,,,5.0,,,,1.0,,,,,,,,,
HA006063,,019,1.0,,1.0,《大学》《中庸》导读,The Guide Reading of The DaXue and ZhongYong,,16.0,1.0,2,16.0,,,,,,,,,,2.0,,,,,,,,,2019-07-01,,,,,,5.0,,,,1.0,,,,,,,,,
HA006064,,019,6.0,,1.0,中国思想史,Chinese Intellectual History,,16.0,1.0,2,12.0,,,,,,,,,4.0,2.0,,,,,,,,,2019-07-01,,,,,,5.0,,,,1.0,,,,,,,,,
TE202010,,023,1.0,,1.0,离散数学,Discrete Mathematics,,52.0,3.0,5,52.0,,,,,,,,,,1.0,,,,,,,,,2019-07-05,,,,,,,,,,,,,,,,,,,
IB006007-04,,023,2.0,zh,1.0,电子线路实验（Ⅰ）,Electronic Circuit Experiment（Ⅰ）,,16.0,1.0,2,,32.0,,,,,,,,,2.0,,,,,,,,,2019-07-07,,,,,,,,,,,,,,,,,,,
IB006006-03,,023,1.0,zh,1.0,数字电路与逻辑设计,Digital Circuits and Logic Design,,48.0,3.0,2,48.0,,,,,,,,,,1.0,,,,,,,,,2019-07-08,,,,,,,,,,,,,,,,,,,
PY006013,,021,15.0,qy,1.0,大学物理(II),Physics(II),,54.0,3.5,2,50.0,,,,,,,4.0,,,1.0,,,,,,,,,2019-11-13,,,,,,,,,,0.0,,,,,1.0,,,,
PB0201008,,021,1.0,zh,1.0,大学物理（下）,Physics (III),,64.0,4.0,2,64.0,,,,,,,,,,1.0,,,,,,,,,2020-01-05,,,,,,,,,,0.0,,,,,,,,,
TE201005,,021,33.0,zh,1.0,新生研讨课,Freshman Seminar Course,,16.0,1.0,2,8.0,,,,,,,8.0,,,2.0,,,,,,,,,2020-05-12,,,,,,,,,,0.0,,,,0.0,0.0,,,,
ZH006013,,019,1.0,zh,1.0,过去一百年,The Past One Hundred Year,,32.0,1.0,2,,,,,,,,,,,2.0,,,,,,,,,2019-08-27,,,,,,5.0,,,,1.0,,,,,,,,,
CS203005,,003,10.0,zw,1.0,微机原理与系统设计,Microcomputer Principle and System Design,,54.0,3.0,2,46.0,,,16.0,,,,,,,1.0,,,,,,,,,,,2020-05-21 08:58:28,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
CS203009,,003,15.0,zw,1.0,数据库系统,Database System,,48.0,3.0,2,34.0,,,16.0,,,,6.0,,,1.0,,,,,,,,,,,2020-05-21 08:58:28,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
CS205102,,004,15.0,zw,1.0,算法分析与设计,Design and Analysis of Algorithms,,40.0,2.5,2,20.0,,,16.0,,,,12.0,,,1.0,,,,,,,,,,,2020-05-21 08:58:28,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
CS205201,,004,15.0,zw,1.0,计算机视觉,Computer Vision,,48.0,3.0,2,34.0,,,16.0,,,,6.0,,,1.0,,,,,,,,,,,2020-05-21 08:58:28,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
CS205204,,004,15.0,zw,1.0,数据挖掘,Data Mining,,40.0,2.5,2,26.0,,,16.0,,,,6.0,,,1.0,,,,,,,,,,,2020-05-21 08:58:28,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
CS205302,,004,33.0,zw,1.0,离散数学（II）,Discrete Mathematics（II）,,32.0,2.0,2,26.0,,,,,,,6.0,,,1.0,,,,,,,,,,,2020-05-21 08:58:28,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
CS205202,,004,33.0,zw,1.0,计算机安全导论,Introduction to Computer Security,,48.0,3.0,2,36.0,,,,,,,12.0,,,1.0,,,,,,,,,,,2020-05-21 08:58:28,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
CS205407,,004,15.0,zw,1.0,自主可控嵌入式系统设计,Independent and Controllable Embedded System Design,,40.0,2.5,2,22.0,,,20.0,,,,8.0,,,1.0,,,,,,,,,,,2020-05-21 08:58:28,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
HA4221129,1.0,002,2.0,,1.0,人力资源管理综合实验,Integrated Human Resource Management Experiment,,12.0,1.0,2,0.0,24.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,12+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
HA3321218,1.0,004,1.0,,1.0,人力资源会计,Human Resource Accountant,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
LS1121012,1.0,005,2.0,,1.0,认知实习,Cognitive Practice,,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,2.0,,,,,,0+1周,,,,,,开课学期为1,,,,,,1.0,0.0,,,,,,,,,
HA3321422,1.0,004,1.0,,1.0,日本文化,Japanese Culture ,,16.0,1.0,2,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,16+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
HA3321433,1.0,004,1.0,,1.0,日本文学史,History of Japanese Literature,,16.0,1.0,2,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,16+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
SE3321209,1.0,004,1.0,,1.0,日语（二),Japanese(II),,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,48+0周,,,,,,"开课学期为7,201411",,,,,,1.0,0.0,,,,,,,,,
SE3321208,1.0,004,1.0,,1.0,日语（一),Japanese(I),,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,48+0周,,,,,,"开课学期为6,201411",,,,,,2.0,0.0,,,,,,,,,
HA2321432,1.0,004,1.0,,1.0,日语测试对策,Japanese Testing,,16.0,1.0,2,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,16+0周,,,,,,开课学期为3,,,,,,1.0,0.0,,,,,,,,,
HA3221088,1.0,004,1.0,,1.0,日语翻译（二),Japanese Translation (II),,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
TE202012,,023,6.0,zh,1.0,嵌入式系统软件开发实践,Praxis Embedded System Software Development,,64.0,4.0,2,16.0,64.0,,,,,,,,32.0,1.0,,,,,,,,,2019-10-17,,,,,,,,,,0.0,,,,0.0,0.0,,,,
CS283003,,002,13.0,sy,1.0,数据结构,Advanced Data Structures,,60.0,4.0,2,48.0,24.0,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
PC0201032,,002,13.0,sy,1.0,概率论,Probability Theory,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
CS283006,,002,13.0,qy,1.0,计算机系统与结构,Computer System Architecture,,66.0,3.5,2,46.0,20.0,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,1.0,,,,
CS283012,,002,13.0,sy,1.0,模拟电子技术基础,Fundamentals of Analog Electronics Technology,,48.0,3.0,2,48.0,,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
CS283007,,002,13.0,sy,1.0,操作系统,Operating System,,80.0,4.0,2,56.0,24.0,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
CS283008,,025,13.0,sy,1.0,计算机网络,Computer Networks,,56.0,3.0,2,40.0,16.0,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
HA203018,,021,13.0,sy,1.0,综合汉语IV（英）,Comprehensive Chinese（IV）,,48.0,3.0,2,48.0,,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
CS283009,,025,13.0,sy,1.0,数据库原理,Principle of Database,,74.0,4.0,2,58.0,16.0,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
CS285102,,002,13.0,sy,1.0,算法分析,Algorithm Analysis,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
HA203019,,021,13.0,zw,1.0,综合汉语V（英）,Comprehensive Chinese V,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
CS283005,,025,13.0,sy,1.0,微机原理,Principle of Microcomputer,,72.0,4.0,2,56.0,16.0,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
CS284003,,025,13.0,sy,1.0,操作系统课程设计,Operating System Engineering,,16.0,1.0,2,,,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
CS284004,,025,13.0,sy,1.0,计算机系统与结构课程设计,Computer System Architecture Engineering,,16.0,1.0,2,,,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
PB0205019,,021,13.0,sy,1.0,中国文化系列讲座,Lectures on Chinese Culture Series,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
PB0206012,,021,13.0,sy,1.0,中文科技文献选读,Selected Reading of Academic Papers in Chinese,,48.0,3.0,2,48.0,,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
CS283014,,025,13.0,sy,1.0,数字图像处理,Digital Image Processing,,48.0,3.0,2,48.0,,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
CS283004,,002,13.0,sy,1.0,大数据处理技术,Big Data Processing Technology,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
CS283011,,025,13.0,qy,1.0,软件工程,Software Engineering,,56.0,3.0,2,40.0,16.0,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
CS284005,,025,13.0,sy,1.0,微机原理课程设计,Microcomputer Engineering,,16.0,1.0,2,,,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
HA203020,,021,13.0,zw,1.0,综合汉语VI（英）,Comprehensive Chinese（VI）,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
CS285204,,002,13.0,sy,1.0,数据挖掘,Data Mining,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
CS285201,,025,13.0,sy,1.0,计算机视觉,Computer Vision,,32.0,2.0,2,26.0,12.0,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
CS283010,,025,13.0,qy,1.0,人工智能,Artificial Intelligence,,48.0,2.0,2,48.0,,,,,,,,,,1.0,,,,,,,,,,,2019-09-23 17:45:11,课程导入,,,,,,,0.0,,,,,,,,,
LS022006,,023,2.0,zw,1.0,细胞生物学实验,Cellular Biology Experiment,,24.0,1.5,2,,48.0,,,,,,,,,2.0,,,,,,,,,,,2019-05-29 09:59:59,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
LS025001,,004,6.0,zw,1.0,生物材料,Biological Materials,,32.0,2.0,2,28.0,8.0,,,,,,,,,1.0,,,,,,,,,,,2019-05-29 09:59:59,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
HA024002,,003,6.0,zw,1.0,古代汉语(II),Ancient Chinese( II ),,48.0,3.0,2,40.0,,,,,,,,,16.0,1.0,,,,,,,,,,,2019-04-29 15:41:21,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
HA024003,,003,6.0,zw,1.0,文艺理论基础,Basic Theory of Literature and Art,,48.0,3.0,2,40.0,,,,,,,,,16.0,1.0,,,,,,,,,,,2019-04-29 15:41:21,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
HA024004,,003,6.0,zw,1.0,现代汉语(I),Contemporary Chinese (I),,48.0,3.0,2,40.0,,,,,,,,,8.0,1.0,,,,,,,,,,,2019-04-29 15:41:21,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
HA024006,,003,6.0,zw,1.0,中国当代文学史(I),History of Chinese Contemporary Literature(I),,32.0,2.0,2,24.0,,,,,,,,,16.0,1.0,,,,,,,,,,,2019-04-29 15:41:21,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
HA024008,,003,6.0,zw,1.0,中国古代文学史(I),History of Chinese Ancient Literature ( I),,48.0,3.0,2,40.0,,,,,,,,,16.0,1.0,,,,,,,,,,,2019-04-29 15:41:21,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
HA024005,,003,6.0,zw,1.0,现代汉语(II),Contemporary Chinese( II ),,48.0,3.0,2,40.0,,,,,,,,,16.0,1.0,,,,,,,,,,,2019-04-29 15:41:21,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
HA024007,,003,6.0,zw,1.0,中国当代文学史(II),History of Chinese Contemporary Literature( II),,48.0,3.0,2,40.0,,,,,,,,,16.0,1.0,,,,,,,,,,,2019-04-29 15:41:21,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
HA024009,,003,6.0,zw,1.0,中国古代文学史(II),History of Chinese Ancient Literature ( II),,48.0,3.0,2,40.0,,,,,,,,,16.0,1.0,,,,,,,,,,,2019-04-29 15:41:21,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
CE204002,,004,5.0,zh,1.0,操作系统综合实验,Comprehensive Experiment of Microcomputer System,,32.0,2.0,2,,48.0,,,,,,8.0,,,2.0,,,,,,,,,2019-05-17,,,,,,,,,,,,,,,,,,,
IB006001-15,,023,1.0,zh,1.0,电路分析基础,Fundamentals of Circuit Analysis,,48.0,3.0,2,48.0,,,,,,,,,0.0,1.0,,,,,,,,,2019-05-17,,,,,,,,,,0.0,,,,,,,,,
LS025002,,004,1.0,zw,1.0,文献管理与信息分析,Document Management and Information Analysis,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,2019-05-29 09:59:59,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
TE202005,,024,1.0,zw,1.0,数据结构,Data Structure,,56.0,3.5,2,40.0,,,16.0,,,,,,16.0,1.0,,,,,,,,,,,2019-05-29 19:34:27,课程导入,,,,"CS203004,CS006001","离散数学(Ⅰ),计算机导论与程序设计",,0.0,,,,0.0,0.0,,,1.0,1.0
HA040001,,020,1.0,sy,1.0,中国概况I,A Survey of China I,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
HA040002,,020,1.0,sy,1.0,中国概况II,A Survey of China II,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
HA040003,,020,10.0,sy,1.0,计算机导论,Introduction to Computer Science,,32.0,2.0,2,16.0,,,16.0,,,,,,,2.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
HA203001,,023,1.0,sy,1.0,综合汉语I,Comprehensive Chinese I,,96.0,6.0,2,96.0,,,,,,,,,,1.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
HA203002,,023,1.0,sy,1.0,综合汉语II,Comprehensive ChineseII,,96.0,6.0,2,96.0,,,,,,,,,,1.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
HA203003,,023,1.0,sy,1.0,综合汉语III,Comprehensive ChineseIII,,96.0,6.0,2,96.0,,,,,,,,,,1.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
HA203004,,023,1.0,sy,1.0,综合汉语IV,Comprehensive ChineseIV,,96.0,6.0,2,96.0,,,,,,,,,,1.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
HA203005,,023,1.0,sy,1.0,汉语听说I,Chinese Listening &amp; Speaking I,,64.0,4.0,2,64.0,,,,,,,,,,1.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
HA203006,,023,1.0,sy,1.0,汉语听说II,Chinese Listening &amp; Speaking II,,64.0,4.0,2,64.0,,,,,,,,,,1.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
HA203007,,023,1.0,sy,1.0,汉语听说III,Chinese Listening &amp; Speaking III,,64.0,4.0,2,64.0,,,,,,,,,,1.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
HA203008,,023,1.0,sy,1.0,汉语听说IV,Chinese Listening &amp; Speaking IV,,64.0,4.0,2,64.0,,,,,,,,,,1.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
HA203009,,023,1.0,sy,1.0,汉字读写I,Chinese Characters Writing I,,64.0,4.0,2,64.0,,,,,,,,,,1.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
HA203010,,023,1.0,sy,1.0,汉字读写II,Chinese Characters Writing II,,64.0,4.0,2,64.0,,,,,,,,,,1.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
HA203011,,023,1.0,sy,1.0,汉语写作I,Fundamental Chinese Writing I,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
HA203012,,023,1.0,sy,1.0,汉语写作II,Fundamental Chinese Writing II,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
HA203013,,023,1.0,sy,1.0,汉语泛读I,Extensive Chinese Reading I,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
HA203014,,023,1.0,sy,1.0,汉语泛读II,Extensive Chinese Reading II,,32.0,2.0,2,32.0,,,,,,,,,,1.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
HA044001,,003,1.0,zw,1.0,高级综合汉语I,Comprehensive Advanced Chinese I,,96.0,6.0,2,96.0,,,,,,,,,,1.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
HA044002,,003,1.0,zw,1.0,高级综合汉语II,Comprehensive Advanced Chinese II,,96.0,6.0,2,96.0,,,,,,,,,,1.0,,,,,,,,,,,2019-06-12 15:10:05,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
ME012007,,023,6.0,sy,1.0,材料力学（英）,Mechanics of Materials,,48.0,3.0,2,40.0,4.0,,,,,,2.0,,8.0,1.0,,,,,,,,,,,2019-05-07 10:53:10,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
ME012008,,023,6.0,zw,1.0,模拟电子技术基础,Fundamentals of Analog ElectronicTechnology,,48.0,3.0,2,36.0,20.0,,,,,,,,4.0,1.0,,,,,,,,,,,2019-05-07 10:53:10,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
ME012009,,023,6.0,zw,1.0,机械工程测试技术,Measurement Technology in Mechanical Engineering,,32.0,2.0,2,28.0,8.0,,,,,,,,,1.0,,,,,,,,,,,2019-05-07 10:53:10,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
ME012010,,023,6.0,sy,1.0,工程流体力学（英）,Engineering Fluid Mechanics,,32.0,2.0,2,26.0,4.0,,,,,,,,8.0,1.0,,,,,,,,,,,2019-05-07 10:53:10,课程导入,,,,,,,0.0,,,,1.0,0.0,,,,
ME012011,,023,6.0,zw,1.0,计算方法,Computational Methods,,32.0,2.0,2,28.0,,,,,,,,,8.0,1.0,,,,,,,,,,,2019-05-07 10:53:10,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
ME012012,,023,6.0,zw,1.0,机械原理,Theory of Mechanisms and Machines,,48.0,3.0,2,40.0,6.0,,,,,,2.0,,6.0,1.0,,,,,,,,,,,2019-05-07 10:53:10,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
