学号_统一,生活_门禁刷卡总次数,生活_晚归异常次数,生活_网络使用累计时长,生活_单次网络平均使用时长
pjxrqxbj918,0.0,0.0,2633.21,376.17285714285714
pjxrqxbj919,1.0,0.0,0.0,0.0
pjxrqxbj928,0.0,0.0,2877.25,411.0357142857143
pjxrqxbj930,0.0,0.0,7027.91,1003.9871428571429
pjxrqxbj937,0.0,0.0,10577.33,1322.16625
pjxrqxbj939,0.0,0.0,2679.0299999999997,382.7185714285714
pjxrqxbj942,2.0,0.0,1499.02,214.1457142857143
pjxrqxbj943,0.0,0.0,2134.41,304.9157142857143
pjxrqxbj944,0.0,0.0,5599.55,799.9357142857143
pjxrqxbj945,46.0,0.0,930.23,132.89000000000001
pjxrqxbj947,15.0,0.0,1357.78,193.96857142857144
pjxrqxbj951,19.0,0.0,836.96,119.5657142857143
pjxrqxbj952,0.0,0.0,228.45,32.635714285714286
pjxrqxbj954,0.0,0.0,2099.55,299.9357142857143
pjxrqxbj955,7.0,0.0,6058.099999999999,865.4428571428571
pjxrqxbj957,1.0,0.0,5776.76,825.2514285714286
pjxrqxbj958,0.0,0.0,4093.4,584.7714285714286
pjxrqxbj961,1.0,0.0,2272.14,324.59142857142854
pjxrqxbj962,95.0,0.0,3152.08,450.29714285714283
pjxrqxbj963,1.0,0.0,1437.96,239.66
pjxrqxbj969,60.0,0.0,3782.79,540.3985714285715
pjxrqxbj971,151.0,0.0,6554.41,936.3442857142857
pjxrqxbj972,0.0,0.0,2716.28,388.04
pjxrqxbj973,11.0,0.0,638.99,91.28428571428572
pjxrqxbj978,50.0,0.0,3705.34,529.3342857142858
pjxrqxbj981,0.0,0.0,1736.83,248.1185714285714
pjxrqxbj983,0.0,0.0,6539.99,934.2842857142857
pjxrqxbj988,0.0,0.0,3150.05,393.75625
pjxrqxbj990,11.0,0.0,2472.67,353.23857142857145
pjxrqxbj992,1.0,0.0,503.82000000000005,125.95500000000001
pjxrqxbj994,0.0,0.0,2594.61,370.65857142857146
pjxrqxbj996,1.0,0.0,6714.41,959.2014285714286
pjxsqxbj751,0.0,0.0,948.4100000000001,316.1366666666667
pjxsqxbj752,0.0,0.0,116.28999999999999,38.76333333333333
pjxsqxbj758,1.0,0.0,2563.12,366.15999999999997
pjxsqxbj760,1.0,0.0,2011.37,335.2283333333333
pjxsqxbj764,0.0,0.0,1288.6,184.08571428571426
pjxsqxbj765,0.0,0.0,3933.3199999999997,561.9028571428571
pjxsqxbj768,2.0,0.0,1942.59,277.5128571428571
pjxsqxbj771,0.0,0.0,1432.9499999999998,204.70714285714283
pjxsqxbj772,0.0,0.0,1067.6,152.5142857142857
pjxsqxbj774,0.0,0.0,8263.64,1032.955
pjxsqxbj777,0.0,0.0,1742.83,248.97571428571428
pjxsqxbj778,0.0,0.0,2891.55,361.44375
pjxsqxbj779,4.0,0.0,1005.24,143.6057142857143
pjxsqxbj780,0.0,0.0,893.15,127.59285714285714
pjxsqxbj784,1.0,0.0,1488.54,212.64857142857142
pjxsqxbj786,9.0,0.0,1025.56,146.50857142857143
pjxsqxbj787,0.0,0.0,3765.8500000000004,537.9785714285715
pjxsqxbj788,0.0,0.0,1406.33,200.9042857142857
pjxsqxbj789,0.0,0.0,1915.21,273.6014285714286
pjxsqxbj790,0.0,0.0,2596.65,324.58125
pjxsqxbj792,0.0,0.0,962.49,137.49857142857144
pjxsqxbj796,0.0,0.0,7757.51,969.68875
pjxsqxbj800,0.0,0.0,2625.11,375.0157142857143
pjxsqxbj801,0.0,0.0,1951.69,278.8128571428571
pjxsqxbj807,0.0,0.0,702.56,117.09333333333332
pjxsqxbj808,0.0,0.0,3302.9300000000003,471.8471428571429
pjxsqxbj809,0.0,0.0,1604.27,229.18142857142857
pjxsqxbj810,12.0,0.0,2164.5099999999998,309.2157142857142
pjxsqxbj811,26.0,1.0,1542.95,220.42142857142858
pjxsqxbj812,0.0,0.0,263.44,37.63428571428572
pjxsqxbj815,0.0,0.0,1311.24,187.32
pjxsqxbj816,0.0,0.0,2123.12,303.30285714285714
pjxsqxbj820,0.0,0.0,3856.42,550.9171428571428
pjxsqxbj821,3.0,0.0,1848.23,264.03285714285715
pjxsqxbj823,0.0,0.0,1772.07,253.15285714285713
pjxsqxbj824,1.0,0.0,6623.639999999999,827.9549999999999
pjxsqxbj825,0.0,0.0,5899.13,842.7328571428571
pjxsqxbj826,0.0,0.0,2450.41,350.0585714285714
pjxsqxbj827,0.0,0.0,2549.82,364.26000000000005
pjxsqxbj829,0.0,0.0,1529.6399999999999,218.51999999999998
pjxsqxbj831,0.0,0.0,1530.63,218.6614285714286
pjxsqxbj834,4.0,1.0,1587.08,226.72571428571428
pjxsqxbj840,0.0,0.0,1556.06,222.2942857142857
pjxsqxbj843,0.0,0.0,2069.62,295.65999999999997
pjxsqxbj844,2.0,0.0,2375.27,296.90875
pjxsqxbj849,0.0,0.0,5619.88,802.84
pjxsqxbj851,0.0,0.0,7317.24,914.655
pjxsqxbj856,0.0,0.0,8546.81,1220.972857142857
pjxsqxbj857,0.0,0.0,1741.81,248.82999999999998
pjxsqxbj859,0.0,0.0,2743.71,391.9585714285714
pjxsqxbj862,9.0,0.0,1839.82,262.83142857142855
pjxsqxbj863,0.0,0.0,2317.1,331.0142857142857
pjxsqxbj864,0.0,0.0,949.0400000000001,135.57714285714286
pjxsqxbj867,0.0,0.0,2797.94,399.7057142857143
pjxsqxbj871,0.0,0.0,1983.61,283.37285714285713
pjxsqxbj872,1.0,0.0,1705.48,284.24666666666667
pjxsqxbj873,0.0,0.0,1737.38,248.19714285714286
pjxsqxbj874,0.0,0.0,7342.8,1048.9714285714285
pjxsqxbj876,0.0,0.0,5672.7300000000005,810.3900000000001
pjxsqxbj877,0.0,0.0,2866.73,409.53285714285715
pjxsqxbj880,0.0,0.0,9067.1,1295.3
pjxsqxbj881,39.0,0.0,1310.3600000000001,187.19428571428574
pjxsqxbj882,0.0,0.0,2123.5,303.35714285714283
pjxsqxbj884,1.0,0.0,6693.65,956.2357142857143
pjxsqxbj885,107.0,0.0,2360.06,295.0075
pjxsqxbj886,0.0,0.0,710.6899999999999,142.13799999999998
pjxsqxbj887,0.0,0.0,2261.06,323.00857142857143
pjxsqxbj888,0.0,0.0,8913.15,1273.3071428571427
pjxsqxbj892,6.0,0.0,1964.54,280.6485714285714
pjxsqxbj893,4.0,1.0,2566.08,366.5828571428571
pjxsqxbj894,3.0,0.0,1690.83,241.54714285714286
pjxsqxbj897,1.0,0.0,6549.9,935.6999999999999
pjxsqxbj899,0.0,0.0,1767.17,252.45285714285714
pjxsqxbj900,0.0,0.0,2787.4,398.2
pjxsqxbj904,0.0,0.0,2262.9,323.2714285714286
pjxsqxbj905,5.0,0.0,6205.07,886.4385714285714
pjxsqxbj906,0.0,0.0,2811.64,401.66285714285715
pjxsqxbj908,0.0,0.0,4067.26,581.0371428571428
pjxsqxbj909,2.0,2.0,6297.15,787.14375
pjxsqxbj912,4.0,1.0,2491.52,355.93142857142857
pjxsqxbj916,0.0,0.0,2624.57,374.93857142857144
pjxsqxbj918,1.0,0.0,2217.82,316.8314285714286
pjxsqxbj920,0.0,0.0,2437.09,348.1557142857143
pjxsqxbj921,1.0,0.0,2064.4,688.1333333333333
pjxsqxbj922,5.0,1.0,2188.28,312.6114285714286
pjxsqxbj925,0.0,0.0,2762.65,394.6642857142857
pjxsqxbj927,0.0,0.0,5946.08,849.4399999999999
pjxsqxbj929,0.0,0.0,7374.89,921.86125
pjxsqxbj932,0.0,0.0,2485.7200000000003,355.1028571428572
pjxsqxbj934,0.0,0.0,6314.49,902.0699999999999
pjxsqxbj936,18.0,0.0,7671.16,958.895
pjxsqxbj938,0.0,0.0,5573.91,796.2728571428571
pjxsqxbj939,0.0,0.0,1185.33,169.33285714285714
pjxsqxbj940,0.0,0.0,2305.1400000000003,329.3057142857143
pjxsqxbj941,3.0,0.0,1763.3600000000001,251.90857142857143
pjxsqxbj942,0.0,0.0,1305.43,186.49
pjxsqxbj944,0.0,0.0,1861.37,265.90999999999997
pjxsqxbj946,0.0,0.0,4310.98,615.8542857142857
pjxsqxbj949,0.0,0.0,4266.35,609.4785714285715
pjxsqxbj953,4.0,0.0,2387.7200000000003,341.1028571428572
pjxsqxbj954,0.0,0.0,6179.25,882.75
pjxsqxbj957,0.0,0.0,7310.71,1044.3871428571429
pjxsqxbj962,0.0,0.0,5009.3099999999995,715.6157142857143
pjxsqxbj965,3.0,0.0,1865.58,266.51142857142855
pjxsqxbj966,0.0,0.0,2083.06,297.58
pjxsqxbj968,0.0,0.0,3308.31,472.61571428571426
pjxsqxbj969,0.0,0.0,4375.18,729.1966666666667
pjxsqxbj970,0.0,0.0,2414.27,344.8957142857143
pjxsqxbj971,9.0,0.0,2204.72,367.4533333333333
pjxsqxbj976,0.0,0.0,1788.8,255.54285714285714
pjxsqxbj980,0.0,0.0,2453.56,350.50857142857143
pjxsqxbj981,0.0,0.0,2358.7,336.95714285714286
pjxsqxbj982,0.0,0.0,1957.19,279.59857142857146
pjxsqxbj983,2.0,0.0,2111.07,301.5814285714286
pjxsqxbj984,22.0,0.0,1562.74,223.24857142857144
pjxsqxbj985,0.0,0.0,3116.3,519.3833333333333
pjxsqxbj986,24.0,0.0,5475.37,782.1957142857143
pjxsqxbj989,0.0,0.0,2656.53,379.50428571428574
pjxsqxbj994,0.0,0.0,3393.09,484.7271428571429
pjxsqxbj995,0.0,0.0,2250.08,321.44
pjxsqxbj996,0.0,0.0,1594.42,227.77428571428572
pjxsqxbj997,0.0,0.0,2210.67,315.81
pjxsqxbj998,0.0,0.0,3531.95,504.5642857142857
pjxtztbj985,0.0,0.0,629.36,209.78666666666666
pjxtztbj986,0.0,0.0,662.27,220.75666666666666
pjxtztbj987,0.0,0.0,1187.57,395.8566666666666
pjxtztbj989,0.0,0.0,2920.75,417.25
pjxtztbj990,3.0,0.0,4136.22,590.8885714285715
pjxtztbj996,1.0,0.0,1188.88,169.84
pjxtztbj997,0.0,0.0,3439.42,491.3457142857143
pjxtztbj998,0.0,0.0,1188.26,169.75142857142856
pjxtzxbj997,0.0,0.0,3950.19,564.3128571428572
pjxtzxfj994,0.0,0.0,215.82999999999998,71.94333333333333
pjxuqwbj443,0.0,0.0,2209.21,736.4033333333333
pjxuqwbj445,7.0,0.0,2211.5,442.3
pjxuqwbj446,0.0,0.0,2267.08,323.86857142857144
pjxuqwbj449,0.0,0.0,365.58,121.86
pjxuqwbj450,0.0,0.0,2621.43,873.81
pjxuqwbj454,29.0,0.0,2605.58,521.116
pjxuqwbj460,0.0,0.0,1576.03,525.3433333333334
pjxuqwbj461,2.0,0.0,1183.04,394.34666666666664
pjxuqwbj463,0.0,0.0,144.45,28.889999999999997
pjxuqwbj468,0.0,0.0,1936.13,276.59000000000003
pjxuqwbj470,0.0,0.0,1841.12,263.01714285714286
pjxuqwbj472,1.0,0.0,2868.63,409.80428571428575
pjxuqwbj473,1.0,0.0,6418.42,916.9171428571428
pjxuqwbj474,0.0,0.0,2450.09,350.0128571428572
pjxuqwbj476,2.0,0.0,3868.5299999999997,552.6471428571429
pjxuqwbj477,2.0,0.0,1890.3200000000002,270.0457142857143
pjxuqwbj478,3.0,0.0,1306.78,186.68285714285713
pjxuqwbj479,0.0,0.0,1316.6599999999999,188.0942857142857
pjxuqwbj483,0.0,0.0,4641.3,663.0428571428572
pjxuqwbj485,1.0,0.0,3196.5299999999997,456.6471428571428
pjxuqwbj488,1.0,0.0,2311.26,330.18
pjxuqwbj489,0.0,0.0,1590.23,227.1757142857143
pjxuqwbj490,0.0,0.0,294.54,98.18
pjxuqwbj491,0.0,0.0,3572.88,510.4114285714286
pjxuqwbj492,0.0,0.0,2660.46,380.0657142857143
pjxuqwbj495,4.0,0.0,520.23,74.31857142857143
pjxuqwbj496,7.0,0.0,1315.33,187.9042857142857
pjxuqwbj497,0.0,0.0,2341.96,334.5657142857143
pjxuqwbj498,20.0,0.0,551.01,78.71571428571428
pjxuqwbj499,0.0,0.0,2495.94,356.5628571428571
pjxuqwbj500,86.0,0.0,2914.1,416.3
pjxuqwbj503,0.0,0.0,6032.1,861.7285714285715
pjxuqwbj505,0.0,0.0,6724.74,960.6771428571428
pjxuqwbj507,27.0,0.0,2283.04,326.1485714285714
pjxuqwbj508,0.0,0.0,1848.01,264.00142857142856
pjxuqwbj511,0.0,0.0,896.21,128.03
pjxuqwbj512,0.0,0.0,1154.4,164.91428571428574
pjxuqwbj515,0.0,0.0,5068.74,633.5925
pjxuqwbj516,2.0,0.0,1853.98,264.8542857142857
pjxuqwbj517,0.0,0.0,2645.74,377.9628571428571
pjxuqwbj519,43.0,0.0,3443.9700000000003,491.9957142857143
pjxuqwbj525,28.0,0.0,2579.88,368.55428571428575
pjxuqwbj526,0.0,0.0,3600.56,514.3657142857143
pjxuqwbj527,0.0,0.0,5307.0199999999995,758.1457142857142
pjxuqwbj528,0.0,0.0,1135.07,162.15285714285713
pjxuqwbj529,0.0,0.0,1261.67,180.23857142857145
pjxuqwbj535,26.0,0.0,2417.56,345.36571428571426
pjxuqwbj536,5.0,0.0,2033.37,290.4814285714286
pjxuqwbj537,0.0,0.0,1209.05,172.72142857142856
pjxuqwbj538,0.0,0.0,923.61,131.9442857142857
pjxuqwbj539,19.0,0.0,4381.03,625.8614285714285
pjxuqwbj540,0.0,0.0,8658.98,1082.3725
pjxuqwbj545,0.0,0.0,2147.02,306.71714285714285
pjxuqwbj546,2.0,0.0,688.53,98.36142857142856
pjxuqwbj547,26.0,1.0,1859.56,265.65142857142854
pjxuqwbj551,0.0,0.0,2788.5,398.35714285714283
pjxuqwbj552,0.0,0.0,1737.72,248.24571428571429
pjxuqwbj558,2659.0,124.0,1441.8,205.97142857142856
pjxuqwbj559,0.0,0.0,2341.05,334.4357142857143
pjxuqwbj562,0.0,0.0,3300.13,471.44714285714286
pjxuqwbj564,15.0,0.0,8857.41,1265.3442857142857
pjxuqwbj565,49.0,0.0,3350.96,478.7085714285714
pjxuqwbj566,0.0,0.0,1299.42,185.6314285714286
pjxuqwbj568,3.0,0.0,2014.61,287.8014285714286
pjxuqwbj571,6.0,0.0,2446.69,349.52714285714285
pjxuqwbj572,2.0,0.0,2431.99,347.4271428571428
pjxuqwbj573,1.0,1.0,1810.03,258.5757142857143
pjxuqwbj574,3.0,0.0,5875.99,839.4271428571428
pjxuqwbj580,0.0,0.0,2157.2799999999997,308.18285714285713
pjxuqwbj581,103.0,0.0,3216.51,459.5014285714286
pjxuqwbj582,0.0,0.0,4816.59,688.0842857142858
pjxuqwbj583,2.0,0.0,3409.26,487.0371428571429
pjxuqwbj584,0.0,0.0,2600.26,371.46571428571434
pjxuqwbj585,0.0,0.0,2253.07,321.8671428571429
pjxuqwbj586,0.0,0.0,2252.05,321.7214285714286
pjxuqwbj588,0.0,0.0,1458.3799999999999,208.33999999999997
pjxuqwbj589,0.0,0.0,3968.48,566.9257142857143
pjxuqwbj591,0.0,0.0,7978.18,1139.74
pjxuqwbj593,1.0,0.0,3664.86,523.5514285714286
pjxuqwbj594,0.0,0.0,660.8,110.13333333333333
pjxuqwbj600,9.0,0.0,2586.32,369.4742857142857
pjxuqwbj605,0.0,0.0,3227.48,461.06857142857143
pjxuqwbj606,0.0,0.0,2219.94,317.13428571428574
pjxuqwbj608,4.0,0.0,1985.97,283.71
pjxuqwbj609,0.0,0.0,6816.97,973.8528571428571
