XH(学号),YDRQ(异动日期),YDLBDM(异动类别代码),YDLBDM(异动类别代码)_含义,YDYYDM(异动原因代码),YDYYDM(异动原因代码)_含义,SPRQ(审批日期),YYXDM(原院系代码),YZYDM(原专业代码),YZYFXDM(原专业方向代码),YNJ(原年级),XYXDM(现院系代码),XZYDM(现专业代码),XZYFXDM(现专业方向代码),XNJ(现年级),SFZX(是否在校),SFZX(是否在校)_含义,YDSM(异动说明),YXZ(原学制),YXZ(原学制)_含义,XBH(现班号),BY1(生效日期),BY2(备用),SFSCXKJG(是否删除选课结果),SFTBPYFA(是否同步培养方案),SFTBPYFA(是否同步培养方案)_含义
pjxyqxbj280,,16,班级异动,20,班级异动,2021-09-01 16:03:53,1102,0201,02018,2020,1102.0,0201,02018,2020.0,,,2021-09-01 00:00:00,4.0,转专业,2002018,2021-09-01,,0.0,1,休学
pjxyqwbj857,,4,转专业,6,专业分流,2022-08-12 15:26:35,1103,0305,,2020,1103.0,0305,03056,2020.0,,,分流,4.0,转专业,2003051云,2022-08-12,,0.0,1,休学
pjxyqxbj483,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:25:25,2320,9192,91928,2020,1103.0,0301,03018,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2003018,2021-07-16,,0.0,1,休学
pjxsqxbj886,,4,转专业,6,专业分流,2022-06-27 20:08:46,1106,0691,,2020,1106.0,0607,,2020.0,,,,4.0,转专业,2006071,2022-06-27,,0.0,1,休学
pjxyqxbk674,,16,班级异动,20,班级异动,2022-07-12 16:39:44,1105,0501,05018,2020,529.0,2901,29011,2020.0,,,1111,4.0,转专业,2005011,2022-07-12,,0.0,1,休学
pjxyqwbj441,,4,转专业,6,专业分流,2022-08-20 13:12:14,1103,0301,0301X,2020,1103.0,0301,0301X,2020.0,,,分流,4.0,转专业,2003012数,2022-08-20,,0.0,1,休学
pjxyqwbk935,,4,转专业,6,专业分流,2022-08-16 15:55:07,1103,0301,03011,2020,1103.0,0301,03017,2020.0,,,分流,4.0,转专业,2003013网,2022-08-16,,0.0,1,休学
pjxyqwbj058,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:36:10,2320,9197,91979,2020,1120.0,2003,20039,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2020039,2021-07-16,,0.0,1,休学
pjxsqxbj801,,4,转专业,6,专业分流,2022-06-27 20:13:00,1106,0691,,2020,1106.0,0611,,2020.0,,,,4.0,转专业,2006111,2022-06-27,,0.0,1,休学
pjxuqwbj735,,4,转专业,5,保留学籍,2020-09-18 21:49:44,2320,202003,,2020,2320.0,9195,91958,2020.0,,,2020202110006zy班选拔2020级,,,2004078,2020-09-18,,,0,0
pjxyqwbj002,,4,转专业,6,专业分流,2022-08-16 16:38:57,1103,0301,03011,2020,1103.0,0301,03015,2020.0,,,分流,4.0,转专业,2003014嵌,2022-08-16,,0.0,1,休学
pjxyqxbj576,,18,学院异动,31,学籍从书院转入学院,2022-07-12 18:33:46,1105,0503,,2020,529.0,2902,,2020.0,,,1111,4.0,转专业,2005031,2022-07-12,,0.0,1,休学
pjxyqwbj216,,4,转专业,6,专业分流,2022-08-16 16:35:52,1103,0301,03011,2020,1103.0,0301,03015,2020.0,,,分流,4.0,转专业,2003013嵌,2022-08-16,,0.0,1,休学
pjxyqxbk835,,16,班级异动,20,班级异动,2022-04-03 12:22:20,1102,0201,,2020,1102.0,0201,02011,2020.0,,,20220403-13,4.0,转专业,2002013,2022-04-03,,0.0,0,0
pjxyqwbj408,,4,转专业,6,专业分流,2022-08-12 10:56:02,1103,0305,03051,2020,1103.0,0305,03052,2020.0,,,分流,4.0,转专业,2003052W,2022-08-12,,0.0,1,休学
pjxyqwbj166,,4,转专业,6,专业分流,2022-08-16 15:55:07,1103,0301,03011,2020,1103.0,0301,03017,2020.0,,,分流,4.0,转专业,2003013网,2022-08-16,,0.0,1,休学
pjxyqxbk335,,4,转专业,5,保留学籍,2020-09-18 20:56:34,2321,202001,,2020,2321.0,9292,92929,2020.0,,,2020202110007教学改革试点班选拔2020级,,,2002019,2020-09-18,,,0,0
pjxxxxbj958,,18,学院异动,31,学籍从书院转入学院,2021-07-16 16:55:50,2321,9291,92910,2020,1101.0,0101,01901,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2001911,2021-07-16,,0.0,1,休学
pjxyqxbj541,,4,转专业,5,保留学籍,2020-09-19 00:02:21,2321,202001,,2020,2321.0,9293,92939,2020.0,,,2020202110007教学改革试点班选拔2020级,,,2005019,2020-09-19,,,0,0
pjxyqxbj095,,16,班级异动,20,班级异动,2022-04-03 12:18:54,1102,0201,,2020,1102.0,0201,02011,2020.0,,,20220403-12,4.0,转专业,2002012,2022-04-03,,0.0,0,0
pjxsqxbj905,,18,学院异动,31,学籍从书院转入学院,2021-07-16 11:53:59,2320,202004,,2020,1106.0,0691,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2006914,2021-07-16,,0.0,1,休学
pjxqzxbj995,,18,学院异动,31,学籍从书院转入学院,2021-07-16 09:24:21,2320,9191,,2020,1108.0,0801,08011,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2008011,2021-07-16,,0.0,1,休学
pjxxxxbj986,,18,学院异动,31,学籍从书院转入学院,2021-07-16 16:55:50,2321,9291,92910,2020,1101.0,0101,01901,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2001911,2021-07-16,,0.0,1,休学
pjxyqwbj166,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:25:26,2320,9192,91928,2020,1103.0,0301,03018,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2003018,2021-07-16,,0.0,1,休学
pjxyqwbj809,,4,转专业,6,专业分流,2022-08-20 09:27:07,1103,0305,03052,2020,1103.0,0305,03052,2020.0,,,分流,4.0,转专业,2003051W,2022-08-20,,0.0,1,休学
pjxyqwbk777,,1,休学,24,因病休学-学生申请,2021-12-08 15:12:33,1103,0304,,2020,,,,,0.0,0.0,,4.0,转专业,,2021-12-06,,1.0,0,0
pjxyqxbk880,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:42:51,2321,9291,92918,2020,1101.0,0101,01018,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2001018,2021-07-16,,0.0,1,休学
pjxuqwbj496,,4,转专业,5,保留学籍,2022-07-12 20:15:48,1104,0402,,2020,1104.0,0404,,2020.0,,,20212022200052020级转专业,,,2004041,2022-07-12,,,0,0
pjxyqwbj630,,4,转专业,6,专业分流,2022-08-12 17:42:36,1103,0301,03011,2020,1103.0,0301,0301X,2020.0,,,分流,4.0,转专业,2003012数,2022-08-12,,0.0,1,休学
pjxyqxbk530,,16,班级异动,20,班级异动,2022-04-03 12:27:33,1102,0201,,2020,1102.0,0201,02011,2020.0,,,20220403-14,4.0,转专业,2002014,2022-04-03,,0.0,0,0
pjxyqxbj221,,13,延长学制,14,死亡,2024-05-17 15:54:33,528,2801,,2020,,,,2021.0,,,,4.0,转专业,2111053,2024-05-17,,0.0,0,0
pjxyqxbk531,,18,学院异动,31,学籍从书院转入学院,2022-07-12 18:57:56,1105,0501,05019,2020,529.0,2901,29018,2020.0,,,1111,4.0,转专业,2005019,2022-07-12,,0.0,1,休学
pjxyqwbj360,,15,出国交流,18,学院异动,2024-06-05 18:21:59,1103,0301,0301X,2020,1103.0,080906,,2020.0,1.0,休学,出国交流结束,4.0,转专业,2003061,2024-06-05,,0.0,0,0
pjxyqwbj398,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:25:25,2320,9192,91928,2020,1103.0,0301,03018,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2003018,2021-07-16,,0.0,1,休学
pjxyqwbk646,,4,转专业,6,专业分流,2022-08-12 11:33:53,1103,0305,03052,2020,1103.0,0305,03052,2020.0,,,分流,4.0,转专业,2003053W,2022-08-12,,0.0,1,休学
pjxyqxbk841,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:45:08,2321,9292,92928,2020,1102.0,0201,02018,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2002018,2021-07-16,,0.0,1,休学
pjxrqxbj905,,4,转专业,6,专业分流,2023-07-13 16:17:44,1107,0702,,2020,1107.0,0702,,2021.0,,,,4.0,转专业,2107021,2023-07-13,,0.0,1,休学
pjxyqxbj903,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:25:25,2320,9192,91928,2020,1103.0,0301,03018,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2003018,2021-07-16,,0.0,1,休学
pjxxxxbj915,,18,学院异动,31,学籍从书院转入学院,2021-07-16 16:55:51,2321,9291,92910,2020,1101.0,0101,01901,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2001911,2021-07-16,,0.0,1,休学
pjxpqxbj992,,4,转专业,5,保留学籍,2020-09-18 21:09:19,2321,202006,,2020,2321.0,92902,92908,2020.0,,,2020202110006zy班选拔2020级,,,2014028,2020-09-18,,,0,0
pjxyqwbk708,,16,班级异动,20,班级异动,2022-04-28 15:07:32,1120,2003,,2020,1120.0,2003,2003,2020.0,,,添加专业方向,4.0,转专业,2020031,2022-04-28,,0.0,1,休学
pjxyqxbk426,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:56:01,2321,9292,92929,2020,1102.0,0201,02019,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2002019,2021-07-16,,0.0,1,休学
pjxyqxbk878,,16,班级异动,20,班级异动,2022-04-03 12:22:20,1102,0201,,2020,1102.0,0201,02011,2020.0,,,20220403-13,4.0,转专业,2002013,2022-04-03,,0.0,0,0
pjwrqxbj952,,13,延长学制,14,死亡,2024-07-09 17:20:48,1117,1702,,2020,,,,2021.0,,,,4.0,转专业,2117021,2024-07-09,,0.0,0,0
pjxyqxbj162,,11,留级,13,延长学制,2022-10-17 15:33:45,529,2902,,2020,529.0,2902,,2021.0,,,,4.0,转专业,2105031,2022-10-17,,0.0,1,休学
pjxrqxbj945,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:19:23,2320,9196,91969,2020,1107.0,0701,07018,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2007019,2021-07-16,,0.0,1,休学
pjxwxxbj930,,18,学院异动,31,学籍从书院转入学院,2021-07-16 17:03:08,2321,9292,92920,2020,1102.0,0201,02016,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2002911,2021-07-16,,0.0,1,休学
pjxsqxbj965,,18,学院异动,31,学籍从书院转入学院,2021-07-16 17:29:00,2320,202004,,2020,1106.0,0691,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2006911,2021-07-16,,0.0,1,休学
pjxyqwbj309,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:25:26,2320,9192,91928,2020,1103.0,0301,03018,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2003018,2021-07-16,,0.0,1,休学
pjxyqxbj885,,4,转专业,5,保留学籍,2020-09-18 21:08:12,2321,202001,,2020,2321.0,9292,92928,2020.0,,,2020202110006zy班选拔2020级,,,2002018,2020-09-18,,,0,0
pjxyqxbj682,,18,学院异动,31,学籍从书院转入学院,2022-07-12 18:31:52,1105,0505,,2020,528.0,2801,,2020.0,,,1111,4.0,转专业,,2022-07-12,,0.0,1,休学
pjxyqwbj452,,13,延长学制,14,死亡,2024-05-20 10:22:36,1103,0305,03056,2020,,,,2021.0,,,,4.0,转专业,2103053云,2024-05-20,,0.0,0,0
pjxyqwbj455,,4,转专业,6,专业分流,2022-08-12 17:48:53,1103,0301,03011,2020,1103.0,0301,0301X,2020.0,,,分流,4.0,转专业,2003012数,2022-08-12,,0.0,1,休学
pjxyqwbk668,,16,班级异动,20,班级异动,2022-04-28 15:07:32,1120,2003,,2020,1120.0,2003,2003,2020.0,,,添加专业方向,4.0,转专业,2020031,2022-04-28,,0.0,1,休学
pjxuqwbj583,,16,班级异动,20,班级异动,2022-08-16 18:21:35,1104,0403,,2020,1104.0,0403,,2020.0,,,分班,4.0,转专业,2004032,2022-08-16,,0.0,1,休学
pjxyqwbj924,,4,转专业,6,专业分流,2022-08-20 15:02:58,1103,0301,03012,2020,1103.0,0301,03012,2020.0,,,分流,4.0,转专业,2003011软,2022-08-20,,0.0,1,休学
pjxsqxbj953,,18,学院异动,31,学籍从书院转入学院,2021-07-16 17:30:40,2320,202004,,2020,1106.0,0691,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2006912,2021-07-16,,0.0,1,休学
pjxyqwbj602,,4,转专业,6,专业分流,2022-08-16 14:44:49,1103,0301,03011,2020,1103.0,0301,03012,2020.0,,,分流,4.0,转专业,2003012软,2022-08-16,,0.0,1,休学
pjxqzxbj983,,16,班级异动,20,班级异动,2021-07-23 11:30:55,1108,0801,08011,2020,1108.0,0801,08017,2020.0,,,根据培养方案要求，2020级录音艺术专业学生在第三学期开始进行专业分流。,4.0,转专业,2008015,2021-07-26,,0.0,1,休学
pjxyqwbk713,,4,转专业,6,专业分流,2022-08-20 13:04:27,1103,0301,0301X,2020,1103.0,0301,0301X,2020.0,,,分流,4.0,转专业,2003011数,2022-08-20,,0.0,1,休学
pjxrqxbj988,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:22:35,2320,202007,,2020,1107.0,0791,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,209701,2021-07-16,,0.0,1,休学
pjxyqwbk536,,4,转专业,6,专业分流,2022-08-12 15:54:32,1103,0305,03051,2020,1103.0,0305,03056,2020.0,,,分流,4.0,转专业,2003053云,2022-08-12,,0.0,1,休学
pjxsqxbj983,,4,转专业,6,专业分流,2022-06-27 19:32:35,1106,0691,,2020,1106.0,0601,,2020.0,,,,4.0,转专业,2006011,2022-06-27,,0.0,1,休学
pjxrqxbj973,,4,转专业,6,专业分流,2022-07-11 10:42:10,1107,0791,,2020,1107.0,0702,,2020.0,,,,4.0,转专业,2007021,2022-07-11,,0.0,1,休学
pjxyqxbj098,,13,延长学制,14,死亡,2024-05-21 09:01:30,1114,1401,14011,2020,,,,2021.0,,,,4.0,转专业,2114012,2024-05-21,,0.0,0,0
pjxsqxbj772,,18,学院异动,31,学籍从书院转入学院,2021-07-16 12:02:57,2320,202004,,2020,1106.0,0691,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2006915,2021-07-16,,0.0,1,休学
pjxyqwbj375,,16,班级异动,20,班级异动,2022-04-28 15:01:32,1120,2003,,2020,1120.0,2003,2003,2020.0,,,添加专业方向,4.0,转专业,2020031,2022-04-28,,0.0,1,休学
pjxuqwbj573,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:25:26,2320,9192,91928,2020,1103.0,0301,03018,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2003018,2021-07-16,,0.0,1,休学
pjxyqxbj545,,16,班级异动,20,班级异动,2022-04-03 12:14:47,1102,0201,,2020,1102.0,0201,02011,2020.0,,,2022403,4.0,转专业,2002011,2022-04-03,,0.0,0,0
pjxsqxbj995,,4,转专业,5,保留学籍,2020-09-18 21:46:23,2320,202004,,2020,2320.0,9194,91948,2020.0,,,2020202110006zy班选拔2020级,,,2003058,2020-09-18,,,0,0
pjxyqwbj787,,16,班级异动,20,班级异动,2022-04-28 14:51:29,1120,2003,,2020,1120.0,2003,2003,2020.0,,,添加专业方向,4.0,转专业,2020032,2022-04-28,,0.0,1,休学
pjxyqwbj522,,16,班级异动,20,班级异动,2022-04-28 14:51:29,1120,2003,,2020,1120.0,2003,2003,2020.0,,,添加专业方向,4.0,转专业,2020032,2022-04-28,,0.0,1,休学
pjwtqxbj941,,4,转专业,5,保留学籍,2022-08-02 18:52:42,1115,1502,,2020,1115.0,101011T,,2020.0,,,20212022200052020级转专业,,,2015031,2022-08-02,,,0,0
pjxyqwbj523,,4,转专业,6,专业分流,2022-08-20 11:47:21,1103,0305,03056,2020,1103.0,0305,03056,2020.0,,,分流,4.0,转专业,2003052云,2022-08-20,,0.0,1,休学
pjxyqwbj847,,4,转专业,6,专业分流,2022-08-20 10:52:20,1103,0305,,2020,1103.0,0305,03055,2020.0,,,分流,4.0,转专业,2003052网,2022-08-20,,0.0,1,休学
pjxyqxbj922,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:49:21,2321,92902,92908,2020,1114.0,1402,14028,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2014028,2021-07-16,,0.0,1,休学
pjxyqxbk470,,13,延长学制,14,死亡,2024-07-10 10:50:44,1101,0101,01011,2020,,,,2021.0,,,,4.0,转专业,2101012,2024-07-10,,0.0,0,0
pjwrqxbj979,,4,转专业,5,保留学籍,2020-09-18 21:49:57,2321,202009,,2020,2320.0,9195,91958,2020.0,,,2020202110006zy班选拔2020级,,,2004078,2020-09-18,,,0,0
pjxyqxbk331,,4,转专业,5,保留学籍,2020-09-18 20:56:44,2321,202001,,2020,2321.0,9290,92909,2020.0,,,2020202110007教学改革试点班选拔2020级,,,2014019,2020-09-18,,,0,0
pjxqqxbj959,,4,转专业,6,专业分流,2021-03-29 14:50:11,2320,202005,,2020,1108.0,0802,,2020.0,,,,4.0,转专业,2008021,2021-03-26,,0.0,1,休学
pjxyqwbj321,,4,转专业,6,专业分流,2022-08-20 09:38:04,1103,0305,03052,2020,1103.0,0305,03052,2020.0,,,分流,4.0,转专业,2003052W,2022-08-20,,0.0,1,休学
pjxyqwbj164,,4,转专业,6,专业分流,2022-08-20 14:53:25,1103,0301,0301X,2020,1103.0,0301,0301X,2020.0,,,分流,4.0,转专业,2003014数,2022-08-20,,0.0,1,休学
pjxyqwbj153,,4,转专业,5,保留学籍,2021-07-12 09:24:36,2320,202002,,2020,1118.0,1803,18039,2020.0,,,网络空间安全实验班选拔后学籍异动,,,2018039,2021-07-12,,,0,0
pjxyqwbj038,,4,转专业,6,专业分流,2022-08-12 17:57:54,1103,0301,03011,2020,1103.0,0301,0301X,2020.0,,,分流,4.0,转专业,2003013数,2022-08-12,,0.0,1,休学
pjxyqwbk636,,4,转专业,6,专业分流,2022-08-12 11:17:15,1103,0305,,2020,1103.0,0305,03052,2020.0,,,分流,4.0,转专业,2003051网,2022-08-12,,0.0,1,休学
pjxyqwbj699,,4,转专业,6,专业分流,2022-08-20 10:52:20,1103,0305,,2020,1103.0,0305,03055,2020.0,,,分流,4.0,转专业,2003052网,2022-08-20,,0.0,1,休学
pjxsqxbj921,,4,转专业,6,专业分流,2022-06-27 20:03:51,1106,0691,,2020,1106.0,0606,,2020.0,,,,4.0,转专业,2006061,2022-06-27,,0.0,1,休学
pjxyqwbj598,,4,转专业,6,专业分流,2022-08-20 09:38:04,1103,0305,03052,2020,1103.0,0305,03052,2020.0,,,分流,4.0,转专业,2003052W,2022-08-20,,0.0,1,休学
pjxyqxbj964,,18,学院异动,31,学籍从书院转入学院,2022-07-12 18:44:26,1105,0501,05011,2020,529.0,2901,29011,2020.0,,,1111,4.0,转专业,,2022-07-12,,0.0,1,休学
pjxyqxbj840,,1,休学,24,因病休学-学生申请,2022-04-25 10:47:44,1105,0501,05019,2020,,,,,0.0,0.0,,4.0,转专业,,2022-04-25,,1.0,0,0
pjxsqxbj906,,18,学院异动,31,学籍从书院转入学院,2021-07-16 11:53:58,2320,202004,,2020,1106.0,0691,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2006914,2021-07-16,,0.0,1,休学
pjxsqxbj811,,18,学院异动,31,学籍从书院转入学院,2021-07-16 12:02:56,2320,202004,,2020,1106.0,0691,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2006915,2021-07-16,,0.0,1,休学
pjxrqxbj909,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:22:36,2320,202007,,2020,1107.0,0791,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,209701,2021-07-16,,0.0,1,休学
pjxpqxbj941,,18,学院异动,31,学籍从书院转入学院,2022-07-02 19:14:57,1109,0991,,2020,1109.0,0901,,2020.0,,,,4.0,转专业,2009011,2022-07-02,,0.0,1,休学
