KS_XH(学号),KS_YYJB(语言级别),KS_CJ(成绩)
pjxyqxbk519,1,613.0
pjxrqxbj894,1,602.0
pjxyqxbk484,1,582.0
pjxrqxbj898,1,491.0
pjxyqxbk530,1,614.0
pjxyqxbj094,1,615.0
pjxyqxbk528,1,587.0
pjxsqxbj995,1,662.0
pjxsqxbj994,1,571.0
pjxyqwbj098,1,532.0
pjxyqxbk477,1,496.0
pjxxxxbj945,1,568.0
pjxyqxbk524,1,515.0
pjxxxxbj941,1,521.0
pjxuqwbj584,1,582.0
pjxyqxbk521,1,544.0
pjxyqxbk522,1,556.0
pjxuqwbj564,1,511.0
pjxxxxbj942,1,475.0
pjxyqwbj150,1,444.0
pjxxxxbj989,1,609.0
pjxyqwbj758,1,601.0
pjxyqwbj760,1,486.0
pjxyqwbj728,1,519.0
pjxyqxbj454,1,564.0
pjxyqxbk446,1,599.0
pjxyqwbj701,1,556.0
pjxyqxbj451,1,535.0
pjxyqwbj895,1,569.0
pjxuqwbj985,1,444.0
pjxyqxbk546,1,532.0
pjxyqxbk497,1,511.0
pjxyqwbj109,1,554.0
pjxyqxbk516,1,570.0
pjxxxxbj937,1,558.0
pjxyqwbj129,1,611.0
pjxuqwbj562,1,511.0
pjxsqxbj980,1,533.0
pjxyqwbj153,1,584.0
pjxyqxbj103,1,627.0
pjxyqxbk452,1,603.0
pjxuqwbj558,1,408.0
pjxyqxbk491,1,609.0
pjxyqwbj865,1,591.0
pjxyqwbj154,1,576.0
pjxuqwbj573,1,525.0
pjxuqwbj572,1,632.0
pjxuqwbj812,1,612.0
pjxxxxbj995,1,498.0
pjxxxxbj986,1,548.0
pjxyqwbj727,1,494.0
pjxyqxbk314,1,615.0
pjxyqwbj034,1,603.0
pjxsqxbj825,1,558.0
pjxyqwbj006,1,600.0
pjxyqxbk342,1,507.0
pjxyqxbk364,1,534.0
pjxuqwbj546,1,558.0
pjxyqwbj033,1,545.0
pjxxxxbj980,1,566.0
pjxyqxbk331,1,614.0
pjxyqxbk330,1,545.0
pjxyqxbk334,1,629.0
pjxsqxbj816,1,577.0
pjxyqwbj117,1,595.0
pjxsqxbj996,1,539.0
pjxyqxbk547,1,540.0
pjxuqwbj568,1,635.0
pjxxxxbj957,1,540.0
pjxyqxbj365,1,587.0
pjxxxxbj958,1,582.0
pjxyqxbj374,1,553.0
pjxyqwbj674,1,650.0
pjxyqxbj371,1,523.0
pjxyqwbj665,1,631.0
pjxxxxbj953,1,542.0
pjxyqwbj659,1,504.0
pjxyqxbj352,1,524.0
pjxqqxbj982,1,534.0
pjxxxxbj955,1,465.0
pjxyqwbj031,1,597.0
pjxuqwbj715,1,550.0
pjxyqwbj479,1,555.0
pjxyqwbj464,1,596.0
pjxyqwbj630,1,569.0
pjxsqxbj871,1,517.0
pjxyqxbj370,1,444.0
pjxyqxbj280,1,498.0
pjxyqwbj636,1,535.0
pjxsqxbj876,1,584.0
pjxqqxbj985,1,568.0
pjxyqxbk349,1,523.0
pjxyqwbj046,1,620.0
pjxyqxbk354,1,531.0
pjxyqwbj007,1,552.0
pjxsqxbj820,1,506.0
pjxyqxbj848,1,584.0
pjxyqxbk351,1,621.0
pjxxztfj972,1,407.0
pjxyqxbk683,1,557.0
pjxyqwbj252,1,609.0
pjxyqwbj262,1,551.0
pjxyqwbj253,1,611.0
pjxyqxbk686,1,543.0
pjxyqxbk722,1,505.0
pjxyqwbj251,1,581.0
pjxyqxbk710,1,578.0
pjxyqxbj760,1,570.0
pjxwzxfj994,1,358.0
pjxyqwbj885,1,597.0
pjxyqxbj771,1,596.0
pjxyqwbj087,1,614.0
pjxxxxbj930,1,528.0
pjxxxxbj932,1,585.0
pjxyqwbj086,1,589.0
pjxyqwbj082,1,580.0
pjxyqxbk437,1,609.0
pjxyqxbk434,1,528.0
pjxwzxfj983,1,329.0
pjxyqxbk429,1,547.0
pjxyqxbj915,1,607.0
pjxuqwbj755,1,514.0
pjxyqwbj574,1,588.0
pjxyqwbj061,1,580.0
pjxyqwbj059,1,525.0
pjwrqxbj929,1,618.0
pjxyqxbk388,1,571.0
pjwrqxbj924,1,509.0
pjxyqwbj058,1,535.0
pjxyqwbj054,1,625.0
pjxyqxbk377,1,526.0
pjxyqxbk398,1,584.0
pjxyqxbk426,1,620.0
pjxxxxbj921,1,517.0
pjxxxxbj933,1,486.0
pjxxxxbj923,1,515.0
pjxxxxbj922,1,462.0
pjxyqwbj080,1,583.0
pjxuqwbj552,1,595.0
pjxyqxbl768,1,501.0
pjxyqxbl781,1,624.0
pjxyqxbl750,1,556.0
pjxyqxbl780,1,581.0
pjxuqwbj804,1,482.0
pjxsqxbj778,1,572.0
pjwrqxbj938,1,515.0
pjxyqxbk243,1,621.0
pjxxxxbj912,1,603.0
pjxsqxbj790,1,586.0
pjxxxxbj917,1,498.0
pjxxxxbj916,1,519.0
pjxyqxbk209,1,597.0
pjxyqxbk158,1,520.0
pjxyqwbj688,1,525.0
pjxyqxbj405,1,634.0
pjxyqwbj691,1,624.0
pjxyqxbj432,1,611.0
pjxyqwbk537,1,594.0
pjxyqwbk534,1,651.0
pjxyqxbl736,1,639.0
pjxyqxbl742,1,611.0
pjxyqxbj896,1,670.0
pjxyqxbj895,1,577.0
pjxyqwbj917,1,598.0
pjxyqwbj935,1,625.0
pjxyqxbj907,1,623.0
pjxyqwbj928,1,604.0
pjxyqxbj840,1,535.0
pjxyqxbj909,1,472.0
pjxrqxbj996,1,653.0
pjxyqxbj876,1,603.0
pjxyqxbj918,1,642.0
pjxyqxbj858,1,610.0
pjxyqxbl737,1,602.0
pjxuqwbj944,1,637.0
pjxyqxbj911,1,614.0
pjxyqwbj941,1,639.0
pjxyqwbj939,1,594.0
pjxyqwbj903,1,657.0
pjxyqxbj635,1,582.0
pjxyqwbj248,1,557.0
pjxyqxbk728,1,607.0
pjxyqxbj637,1,483.0
pjxrqxbj908,1,622.0
pjxyqwbj844,1,635.0
pjxyqwbj847,1,606.0
pjxyqwbj841,1,571.0
pjxyqxbj687,1,596.0
pjxyqwbj836,1,600.0
pjxyqxbj667,1,570.0
pjxyqxbj647,1,554.0
pjxyqwbj842,1,526.0
pjxyqxbj658,1,538.0
pjxyqxbj670,1,549.0
pjxxztfj992,1,412.0
pjxyqxbj643,1,512.0
pjxyqxbj640,1,549.0
pjxyqwbj777,1,583.0
pjxyqxbj595,1,549.0
pjxyqxbj903,1,586.0
pjxyqwbj924,1,643.0
pjxyqwbj944,1,614.0
pjxyqxbj862,1,644.0
pjxyqxbj893,1,589.0
pjxyqwbj940,1,582.0
pjxyqwbj922,1,538.0
pjxyqwbj926,1,600.0
pjxyqxbj869,1,553.0
pjxyqxbj867,1,629.0
pjxyqwbj930,1,640.0
pjxyqwbj927,1,542.0
pjxyqxbj834,1,598.0
pjxrqxbj994,1,606.0
pjxyqwbj945,1,671.0
pjxyqxbj888,1,535.0
pjxyqwbj949,1,563.0
pjxyqxbj885,1,552.0
pjxyqxbj866,1,633.0
pjxyqwbj907,1,590.0
pjxyqwbj929,1,602.0
pjxyqxbj889,1,607.0
pjxyqwbj910,1,590.0
pjxxxxbj943,1,515.0
pjxyqxbj921,1,615.0
pjxyqwbj947,1,595.0
pjxyqwbj955,1,537.0
pjxyqxbj841,1,648.0
pjxxxxbj907,1,468.0
pjxyqxbj854,1,615.0
pjxyqwbj050,1,552.0
pjxsqxbj969,1,590.0
pjxyqwbj564,1,585.0
pjwrqxbj916,1,551.0
pjxuqwbj615,1,594.0
pjxyqwbj282,1,509.0
pjxyqxbk757,1,580.0
pjxrqxbj992,1,644.0
pjxyqwbj925,1,650.0
pjxyqwbj904,1,593.0
pjxyqxbj851,1,702.0
pjxyqwbj950,1,638.0
pjxyqxbj838,1,495.0
pjxyqxbj898,1,612.0
pjxyqxbj914,1,559.0
pjxyqxbj846,1,587.0
pjxuqwbj937,1,569.0
pjxyqwbj923,1,592.0
pjxyqxbl735,1,565.0
pjxyqwbj936,1,656.0
pjxyqwbj932,1,522.0
pjxyqwbj933,1,553.0
pjxyqxbj853,1,553.0
pjxyqxbj884,1,599.0
pjxyqxbj872,1,616.0
pjxyqxbj905,1,530.0
pjxyqxbj214,1,632.0
pjxyqxbj207,1,681.0
pjxyqxbj198,1,588.0
pjxuqwbj739,1,564.0
pjxyqxbl738,1,583.0
pjxyqwbj554,1,599.0
pjxyqxbj188,1,542.0
pjxyqwbk872,1,547.0
pjxyqxbk095,1,462.0
pjxyqxbk101,1,596.0
pjxyqwbk868,1,537.0
pjxyqwbk834,1,562.0
pjxyqxbk094,1,642.0
pjxxxxbj915,1,619.0
pjxyqxbk070,1,584.0
pjxyqwbk829,1,478.0
pjxuqwbj735,1,591.0
pjxyqxbj173,1,499.0
pjxyqxbj167,1,559.0
pjxuqwbj731,1,626.0
pjxyqxbj160,1,525.0
pjxyqxbj159,1,607.0
pjxyqxbj150,1,640.0
pjxyqxbj153,1,655.0
pjxyqxbj155,1,586.0
pjxyqxbj148,1,0.0
pjxyqwbj527,1,592.0
pjxrqxbj955,1,629.0
pjxyqwbj525,1,562.0
pjxyqwbj524,1,598.0
pjxyqxbj139,1,564.0
pjxyqxbj146,1,554.0
pjxyqxbj147,1,625.0
pjxyqxbj125,1,569.0
pjxyqxbj129,1,647.0
pjxyqxbj131,1,599.0
pjxrqxbj943,1,611.0
pjxuqwbj721,1,604.0
pjxxxxbj963,1,527.0
pjxyqxbk945,1,535.0
pjxuqwbj663,1,620.0
pjxxxxbj968,1,572.0
pjxxxxbj966,1,491.0
pjxuqwbj861,1,530.0
pjxwzxfj991,1,376.0
pjxyqxbj646,1,616.0
pjxyqxbj574,1,601.0
pjxyqwbj791,1,467.0
pjxyqxbk565,1,617.0
pjxyqxbj220,1,578.0
pjxyqwbj566,1,574.0
pjxyqwbj569,1,434.0
pjxyqxbk929,1,621.0
pjxyqxbj879,1,600.0
pjxyqxbk908,1,609.0
pjxyqxbk907,1,601.0
pjxyqxbk905,1,538.0
pjxyqxbk903,1,573.0
pjxyqwbj368,1,584.0
pjxyqxbk899,1,514.0
pjxyqxbk889,1,558.0
pjxyqwbj361,1,548.0
pjxyqxbk885,1,545.0
pjxyqxbk936,1,460.0
pjxyqxbk880,1,612.0
pjxyqwbj338,1,621.0
pjxsqxbj953,1,579.0
pjxyqwbj340,1,550.0
pjxyqxbj952,1,511.0
pjxyqxbk777,1,569.0
pjxyqwbj367,1,537.0
pjxyqwbj327,1,522.0
pjxyqwbj326,1,605.0
pjxyqwbj339,1,546.0
pjxyqxbj950,1,566.0
pjxyqxbk751,1,499.0
pjxyqxbk755,1,535.0
pjxyqxbj065,1,505.0
pjxyqwbj478,1,497.0
pjxyqxbj060,1,563.0
pjxyqxbj948,1,527.0
pjxyqwbj379,1,620.0
pjxyqxbk900,1,526.0
pjxuqwbj839,1,504.0
pjxyqwbj347,1,623.0
pjxyqxbj945,1,620.0
pjxyqxbk846,1,601.0
pjxsqxbj824,1,594.0
pjxyqwbj946,1,618.0
pjxyqwbj385,1,525.0
pjxyqxbk847,1,607.0
pjxyqxbk841,1,611.0
pjxyqxbk927,1,527.0
pjxuqwbj606,1,577.0
pjxxxxbj908,1,473.0
pjxyqxbk682,1,649.0
pjxyqwbj242,1,612.0
pjxyqxbk677,1,563.0
pjxyqxbk647,1,521.0
pjxyqxbk633,1,508.0
pjxyqxbk632,1,559.0
pjxyqxbk222,1,543.0
pjxsqxbj812,1,549.0
pjxyqxbk242,1,585.0
pjxxxxbj914,1,603.0
pjxyqxbk231,1,600.0
pjxyqxbk138,1,533.0
pjxyqwbk879,1,531.0
pjxyqwbk956,1,561.0
pjxyqxbk210,1,494.0
pjxyqxbk201,1,563.0
pjxxxxbj910,1,452.0
pjxxxxbj911,1,502.0
pjxyqxbk125,1,560.0
pjxyqxbk121,1,592.0
pjxyqxbk253,1,596.0
pjxsqxbj777,1,552.0
pjxyqwbj221,1,608.0
pjxyqxbk674,1,627.0
pjxyqxbj545,1,474.0
pjxyqwbj509,1,511.0
pjxyqwbj232,1,652.0
pjxyqxbk839,1,0.0
pjxuqwbj638,1,564.0
pjxyqwbj307,1,640.0
pjxyqxbj871,1,577.0
pjxyqxbk811,1,638.0
pjxrqxbj914,1,612.0
pjxyqxbk810,1,622.0
pjxqqxbj975,1,510.0
pjxyqxbk820,1,634.0
pjxuqwbj644,1,573.0
pjxuqwbj958,1,488.0
pjxyqwbj315,1,616.0
pjxyqwbj223,1,578.0
pjxyqxbk840,1,594.0
pjxyqxbk822,1,594.0
pjxyqxbk798,1,539.0
pjxyqxbk788,1,533.0
pjxyqxbk799,1,597.0
pjxuqwbj955,1,579.0
pjxuqwbj643,1,532.0
pjxyqwbj309,1,588.0
pjxyqwbj455,1,629.0
pjxyqwbj453,1,601.0
pjxyqxbj052,1,613.0
pjxyqwbj454,1,518.0
pjxyqxbj039,1,589.0
pjwtqxbj972,1,545.0
pjxyqwbj444,1,572.0
pjxxxxbj981,1,471.0
pjxyqxbj038,1,579.0
pjxyqwbj441,1,634.0
pjxyqwbj437,1,642.0
pjxuqwbj691,1,512.0
pjxyqwbj435,1,477.0
pjxyqxbj032,1,564.0
pjxyqwbj430,1,565.0
pjxrqxbj937,1,553.0
pjxuqwbj686,1,491.0
pjxqqxbj974,1,561.0
pjxyqwbj422,1,580.0
pjxyqwbj421,1,511.0
pjxwxxbj949,1,345.0
pjxyqwbj671,1,549.0
pjxsqxbj884,1,500.0
pjxyqwbj673,1,513.0
pjxuqwbj787,1,478.0
pjxwxxbj951,1,430.0
pjxyqwbj664,1,540.0
pjxyqwbj663,1,527.0
pjxyqxbj332,1,513.0
pjxyqxbj353,1,574.0
pjxyqxbj359,1,494.0
pjxyqxbj743,1,483.0
pjxuqwbj996,1,640.0
pjxyqwbj662,1,485.0
pjxyqwbj658,1,547.0
pjxqzxbj997,1,528.0
pjxqqxbj986,1,494.0
pjxyqwbj656,1,561.0
pjxqzxbj996,1,435.0
pjxwxxbj953,1,483.0
pjxyqxbl876,1,573.0
pjxxxxbj901,1,554.0
pjwrqxbj952,1,546.0
pjxyqwbk624,1,556.0
pjxyqwbk617,1,631.0
pjxyqwbk621,1,577.0
pjxxxxbj913,1,597.0
pjwtqxbj960,1,555.0
pjxyqxbj740,1,355.0
pjxyqxbj789,1,452.0
pjxyqwbj889,1,397.0
pjxyqxbj776,1,454.0
pjxuqwbj904,1,546.0
pjxyqxbj779,1,512.0
pjxyqxbj761,1,496.0
pjxyqxbj736,1,416.0
pjxyqxbj757,1,533.0
pjxyqxbj744,1,527.0
pjxyqxbj770,1,562.0
pjxyqwbj886,1,458.0
pjxyqxbj749,1,380.0
pjxyqwbj873,1,484.0
pjxyqxbj739,1,517.0
pjxyqwbj872,1,489.0
pjxyqxbj750,1,552.0
pjxwxxbj930,1,463.0
pjxyqwbj084,1,512.0
pjxyqwbj322,1,545.0
pjxyqxbk844,1,489.0
pjxyqxbk843,1,482.0
pjxyqxbj947,1,421.0
pjxyqwbj334,1,464.0
pjxyqwbj331,1,470.0
pjwtqxbj922,1,470.0
pjxuqwbj658,1,439.0
pjxuqwbj650,1,490.0
pjxyqxbk943,1,443.0
pjxuqwbj665,1,496.0
pjxuqwbj648,1,500.0
pjxyqxbk947,1,581.0
pjxyqxbk923,1,507.0
pjxyqwbj380,1,488.0
pjxyqxbk909,1,460.0
pjxrqxbj930,1,524.0
pjxyqxbk910,1,504.0
pjxuqwbj655,1,523.0
pjxuqwbj647,1,485.0
pjxsqxbj888,1,519.0
pjxpqxbj979,1,489.0
pjxyqxbj972,1,426.0
pjxyqwbj896,1,507.0
pjxrqxbj958,1,617.0
pjxsqxbj962,1,344.0
pjxyqxbj448,1,511.0
pjxyqxbj710,1,494.0
pjxwzxbj985,1,431.0
pjxuqwbj806,1,393.0
pjxyqxbj452,1,419.0
pjxsqxbj892,1,570.0
pjxyqxbj541,1,508.0
pjxyqxbj474,1,477.0
pjxuqwbj814,1,519.0
pjxyqxbl812,1,521.0
pjxyqwbk920,1,529.0
pjxyqxbl797,1,545.0
pjxyqxbk281,1,590.0
pjxyqxbl905,1,503.0
pjxyqxbk444,1,513.0
pjxyqxbk655,1,573.0
pjxyqxbk643,1,526.0
pjxyqxbk199,1,549.0
pjxyqwbj224,1,536.0
pjxyqwbj225,1,625.0
pjxyqxbk642,1,510.0
pjxyqwbj188,1,483.0
pjxuqwbj637,1,548.0
pjxyqxbk825,1,498.0
pjxyqxbk839,1,628.0
pjxyqwbj305,1,574.0
pjxuqwbj639,1,396.0
pjxyqxbk823,1,510.0
pjxyqxbk715,1,513.0
pjxrqxbj916,1,460.0
pjxyqwbj979,1,564.0
pjxuqwbj634,1,516.0
pjxyqwbj318,1,560.0
pjxyqxbj835,1,600.0
pjxyqwbj837,1,481.0
pjxyqwbj041,1,447.0
pjxsqxbj827,1,386.0
pjxyqxbk341,1,521.0
pjxyqwbj004,1,571.0
pjxyqwbj016,1,534.0
pjxyqwbj003,1,538.0
pjxyqxbk339,1,471.0
pjxuqwbj535,1,426.0
pjxyqwbj002,1,534.0
pjxyqwbj015,1,540.0
pjxyqxbk336,1,519.0
pjxuqwbj547,1,562.0
pjxyqwbj001,1,589.0
pjxsqxbj831,1,428.0
pjxuqwbj545,1,560.0
pjxyqwbj023,1,470.0
pjxyqwbj013,1,564.0
pjxuqwbj988,1,490.0
pjxyqxbj054,1,461.0
pjxuqwbj871,1,489.0
pjxsqxbj918,1,542.0
pjxuqwbj870,1,514.0
pjxuqwbj873,1,466.0
pjxyqxbk684,1,578.0
pjxyqxbk697,1,479.0
pjxyqxbk718,1,389.0
pjxuqwbj694,1,382.0
pjxyqwbj245,1,558.0
pjxyqwbj796,1,514.0
pjxyqxbj703,1,509.0
pjxyqwbj838,1,606.0
pjxyqxbj648,1,577.0
pjxyqxbj686,1,534.0
pjxyqxbj698,1,534.0
pjxyqxbj692,1,534.0
pjxyqxbj694,1,475.0
pjxyqxbj688,1,563.0
pjxyqxbj691,1,552.0
pjxyqwbk678,1,535.0
pjxxxxbj904,1,516.0
pjxyqxbk597,1,504.0
pjxsqxbj856,1,507.0
pjxyqwbj828,1,564.0
pjxyqxbk836,1,482.0
pjxyqwbj302,1,458.0
pjxyqxbk572,1,487.0
pjxyqxbj683,1,451.0
pjxyqxbk795,1,521.0
pjxyqxbj940,1,553.0
pjxyqxbk794,1,613.0
pjxyqxbk680,1,567.0
pjxyqwbj316,1,494.0
pjxyqwbj312,1,580.0
pjxuqwbj956,1,529.0
pjxuqwbj850,1,497.0
pjxyqxbk826,1,553.0
pjxyqxbk835,1,502.0
pjxyqwbj311,1,550.0
pjxrqxbj918,1,503.0
pjxuqwbj642,1,498.0
pjxyqxbk626,1,491.0
pjxyqxbk804,1,469.0
pjxyqxbk803,1,411.0
pjxyqxbj195,1,551.0
pjxyqxbk791,1,491.0
pjxyqxbk797,1,482.0
pjxyqxbj174,1,544.0
pjxyqxbk813,1,438.0
pjxsqxbj834,1,503.0
pjxyqwbj821,1,471.0
pjxyqxbj676,1,503.0
pjxyqwbj822,1,575.0
pjxyqxbj663,1,517.0
pjxyqxbj701,1,552.0
pjxyqxbj662,1,544.0
pjxuqwbj848,1,517.0
pjxyqxbj669,1,531.0
pjxuqwbj883,1,557.0
pjxyqwbj809,1,505.0
pjxyqxbj657,1,421.0
pjxyqxbj659,1,503.0
pjxyqwbj811,1,424.0
pjxyqwbj808,1,493.0
pjxuqwbj879,1,547.0
pjxyqxbj653,1,560.0
pjxyqwbj807,1,516.0
pjxyqwbj833,1,581.0
pjxxztfj992,1,317.0
pjxyqxbj681,1,546.0
pjwtqxbj932,1,406.0
pjxuqwbj876,1,564.0
pjxyqwbk907,1,545.0
pjxyqxbj642,1,510.0
pjxyqwbj820,1,450.0
pjxyqwbj802,1,521.0
pjxyqxbj679,1,450.0
pjxyqwbj789,1,466.0
pjxyqxbj599,1,450.0
pjxyqxbj594,1,527.0
pjxyqwbj772,1,504.0
pjxyqwbj769,1,532.0
pjxyqxbj609,1,400.0
pjxyqwbj793,1,523.0
pjxyqxbj565,1,518.0
pjxyqwbj787,1,552.0
pjxyqxbj571,1,544.0
pjxyqwbj780,1,586.0
pjxyqwbj785,1,521.0
pjxsqxbj925,1,522.0
pjxyqwbj181,1,498.0
pjxyqxbj935,1,509.0
pjxyqxbk812,1,506.0
pjxyqxbk951,1,580.0
pjxyqxbk807,1,445.0
pjxyqwbj834,1,584.0
pjxyqxbk828,1,470.0
pjxyqxbk827,1,487.0
pjxyqxbk789,1,485.0
pjxyqwbj301,1,502.0
pjxyqwbj977,1,606.0
pjxyqwbj299,1,465.0
pjxuqwbj641,1,580.0
pjxuqwbj600,1,526.0
pjxyqwbj300,1,572.0
pjxyqxbk816,1,496.0
pjxyqwbj803,1,461.0
pjxyqxbk801,1,559.0
pjxyqxbk625,1,537.0
pjxyqwbj456,1,521.0
pjxqqxbj977,1,569.0
pjxwxxbj983,1,509.0
pjxyqwbj452,1,440.0
pjxyqxbj048,1,531.0
pjxuqwbj858,1,457.0
pjxuqwbj847,1,583.0
pjxyqxbj570,1,518.0
pjxyqxbj585,1,534.0
pjxwzxfj991,1,377.0
pjxtztbj997,1,319.0
pjxyqxbj569,1,525.0
pjxyqxbj578,1,456.0
pjxyqxbj581,1,536.0
pjxuqwbj854,1,489.0
pjxyqwbj839,1,561.0
pjxuqwbj853,1,383.0
pjxyqxbj580,1,541.0
pjxyqxbj584,1,511.0
pjxyqwbj773,1,479.0
pjxuqwbj857,1,497.0
pjxyqxbj566,1,486.0
pjxyqxbj588,1,441.0
pjxyqwbj776,1,499.0
pjxyqxbj589,1,506.0
pjxyqxbj583,1,426.0
pjxyqxbj615,1,401.0
pjxyqxbj616,1,429.0
pjxyqxbj086,1,552.0
pjxuqwbj714,1,586.0
pjxyqxbj823,1,453.0
pjxyqxbj832,1,398.0
pjxuqwbj933,1,531.0
pjxyqxbj830,1,458.0
pjxuqwbj930,1,501.0
pjwtqxbj920,1,468.0
pjxuqwbj708,1,517.0
pjxuqwbj701,1,505.0
pjxuqwbj705,1,377.0
pjxyqwbj461,1,426.0
pjxtztbj989,1,366.0
pjxyqxbj068,1,420.0
pjxyqwbj476,1,468.0
pjxyqxbj066,1,448.0
pjxyqwbj472,1,420.0
pjxuqwbj713,1,468.0
pjxuqwbj935,1,315.0
pjxuqwbj719,1,590.0
pjxyqxbj092,1,484.0
pjxyqxbj074,1,520.0
pjxyqxbj015,1,476.0
pjxyqxbj046,1,558.0
pjxyqxbj044,1,596.0
pjxyqwbj445,1,607.0
pjxyqwbk505,1,535.0
pjwtqxbj971,1,475.0
pjxyqxbj040,1,467.0
pjxyqxbj043,1,495.0
pjxyqxbj034,1,614.0
pjxyqwbj433,1,526.0
pjxyqwbj431,1,554.0
pjxyqxbj031,1,495.0
pjxyqxbj024,1,501.0
pjxyqxbj018,1,489.0
pjxyqxbk307,1,633.0
pjxyqxbk325,1,512.0
pjxyqxbk305,1,576.0
pjxyqwbj825,1,528.0
pjxsqxbj826,1,550.0
pjwrqxbj882,1,413.0
pjxyqwbj022,1,469.0
pjxyqwbj020,1,559.0
pjxwxxbj928,1,516.0
pjxyqxbk335,1,508.0
pjxyqxbk329,1,631.0
pjxyqwbj027,1,492.0
pjxyqxbk304,1,565.0
pjxyqwbj049,1,460.0
pjxyqxbk319,1,609.0
pjxyqxbk317,1,613.0
pjwrqxbj884,1,575.0
pjxyqxbk358,1,625.0
pjxyqxbk573,1,412.0
pjxyqxbj242,1,581.0
pjxyqxbj237,1,461.0
pjxyqxbj240,1,525.0
pjxsqxbj949,1,569.0
pjxyqxbj239,1,539.0
pjxyqxbj238,1,518.0
pjxuqwbj751,1,590.0
pjxuqwbj962,1,421.0
pjxyqxbj221,1,445.0
pjxuqwbj758,1,531.0
pjxyqxbj250,1,411.0
pjxyqwbj062,1,416.0
pjwtqxbj930,1,543.0
pjwtqxbj933,1,556.0
pjxyqxbk391,1,589.0
pjxyqwbj598,1,578.0
pjxyqxbj029,1,597.0
pjxyqxbj035,1,437.0
pjxyqwbj425,1,560.0
pjxuqwbj687,1,498.0
pjxyqxbj027,1,547.0
pjxyqxbj023,1,592.0
pjxyqwbj428,1,519.0
pjxyqxbj021,1,481.0
pjxqqxbj973,1,424.0
pjxyqwbj418,1,512.0
pjxyqxbj012,1,411.0
pjxyqwbj417,1,532.0
pjxyqxbj008,1,408.0
pjxyqxbj007,1,534.0
