IDSERTAL(学号),LOGINTIME(刷卡时间),LOGINADDRESS(刷卡地点),LOGINSIGN((标识（1出0进）)LOGINSIGN),DOORCTRLCODE((控制器编号)),DOORCODE((门数))
pjxyqxbl964,2023-12-01 15:57:00,B校区-（宿舍区A）4号楼-2区122,0,399,1
pjxyqxbl766,2023-12-01 16:01:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxyqwbj989,2023-12-01 15:41:00,A校区-东南门-出入口-车辆通道,0,287,2
pjxyqxbj152,2023-12-02 07:58:00,B校区-（宿舍区C）12号楼-2-307,0,302,1
pjxyqxbj152,2023-12-02 08:12:00,B校区-（宿舍区C）12号楼-2-307,0,302,1
pjxpqxbj926,2023-12-02 13:47:00,B校区-（宿舍区C）12号楼-A-400,0,298,1
pjxpqxbj926,2023-12-02 13:47:00,B校区-（宿舍区C）12号楼-A-400,0,298,1
pjxpqxbj926,2023-12-02 13:47:00,B校区-（宿舍区C）12号楼-A-400,0,298,1
pjxpqxbj926,2023-12-02 13:48:00,B校区-（宿舍区C）12号楼-A-400,0,298,1
pjxyqxbl768,2023-12-02 12:47:00,B校区（宿舍区A）4号楼1区323,0,396,1
pjxrqxbj955,2023-12-02 18:13:00,B校区-西门-南1,0,481,1
pjxrqxbj955,2023-12-05 14:24:00,B校区-西门-南1,0,481,1
pjxrqxbj955,2023-12-05 14:24:00,B校区-西门-南1,0,481,1
pjxrqxbj955,2023-12-05 14:24:00,B校区-西门-南1,0,481,1
pjxyqxbj040,2023-12-02 13:12:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxrqxbj955,2023-12-02 12:49:00,B校区-西门-南2,0,484,1
pjxyqxbj051,2023-12-07 16:35:00,B校区-西门-南1,0,481,1
pjxrqxbj945,2023-12-03 19:39:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxyqxbl766,2023-12-01 15:58:00,B校区-（宿舍区A）3号楼-1区222,0,390,1
pjxyqxbl766,2023-12-06 13:34:00,B校区-（宿舍区A）3号楼-1区222,0,390,1
pjxyqxbj945,2023-12-05 08:01:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj945,2023-12-05 12:25:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbj945,2023-12-05 13:49:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxrqxbj969,2023-12-01 15:37:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxrqxbj969,2023-12-01 16:37:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxyqxbj945,2023-12-05 21:30:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbj945,2023-12-06 07:58:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj371,2023-12-04 22:34:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbj371,2023-12-05 08:23:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj371,2023-12-05 12:24:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjwtqxbj988,2023-12-03 19:22:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxuqwbj850,2023-12-04 10:38:00,A校区-西南门-出入口-1学生,0,22,2
pjxuqwbj850,2023-12-04 16:54:00,A校区-西南门-出入口-1学生,0,22,2
pjxrqxbj971,2023-12-02 11:16:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxrqxbj971,2023-12-02 16:36:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxyqxbj371,2023-12-05 18:04:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj371,2023-12-05 21:58:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbj371,2023-12-06 08:20:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj948,2023-12-04 17:18:00,B校区-西门-南1,0,481,1
pjxrqxbj971,2023-12-02 15:27:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxyqwbk964,2023-12-04 21:51:00,B校区-东大门-出入口-北门人行通道1,0,290,1
pjxuqwbj735,2023-12-06 16:16:00,A校区-西南门-出入口-车辆通道,0,24,1
pjxuqwbj674,2023-12-05 22:08:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxrqxbj962,2023-12-03 18:16:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxrqxbj962,2023-12-03 19:34:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxrqxbj962,2023-12-03 22:16:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxrqxbj962,2023-12-01 16:16:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxrqxbj962,2023-12-01 18:11:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxuqwbj850,2023-12-04 17:08:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbj750,2023-12-06 13:34:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj750,2023-12-06 17:37:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbj945,2023-12-06 13:51:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxrqxbj962,2023-12-01 21:17:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxyqwbj348,2023-12-01 22:19:00,B校区-A楼-A-424,0,263,1
pjxuqwbj850,2023-12-04 10:44:00,A校区-西南门-出入口-车辆通道,0,24,1
pjxuqwbj674,2023-12-03 18:43:00,A校区-西南门-出入口-车辆通道,0,24,1
pjxuqwbj674,2023-12-01 18:05:00,A校区-西南门-出口-2学生,0,439,1
pjxsqxbj965,2023-12-04 21:14:00,B校区-西门-南1,0,481,1
pjxuqwbj850,2023-12-05 12:31:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbk505,2023-12-03 22:09:00,B校区-（宿舍区A）4号楼-1区423,0,394,1
pjxyqxbk505,2023-12-06 11:01:00,B校区-（宿舍区A）4号楼-1区423,0,394,1
pjxyqxbk505,2023-12-07 19:47:00,B校区-（宿舍区A）4号楼-1区423,0,394,1
pjxyqxbk505,2023-12-08 10:42:00,B校区-（宿舍区A）4号楼-1区423,0,394,1
pjxyqxbk505,2023-12-08 21:21:00,B校区-（宿舍区A）4号楼-1区423,0,394,1
pjxyqxbl992,2023-12-06 13:31:00,B校区-东大门-出入口-北门人行通道1,0,290,1
pjxyqxbj355,2023-12-04 11:14:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbj355,2023-12-04 11:14:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbj355,2023-12-04 11:14:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbj355,2023-12-04 11:14:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbj355,2023-12-04 11:14:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbj355,2023-12-04 11:14:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbj355,2023-12-04 11:14:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbj355,2023-12-04 11:14:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk368,2023-12-04 22:17:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbk368,2023-12-05 13:46:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbk368,2023-12-05 21:27:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbk368,2023-12-06 08:42:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbk043,2023-12-04 17:34:00,B校区-西门-南1,0,481,1
pjxyqxbk043,2023-12-04 17:34:00,B校区-西门-南1,0,481,1
pjxyqxbj948,2023-12-04 17:18:00,B校区-西门-南2,0,484,1
pjxyqxbj948,2023-12-04 17:18:00,B校区-西门-南2,0,484,1
pjxyqxbj948,2023-12-04 17:18:00,B校区-西门-南2,0,484,1
pjxyqxbj948,2023-12-04 17:18:00,B校区-西门-南2,0,484,1
pjxuqwbj674,2023-12-04 12:01:00,A校区-西南门-出入口-车辆通道,0,24,1
pjxuqwbj674,2023-12-03 14:39:00,A校区-西南门-出口-2学生,0,439,1
pjxyqxbk980,2023-12-04 14:42:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbk880,2023-12-06 14:53:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbk880,2023-12-05 14:35:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbk880,2023-12-07 14:49:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbk571,2023-12-03 20:01:00,B校区-西门-南2,0,484,1
pjxyqwbj216,2023-12-04 18:38:00,B校区-西门-南2,0,484,1
pjxyqwbj216,2023-12-01 18:19:00,B校区-西门-南2,0,484,1
pjxyqxbk649,2023-12-05 20:56:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbk958,2023-12-06 08:40:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbk958,2023-12-06 17:46:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbk958,2023-12-04 17:47:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxrqxbj969,2023-12-01 18:34:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxuqwbj571,2023-12-07 18:04:00,B校区-北大门-出入口-行人通道,0,293,1
pjxpqxbj926,2023-12-04 10:55:00,B校区-（宿舍区C）12号楼-2-317B,0,316,1
pjxyqxbk155,2021-04-01 19:00:00,B校区-A楼-A-319,0,255,1
pjxyqxbj334,2021-04-06 18:53:00,B校区-A楼-A-319,0,255,1
pjxyqxbl735,2023-12-04 08:19:00,A校区-西南门-出口-2学生,0,439,1
pjxyqxbk980,2023-12-04 09:03:00,A校区-西南门-出口-2学生,0,439,1
pjxyqxbl876,2023-12-04 09:24:00,A校区-西南门-出口-2学生,0,439,1
pjxyqxbl876,2023-12-08 23:01:00,A校区-西南门-出口-2学生,0,439,1
pjxyqxbj355,2023-12-06 11:45:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbl964,2023-12-02 01:39:00,B校区-（宿舍区A）4号楼-1区423,0,394,1
pjxyqxbk578,2023-12-04 12:08:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbj288,2023-12-04 08:21:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbj361,2023-12-05 08:32:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj361,2023-12-06 13:52:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbl797,2023-12-06 13:54:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbl797,2023-12-06 13:54:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqwbj642,2023-12-04 16:31:00,B校区-东大门-出入口-北门人行通道1,0,290,1
pjxyqwbj642,2023-12-04 18:35:00,B校区-东大门-出入口-北门人行通道1,0,290,2
pjxyqwbj663,2023-12-05 09:52:00,B校区-东大门-出入口-北门人行通道1,0,290,1
pjxyqwbj642,2023-12-05 18:00:00,B校区-东大门-出入口-北门人行通道1,0,290,1
pjxyqwbj642,2023-12-05 19:24:00,B校区-东大门-出入口-北门人行通道1,0,290,2
pjxyqwbj663,2023-12-06 09:46:00,B校区-东大门-出入口-北门人行通道1,0,290,1
pjxyqxbj945,2023-12-03 11:40:00,A校区-西南门-出口-2学生,0,439,1
pjxuqwbj755,2023-12-02 09:34:00,A校区-西南门-出入口-车辆通道,0,24,1
pjxyqxbk043,2023-12-04 14:22:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbk043,2023-12-04 14:22:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbj361,2023-12-07 14:17:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbl964,2023-12-05 00:10:00,B校区-（宿舍区A）4号楼-1区423,0,394,1
pjxsqxbj909,2023-12-05 23:02:00,B校区-信远楼II区-人文学院,1,52,1
pjxsqxbj909,2023-12-05 23:02:00,B校区-信远楼II区-人文学院,1,52,1
pjxyqwbk795,2023-12-06 13:57:00,B校区-东大门-出入口-北门人行通道1,0,290,2
pjxyqxbk905,2023-12-08 09:33:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbk680,2023-12-05 11:56:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbk680,2023-12-05 13:54:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbk680,2023-12-05 18:35:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbk680,2023-12-06 11:58:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbj154,2023-12-06 15:48:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbk578,2023-12-03 20:33:00,A校区-西南门-出入口-1学生,0,22,2
pjxyqxbk680,2023-12-04 11:58:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbk680,2023-12-04 13:54:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj154,2023-12-04 20:38:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbk680,2023-12-07 17:56:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbj154,2023-12-07 20:20:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbk368,2023-12-07 13:50:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj864,2023-12-04 16:03:00,A校区-西南门-出入口-1学生,0,22,2
pjxyqxbl876,2023-12-04 21:39:00,A校区-西南门-出入口-1学生,0,22,2
pjxyqxbk980,2023-12-05 10:20:00,A校区-西南门-出入口-1学生,0,22,2
pjxyqxbk980,2023-12-05 16:26:00,A校区-西南门-出入口-1学生,0,22,2
pjxyqwbk931,2023-12-03 23:30:00,B校区-北大门-出入口-行人通道,1,293,1
pjxyqxbl735,2023-12-04 07:07:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbk368,2023-12-04 08:38:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj707,2023-12-08 11:52:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbk368,2023-12-08 11:54:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbj635,2023-12-09 02:40:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj750,2023-12-04 13:52:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj750,2023-12-04 17:45:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbj750,2023-12-08 12:49:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj750,2023-12-08 11:43:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxuqwbj735,2023-12-08 22:51:00,A校区-西南门-出口-2学生,0,439,1
pjxrqxbj945,2023-12-07 14:03:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxrqxbj969,2023-12-07 15:04:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxrqxbj945,2023-12-07 18:02:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxyqxbj147,2023-12-04 16:11:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj147,2023-12-08 12:45:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqwbk795,2023-12-07 21:39:00,B校区-北大门-出入口-行人通道,0,293,1
pjxuqwbj735,2023-12-07 22:29:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxrqxbj945,2023-12-08 18:27:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxuqwbj581,2023-12-07 21:18:00,B校区-东大门-出入口-北门人行通道1,0,290,1
pjxrqxbj969,2023-12-08 13:51:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxrqxbj945,2023-12-08 14:24:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxrqxbj945,2023-12-02 17:40:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxrqxbj969,2023-12-02 19:00:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxyqxbk023,2023-12-07 14:17:00,B校区-西门-南2,0,484,1
pjxyqxbj945,2023-12-04 21:40:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbj945,2023-12-07 13:49:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbk980,2023-12-04 18:59:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbl876,2023-12-04 21:43:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxrqxbj971,2023-12-07 13:54:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxrqxbj971,2023-12-07 17:02:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxrqxbj971,2023-12-08 11:43:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxrqxbj971,2023-12-08 11:59:00,B校区-E楼Ⅲ区-305层左,0,134,1
pjxyqxbj945,2023-12-08 11:54:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbj945,2023-12-04 07:59:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj361,2023-12-07 20:37:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbj361,2023-12-08 08:38:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj361,2023-12-08 11:40:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbj361,2023-12-08 13:48:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj361,2023-12-08 17:55:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbj945,2024-02-22 08:32:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj945,2024-02-25 11:26:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj945,2024-02-25 12:04:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxyqxbj945,2024-02-19 08:33:00,A校区-北大门-出入口-人行通道1,0,294,1
